dataset,method,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,train_time_s,education_level_acc,income_acc,occupation_group_acc
adult,Standard,0,income_prediction,race,0.861222,0.861319,-9.7e-05,0.232532,False,0,8,200.1,1.0,0.84907,0.999934
adult,Standard,0,income_prediction,sex,0.674701,0.675858,-0.001156,0.618694,False,0,8,200.1,1.0,0.84907,0.999934
adult,Standard,0,employment_analysis,race,0.861222,0.861319,-9.7e-05,0.232532,False,0,8,200.1,1.0,0.84907,0.999934
adult,Standard,0,employment_analysis,age_group,0.517795,0.519551,-0.001756,0.336546,False,0,8,200.1,1.0,0.84907,0.999934
adult,Standard,0,employment_analysis,marital_status,0.489044,0.521541,-0.032497,0.777897,False,0,8,200.1,1.0,0.84907,0.999934
adult,Standard,0,education_assessment,sex,0.673971,0.675858,-0.001887,0.618694,False,0,8,200.1,1.0,0.84907,0.999934
adult,Standard,0,education_assessment,race,0.861222,0.861319,-9.7e-05,0.232532,False,0,8,200.1,1.0,0.84907,0.999934
adult,Standard,0,education_assessment,income,0.754582,0.752812,0.00177,0.429361,False,0,8,200.1,1.0,0.84907,0.999934
adult,LAFTR,0,income_prediction,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,227.5,0.328552,0.755046,0.285923
adult,LAFTR,0,income_prediction,sex,0.673772,0.675858,-0.002086,0.0,True,8,8,227.5,0.328552,0.755046,0.285923
adult,LAFTR,0,employment_analysis,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,227.5,0.328552,0.755046,0.285923
adult,LAFTR,0,employment_analysis,age_group,0.517397,0.519551,-0.002154,0.0,True,8,8,227.5,0.328552,0.755046,0.285923
adult,LAFTR,0,employment_analysis,marital_status,0.529084,0.521541,0.007543,0.028937,True,8,8,227.5,0.328552,0.755046,0.285923
adult,LAFTR,0,education_assessment,sex,0.673772,0.675858,-0.002086,0.0,True,8,8,227.5,0.328552,0.755046,0.285923
adult,LAFTR,0,education_assessment,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,227.5,0.328552,0.755046,0.285923
adult,LAFTR,0,education_assessment,income,0.754582,0.752812,0.00177,0.0,True,8,8,227.5,0.328552,0.755046,0.285923
adult,INLP,0,income_prediction,race,0.893426,0.861319,0.032108,2e-06,False,1,8,2118.0,0.32822,0.754316,0.28081
adult,INLP,0,income_prediction,sex,0.908367,0.675858,0.232509,0.000148,False,1,8,2118.0,0.32822,0.754316,0.28081
adult,INLP,0,employment_analysis,race,0.88911,0.861319,0.027792,1e-06,False,1,8,2118.0,0.32822,0.754316,0.28081
adult,INLP,0,employment_analysis,age_group,0.754582,0.519551,0.235031,3.2e-05,False,1,8,2118.0,0.32822,0.754316,0.28081
