dataset,method,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,train_time_s,education_level_acc,income_acc,occupation_group_acc
adult,Standard,0,income_prediction,race,0.912218,0.861319,0.050899,0.232532,False,0,8,196.5,1.0,0.84907,0.999934
adult,Standard,0,income_prediction,sex,0.947543,0.675858,0.271685,0.618694,False,0,8,196.5,1.0,0.84907,0.999934
adult,Standard,0,employment_analysis,race,0.911355,0.861319,0.050036,0.232532,False,0,8,196.5,1.0,0.84907,0.999934
adult,Standard,0,employment_analysis,age_group,0.814276,0.519551,0.294725,0.336546,False,0,8,196.5,1.0,0.84907,0.999934
adult,Standard,0,employment_analysis,marital_status,0.972377,0.521541,0.450837,0.777897,False,0,8,196.5,1.0,0.84907,0.999934
adult,Standard,0,education_assessment,sex,0.947742,0.675858,0.271885,0.618694,False,0,8,196.5,1.0,0.84907,0.999934
adult,Standard,0,education_assessment,race,0.911155,0.861319,0.049837,0.232532,False,0,8,196.5,1.0,0.84907,0.999934
adult,Standard,0,education_assessment,income,0.851062,0.752812,0.09825,0.429361,False,0,8,196.5,1.0,0.84907,0.999934
adult,LAFTR,0,income_prediction,race,0.864011,0.861319,0.002692,0.0,True,6,8,223.1,0.328552,0.755046,0.285923
adult,LAFTR,0,income_prediction,sex,0.680744,0.675858,0.004886,0.0,True,6,8,223.1,0.328552,0.755046,0.285923
adult,LAFTR,0,employment_analysis,race,0.864011,0.861319,0.002692,0.0,True,6,8,223.1,0.328552,0.755046,0.285923
adult,LAFTR,0,employment_analysis,age_group,0.52915,0.519551,0.009599,0.0,True,6,8,223.1,0.328552,0.755046,0.285923
adult,LAFTR,0,employment_analysis,marital_status,0.549137,0.521541,0.027596,0.028937,False,6,8,223.1,0.328552,0.755046,0.285923
adult,LAFTR,0,education_assessment,sex,0.680744,0.675858,0.004886,0.0,True,6,8,223.1,0.328552,0.755046,0.285923
adult,LAFTR,0,education_assessment,race,0.864011,0.861319,0.002692,0.0,True,6,8,223.1,0.328552,0.755046,0.285923
adult,LAFTR,0,education_assessment,income,0.776693,0.752812,0.023881,0.0,False,6,8,223.1,0.328552,0.755046,0.285923
adult,INLP,0,income_prediction,race,0.893426,0.861319,0.032108,2e-06,False,1,8,2111.1,0.32822,0.754316,0.28081
adult,INLP,0,income_prediction,sex,0.908367,0.675858,0.232509,0.000148,False,1,8,2111.1,0.32822,0.754316,0.28081
