method,purpose,attribute,task_acc,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pairs_passing,train_time_s
Standard (no privacy),income_prediction,race,0.8506,0.9117,0.8612,0.0505,0.2503,False,,189.3
Standard (no privacy),income_prediction,sex,0.8506,0.913,0.6738,0.2392,0.5475,False,,189.3
Standard (no privacy),employment_analysis,race,0.8506,0.9123,0.8612,0.0511,0.2503,False,,189.3
Standard (no privacy),employment_analysis,age_group,0.8506,0.7733,0.5173,0.256,0.3381,False,,189.3
Standard (no privacy),employment_analysis,marital_status,0.8506,0.9606,0.523,0.4375,0.7629,False,,189.3
Standard (no privacy),education_assessment,sex,0.8506,0.9141,0.6738,0.2404,0.5475,False,,189.3
Standard (no privacy),education_assessment,race,0.8506,0.9114,0.8612,0.0501,0.2503,False,,189.3
Standard (no privacy),education_assessment,income,0.8506,0.8506,0.7543,0.0963,0.4316,False,0/8,189.3
Adversarial-only (LAFTR),income_prediction,race,0.7622,0.8643,0.8612,0.0031,0.0,True,,409.1
Adversarial-only (LAFTR),income_prediction,sex,0.7622,0.6902,0.6738,0.0164,0.0,True,,409.1
Adversarial-only (LAFTR),employment_analysis,race,0.7622,0.8643,0.8612,0.0031,0.0,True,,409.1
Adversarial-only (LAFTR),employment_analysis,age_group,0.7622,0.5659,0.5173,0.0486,0.0126,False,,409.1
Adversarial-only (LAFTR),employment_analysis,marital_status,0.7622,0.6092,0.523,0.0861,0.0,False,,409.1
Adversarial-only (LAFTR),education_assessment,sex,0.7622,0.6892,0.6738,0.0155,0.0,True,,409.1
Adversarial-only (LAFTR),education_assessment,race,0.7622,0.8643,0.8612,0.0031,0.0,True,,409.1
Adversarial-only (LAFTR),education_assessment,income,0.7622,0.7948,0.7543,0.0405,0.029,False,5/8,409.1
Purpose-only (no adv.),income_prediction,race,0.8079,0.9321,0.8612,0.0709,0.3685,False,,148.6
Purpose-only (no adv.),income_prediction,sex,0.8079,0.938,0.6738,0.2642,0.6646,False,,148.6
Purpose-only (no adv.),employment_analysis,race,0.8079,0.9248,0.8612,0.0636,0.3368,False,,148.6
Purpose-only (no adv.),employment_analysis,age_group,0.8079,0.8007,0.5173,0.2834,0.3777,False,,148.6
Purpose-only (no adv.),employment_analysis,marital_status,0.8079,0.9666,0.523,0.4436,0.7814,False,,148.6
Purpose-only (no adv.),education_assessment,sex,0.8079,0.9481,0.6738,0.2743,0.6744,False,,148.6
Purpose-only (no adv.),education_assessment,race,0.8079,0.914,0.8612,0.0528,0.3042,False,,148.6
Purpose-only (no adv.),education_assessment,income,0.8079,0.8481,0.7543,0.0938,0.4196,False,0/8,148.6
PCRL (ours),income_prediction,race,0.764,0.8631,0.8612,0.0019,0.0,True,,0.0
PCRL (ours),income_prediction,sex,0.764,0.6748,0.6738,0.0011,0.002,True,,0.0
PCRL (ours),employment_analysis,race,0.764,0.8636,0.8612,0.0024,0.0292,True,,0.0
PCRL (ours),employment_analysis,age_group,0.764,0.5255,0.5173,0.0082,0.0075,True,,0.0
PCRL (ours),employment_analysis,marital_status,0.764,0.5793,0.523,0.0562,0.0,False,,0.0
PCRL (ours),education_assessment,sex,0.764,0.6759,0.6738,0.0021,0.0,True,,0.0
PCRL (ours),education_assessment,race,0.764,0.8639,0.8612,0.0027,0.0,True,,0.0
PCRL (ours),education_assessment,income,0.764,0.7707,0.7543,0.0163,0.0,True,7/8,0.0
