config,lambda_adv,K,seed,income_accuracy,majority_baseline,pct_majority_predictions,class1_recall,class1_precision,class1_num_predictions,repr_std_mean,repr_std_max,repr_l2_norm_mean
LAFTR_default,50.0,10,0,0.755511,0.754316,0.953254,0.097568,0.512784,704,0.75724459,2.38329792,3.000661
LAFTR_default,50.0,10,1,0.766733,0.754316,0.971381,0.083514,0.716937,431,0.29645628,0.95632249,1.362321
LAFTR_default,50.0,10,2,0.75923,0.754316,0.980478,0.04973,0.62585,294,0.32036683,1.25146937,1.612715
LAFTR_swept,25.0,10,0,0.756375,0.754316,0.954515,0.096757,0.522628,685,1.17873704,3.40121365,3.948581
LAFTR_swept,25.0,10,1,0.759031,0.754316,0.960757,0.089459,0.560068,591,0.4475255,1.54023314,2.042788
LAFTR_swept,25.0,10,2,0.762284,0.754316,0.964011,0.089459,0.610701,542,0.27116436,1.00186026,1.742616
PCRL_matched,50.0,10,0,0.760956,0.754316,0.947942,0.119459,0.563776,784,0.49259746,1.65954673,1.971487
PCRL_matched,50.0,10,1,0.75259,0.754316,0.988579,0.01973,0.424419,172,0.53576571,1.80691969,2.214349
PCRL_matched,50.0,10,2,0.75591,0.754316,0.953652,0.097568,0.517192,698,0.37710884,2.36687708,1.813607
Attention_seed1_conditioning,50.0,20,1,0.754781,0.754316,0.986786,0.027838,0.517588,199,2.26842308,7.10227442,5.889992
