attribute_i,attribute_j,method,delta,r_squared,adj_pass,allowed_task_acc,delta_i,delta_j,r2_i,r2_j
age,workclass,additive,0.464364,0.560953,False,0.811089,0.464364,0.212415,0.297445,0.560953
age,workclass,sequential,0.416622,0.560081,False,0.810226,0.416622,0.201725,0.274186,0.560081
age,fnlwgt,additive,0.535148,0.341722,False,0.811089,0.464364,0.535148,0.297445,0.341722
age,fnlwgt,sequential,0.513103,0.348067,False,0.810226,0.416622,0.513103,0.274186,0.348067
age,education,additive,0.464364,0.59761,False,0.811089,0.464364,-0.136453,0.297445,0.59761
age,education,sequential,0.416622,0.580144,False,0.810226,0.416622,-0.136121,0.274186,0.580144
age,education-num,additive,0.553076,0.488937,False,0.811089,0.464364,0.553076,0.297445,0.488937
age,education-num,sequential,0.543382,0.479732,False,0.810226,0.416622,0.543382,0.274186,0.479732
age,marital-status,additive,0.464364,0.517585,False,0.811089,0.464364,0.440801,0.297445,0.517585
age,marital-status,sequential,0.416622,0.476137,False,0.810226,0.416622,0.397707,0.274186,0.476137
age,occupation,additive,0.761261,0.506522,False,0.811089,0.464364,0.761261,0.297445,0.506522
age,occupation,sequential,0.727463,0.477749,False,0.810226,0.416622,0.727463,0.274186,0.477749
age,relationship,additive,0.496639,0.512353,False,0.811089,0.464364,0.496639,0.297445,0.512353
age,relationship,sequential,0.460052,0.496816,False,0.810226,0.416622,0.460052,0.274186,0.496816
age,race,additive,0.464364,0.297445,False,0.811089,0.464364,0.049571,0.297445,0.21558
age,race,sequential,0.416622,0.274186,False,0.810226,0.416622,0.043329,0.274186,0.19853
age,sex,additive,0.464364,0.422002,False,0.811089,0.464364,0.229853,0.297445,0.422002
age,sex,sequential,0.416622,0.360951,False,0.810226,0.416622,0.192336,0.274186,0.360951
age,capital-gain,additive,0.464364,0.314019,False,0.811089,0.464364,0.036702,0.297445,0.314019
age,capital-gain,sequential,0.416622,0.31588,False,0.810226,0.416622,0.034378,0.274186,0.31588
age,capital-loss,additive,0.464364,0.925432,False,0.811089,0.464364,0.046284,0.297445,0.925432
age,capital-loss,sequential,0.416622,0.916256,False,0.810226,0.416622,0.046218,0.274186,0.916256
age,hours-per-week,additive,0.464364,0.297445,False,0.811089,0.464364,0.355865,0.297445,0.258078
age,hours-per-week,sequential,0.416622,0.274186,False,0.810226,0.416622,0.355002,0.274186,0.257777
age,native-country,additive,0.464364,0.297445,False,0.811089,0.464364,0.028169,0.297445,0.23846
age,native-country,sequential,0.416622,0.274186,False,0.810226,0.416622,0.026708,0.274186,0.250563
workclass,fnlwgt,additive,0.535148,0.560953,False,0.811089,0.212415,0.535148,0.560953,0.341722
workclass,fnlwgt,sequential,0.513103,0.560081,False,0.810226,0.201725,0.513103,0.560081,0.348067
workclass,education,additive,0.212415,0.59761,False,0.811089,0.212415,-0.136453,0.560953,0.59761
workclass,education,sequential,0.201725,0.580144,False,0.810226,0.201725,-0.136121,0.560081,0.580144
workclass,education-num,additive,0.553076,0.560953,False,0.811089,0.212415,0.553076,0.560953,0.488937
workclass,education-num,sequential,0.543382,0.560081,False,0.810226,0.201725,0.543382,0.560081,0.479732
workclass,marital-status,additive,0.440801,0.560953,False,0.811089,0.212415,0.440801,0.560953,0.517585
workclass,marital-status,sequential,0.397707,0.560081,False,0.810226,0.201725,0.397707,0.560081,0.476137
workclass,occupation,additive,0.761261,0.560953,False,0.811089,0.212415,0.761261,0.560953,0.506522
workclass,occupation,sequential,0.727463,0.560081,False,0.810226,0.201725,0.727463,0.560081,0.477749
workclass,relationship,additive,0.496639,0.560953,False,0.811089,0.212415,0.496639,0.560953,0.512353
workclass,relationship,sequential,0.460052,0.560081,False,0.810226,0.201725,0.460052,0.560081,0.496816
workclass,race,additive,0.212415,0.560953,False,0.811089,0.212415,0.049571,0.560953,0.21558
workclass,race,sequential,0.201725,0.560081,False,0.810226,0.201725,0.043329,0.560081,0.19853
workclass,sex,additive,0.229853,0.560953,False,0.811089,0.212415,0.229853,0.560953,0.422002
workclass,sex,sequential,0.201725,0.560081,False,0.810226,0.201725,0.192336,0.560081,0.360951
workclass,capital-gain,additive,0.212415,0.560953,False,0.811089,0.212415,0.036702,0.560953,0.314019
workclass,capital-gain,sequential,0.201725,0.560081,False,0.810226,0.201725,0.034378,0.560081,0.31588
workclass,capital-loss,additive,0.212415,0.925432,False,0.811089,0.212415,0.046284,0.560953,0.925432
workclass,capital-loss,sequential,0.201725,0.916256,False,0.810226,0.201725,0.046218,0.560081,0.916256
workclass,hours-per-week,additive,0.355865,0.560953,False,0.811089,0.212415,0.355865,0.560953,0.258078
workclass,hours-per-week,sequential,0.355002,0.560081,False,0.810226,0.201725,0.355002,0.560081,0.257777
workclass,native-country,additive,0.212415,0.560953,False,0.811089,0.212415,0.028169,0.560953,0.23846
