attribute_i,attribute_j,method,delta,r_squared,adj_pass,allowed_task_acc,delta_i,delta_j,r2_i,r2_j
age,workclass,additive,0.415493,0.579699,False,0.722576,0.415493,0.22191,0.273851,0.579699
age,workclass,sequential,0.383289,0.531036,False,0.750664,0.383289,0.2079,0.234654,0.531036
age,fnlwgt,additive,0.502346,0.334661,False,0.722576,0.415493,0.502346,0.273851,0.334661
age,fnlwgt,sequential,0.488933,0.329037,False,0.750664,0.383289,0.488933,0.234654,0.329037
age,education,additive,0.415493,0.551423,False,0.722576,0.415493,-0.131871,0.273851,0.551423
age,education,sequential,0.383289,0.50448,False,0.750664,0.383289,-0.134262,0.234654,0.50448
age,education-num,additive,0.52791,0.474785,False,0.722576,0.415493,0.52791,0.273851,0.474785
age,education-num,sequential,0.515692,0.448193,False,0.750664,0.383289,0.515692,0.234654,0.448193
age,marital-status,additive,0.436551,0.533827,False,0.722576,0.415493,0.436551,0.273851,0.533827
age,marital-status,sequential,0.403749,0.44145,False,0.750664,0.383289,0.403749,0.234654,0.44145
age,occupation,additive,0.772682,0.512435,False,0.722576,0.415493,0.772682,0.273851,0.512435
age,occupation,sequential,0.728591,0.46337,False,0.750664,0.383289,0.728591,0.234654,0.46337
age,relationship,additive,0.493784,0.547276,False,0.722576,0.415493,0.493784,0.273851,0.547276
age,relationship,sequential,0.458924,0.477136,False,0.750664,0.383289,0.458924,0.234654,0.477136
age,race,additive,0.415493,0.273851,False,0.722576,0.415493,0.062386,0.273851,0.263048
age,race,sequential,0.383289,0.286573,False,0.750664,0.383289,0.062519,0.234654,0.286573
age,sex,additive,0.415493,0.505262,False,0.722576,0.415493,0.244063,0.273851,0.505262
age,sex,sequential,0.383289,0.44112,False,0.750664,0.383289,0.224076,0.234654,0.44112
age,capital-gain,additive,0.415493,0.348262,False,0.722576,0.415493,0.038229,0.273851,0.348262
age,capital-gain,sequential,0.383289,0.373746,False,0.750664,0.383289,0.040752,0.234654,0.373746
age,capital-loss,additive,0.415493,0.947178,False,0.722576,0.415493,0.046351,0.273851,0.947178
age,capital-loss,sequential,0.383289,0.955859,False,0.750664,0.383289,0.046284,0.234654,0.955859
age,hours-per-week,additive,0.415493,0.273851,False,0.722576,0.415493,0.348428,0.273851,0.258946
age,hours-per-week,sequential,0.383289,0.234654,False,0.750664,0.383289,0.308787,0.234654,0.227076
age,native-country,additive,0.415493,0.349749,False,0.722576,0.415493,0.048753,0.273851,0.349749
age,native-country,sequential,0.383289,0.347758,False,0.750664,0.383289,0.043574,0.234654,0.347758
workclass,fnlwgt,additive,0.502346,0.579699,False,0.722576,0.22191,0.502346,0.579699,0.334661
workclass,fnlwgt,sequential,0.488933,0.531036,False,0.750664,0.2079,0.488933,0.531036,0.329037
workclass,education,additive,0.22191,0.579699,False,0.722576,0.22191,-0.131871,0.579699,0.551423
workclass,education,sequential,0.2079,0.531036,False,0.750664,0.2079,-0.134262,0.531036,0.50448
workclass,education-num,additive,0.52791,0.579699,False,0.722576,0.22191,0.52791,0.579699,0.474785
workclass,education-num,sequential,0.515692,0.531036,False,0.750664,0.2079,0.515692,0.531036,0.448193
workclass,marital-status,additive,0.436551,0.579699,False,0.722576,0.22191,0.436551,0.579699,0.533827
workclass,marital-status,sequential,0.403749,0.531036,False,0.750664,0.2079,0.403749,0.531036,0.44145
workclass,occupation,additive,0.772682,0.579699,False,0.722576,0.22191,0.772682,0.579699,0.512435
workclass,occupation,sequential,0.728591,0.531036,False,0.750664,0.2079,0.728591,0.531036,0.46337
workclass,relationship,additive,0.493784,0.579699,False,0.722576,0.22191,0.493784,0.579699,0.547276
workclass,relationship,sequential,0.458924,0.531036,False,0.750664,0.2079,0.458924,0.531036,0.477136
workclass,race,additive,0.22191,0.579699,False,0.722576,0.22191,0.062386,0.579699,0.263048
workclass,race,sequential,0.2079,0.531036,False,0.750664,0.2079,0.062519,0.531036,0.286573
workclass,sex,additive,0.244063,0.579699,False,0.722576,0.22191,0.244063,0.579699,0.505262
workclass,sex,sequential,0.224076,0.531036,False,0.750664,0.2079,0.224076,0.531036,0.44112
workclass,capital-gain,additive,0.22191,0.579699,False,0.722576,0.22191,0.038229,0.579699,0.348262
workclass,capital-gain,sequential,0.2079,0.531036,False,0.750664,0.2079,0.040752,0.531036,0.373746
workclass,capital-loss,additive,0.22191,0.947178,False,0.722576,0.22191,0.046351,0.579699,0.947178
workclass,capital-loss,sequential,0.2079,0.955859,False,0.750664,0.2079,0.046284,0.531036,0.955859
workclass,hours-per-week,additive,0.348428,0.579699,False,0.722576,0.22191,0.348428,0.579699,0.258946
workclass,hours-per-week,sequential,0.308787,0.531036,False,0.750664,0.2079,0.308787,0.531036,0.227076
workclass,native-country,additive,0.22191,0.579699,False,0.722576,0.22191,0.048753,0.579699,0.349749
workclass,native-country,sequential,0.2079,0.531036,False,0.750664,0.2079,0.043574,0.531036,0.347758
fnlwgt,education,additive,0.502346,0.551423,False,0.722576,0.502346,-0.131871,0.334661,0.551423
fnlwgt,education,sequential,0.488933,0.50448,False,0.750664,0.488933,-0.134262,0.329037,0.50448
fnlwgt,education-num,additive,0.52791,0.474785,False,0.722576,0.502346,0.52791,0.334661,0.474785
fnlwgt,education-num,sequential,0.515692,0.448193,False,0.750664,0.488933,0.515692,0.329037,0.448193
fnlwgt,marital-status,additive,0.502346,0.533827,False,0.722576,0.502346,0.436551,0.334661,0.533827
fnlwgt,marital-status,sequential,0.488933,0.44145,False,0.750664,0.488933,0.403749,0.329037,0.44145
fnlwgt,occupation,additive,0.772682,0.512435,False,0.722576,0.502346,0.772682,0.334661,0.512435
fnlwgt,occupation,sequential,0.728591,0.46337,False,0.750664,0.488933,0.728591,0.329037,0.46337
fnlwgt,relationship,additive,0.502346,0.547276,False,0.722576,0.502346,0.493784,0.334661,0.547276
fnlwgt,relationship,sequential,0.488933,0.477136,False,0.750664,0.488933,0.458924,0.329037,0.477136
fnlwgt,race,additive,0.502346,0.334661,False,0.722576,0.502346,0.062386,0.334661,0.263048
fnlwgt,race,sequential,0.488933,0.329037,False,0.750664,0.488933,0.062519,0.329037,0.286573
fnlwgt,sex,additive,0.502346,0.505262,False,0.722576,0.502346,0.244063,0.334661,0.505262
fnlwgt,sex,sequential,0.488933,0.44112,False,0.750664,0.488933,0.224076,0.329037,0.44112
fnlwgt,capital-gain,additive,0.502346,0.348262,False,0.722576,0.502346,0.038229,0.334661,0.348262
fnlwgt,capital-gain,sequential,0.488933,0.373746,False,0.750664,0.488933,0.040752,0.329037,0.373746
fnlwgt,capital-loss,additive,0.502346,0.947178,False,0.722576,0.502346,0.046351,0.334661,0.947178
fnlwgt,capital-loss,sequential,0.488933,0.955859,False,0.750664,0.488933,0.046284,0.329037,0.955859
fnlwgt,hours-per-week,additive,0.502346,0.334661,False,0.722576,0.502346,0.348428,0.334661,0.258946
fnlwgt,hours-per-week,sequential,0.488933,0.329037,False,0.750664,0.488933,0.308787,0.329037,0.227076
fnlwgt,native-country,additive,0.502346,0.349749,False,0.722576,0.502346,0.048753,0.334661,0.349749
fnlwgt,native-country,sequential,0.488933,0.347758,False,0.750664,0.488933,0.043574,0.329037,0.347758
education,education-num,additive,0.52791,0.551423,False,0.722576,-0.131871,0.52791,0.551423,0.474785
education,education-num,sequential,0.515692,0.50448,False,0.750664,-0.134262,0.515692,0.50448,0.448193
education,marital-status,additive,0.436551,0.551423,False,0.722576,-0.131871,0.436551,0.551423,0.533827
education,marital-status,sequential,0.403749,0.50448,False,0.750664,-0.134262,0.403749,0.50448,0.44145
education,occupation,additive,0.772682,0.551423,False,0.722576,-0.131871,0.772682,0.551423,0.512435
education,occupation,sequential,0.728591,0.50448,False,0.750664,-0.134262,0.728591,0.50448,0.46337
education,relationship,additive,0.493784,0.551423,False,0.722576,-0.131871,0.493784,0.551423,0.547276
education,relationship,sequential,0.458924,0.50448,False,0.750664,-0.134262,0.458924,0.50448,0.477136
education,race,additive,0.062386,0.551423,False,0.722576,-0.131871,0.062386,0.551423,0.263048
education,race,sequential,0.062519,0.50448,False,0.750664,-0.134262,0.062519,0.50448,0.286573
education,sex,additive,0.244063,0.551423,False,0.722576,-0.131871,0.244063,0.551423,0.505262
education,sex,sequential,0.224076,0.50448,False,0.750664,-0.134262,0.224076,0.50448,0.44112
education,capital-gain,additive,0.038229,0.551423,False,0.722576,-0.131871,0.038229,0.551423,0.348262
education,capital-gain,sequential,0.040752,0.50448,False,0.750664,-0.134262,0.040752,0.50448,0.373746
education,capital-loss,additive,0.046351,0.947178,False,0.722576,-0.131871,0.046351,0.551423,0.947178
education,capital-loss,sequential,0.046284,0.955859,False,0.750664,-0.134262,0.046284,0.50448,0.955859
education,hours-per-week,additive,0.348428,0.551423,False,0.722576,-0.131871,0.348428,0.551423,0.258946
education,hours-per-week,sequential,0.308787,0.50448,False,0.750664,-0.134262,0.308787,0.50448,0.227076
education,native-country,additive,0.048753,0.551423,False,0.722576,-0.131871,0.048753,0.551423,0.349749
education,native-country,sequential,0.043574,0.50448,False,0.750664,-0.134262,0.043574,0.50448,0.347758
education-num,marital-status,additive,0.52791,0.533827,False,0.722576,0.52791,0.436551,0.474785,0.533827
education-num,marital-status,sequential,0.515692,0.448193,False,0.750664,0.515692,0.403749,0.448193,0.44145
education-num,occupation,additive,0.772682,0.512435,False,0.722576,0.52791,0.772682,0.474785,0.512435
education-num,occupation,sequential,0.728591,0.46337,False,0.750664,0.515692,0.728591,0.448193,0.46337
education-num,relationship,additive,0.52791,0.547276,False,0.722576,0.52791,0.493784,0.474785,0.547276
education-num,relationship,sequential,0.515692,0.477136,False,0.750664,0.515692,0.458924,0.448193,0.477136
education-num,race,additive,0.52791,0.474785,False,0.722576,0.52791,0.062386,0.474785,0.263048
education-num,race,sequential,0.515692,0.448193,False,0.750664,0.515692,0.062519,0.448193,0.286573
education-num,sex,additive,0.52791,0.505262,False,0.722576,0.52791,0.244063,0.474785,0.505262
education-num,sex,sequential,0.515692,0.448193,False,0.750664,0.515692,0.224076,0.448193,0.44112
education-num,capital-gain,additive,0.52791,0.474785,False,0.722576,0.52791,0.038229,0.474785,0.348262
education-num,capital-gain,sequential,0.515692,0.448193,False,0.750664,0.515692,0.040752,0.448193,0.373746
education-num,capital-loss,additive,0.52791,0.947178,False,0.722576,0.52791,0.046351,0.474785,0.947178
education-num,capital-loss,sequential,0.515692,0.955859,False,0.750664,0.515692,0.046284,0.448193,0.955859
education-num,hours-per-week,additive,0.52791,0.474785,False,0.722576,0.52791,0.348428,0.474785,0.258946
education-num,hours-per-week,sequential,0.515692,0.448193,False,0.750664,0.515692,0.308787,0.448193,0.227076
education-num,native-country,additive,0.52791,0.474785,False,0.722576,0.52791,0.048753,0.474785,0.349749
education-num,native-country,sequential,0.515692,0.448193,False,0.750664,0.515692,0.043574,0.448193,0.347758
marital-status,occupation,additive,0.772682,0.533827,False,0.722576,0.436551,0.772682,0.533827,0.512435
marital-status,occupation,sequential,0.728591,0.46337,False,0.750664,0.403749,0.728591,0.44145,0.46337
marital-status,relationship,additive,0.493784,0.547276,False,0.722576,0.436551,0.493784,0.533827,0.547276
marital-status,relationship,sequential,0.458924,0.477136,False,0.750664,0.403749,0.458924,0.44145,0.477136
marital-status,race,additive,0.436551,0.533827,False,0.722576,0.436551,0.062386,0.533827,0.263048
marital-status,race,sequential,0.403749,0.44145,False,0.750664,0.403749,0.062519,0.44145,0.286573
marital-status,sex,additive,0.436551,0.533827,False,0.722576,0.436551,0.244063,0.533827,0.505262
marital-status,sex,sequential,0.403749,0.44145,False,0.750664,0.403749,0.224076,0.44145,0.44112
marital-status,capital-gain,additive,0.436551,0.533827,False,0.722576,0.436551,0.038229,0.533827,0.348262
marital-status,capital-gain,sequential,0.403749,0.44145,False,0.750664,0.403749,0.040752,0.44145,0.373746
marital-status,capital-loss,additive,0.436551,0.947178,False,0.722576,0.436551,0.046351,0.533827,0.947178
