conditioning,purpose,attribute,income_acc,occupation_group_acc,education_level_acc,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,train_time_s
film,income_prediction,race,0.764,0.2839,0.2979,0.8627,0.8612,0.0015,0.0,True,573.4
film,income_prediction,sex,0.764,0.2839,0.2979,0.6738,0.6738,0.0001,0.002,True,573.4
film,employment_analysis,race,0.764,0.2839,0.2979,0.8635,0.8612,0.0023,0.0292,True,573.4
film,employment_analysis,age_group,0.764,0.2839,0.2979,0.527,0.5173,0.0096,0.0075,True,573.4
film,employment_analysis,marital_status,0.764,0.2839,0.2979,0.5788,0.523,0.0558,0.0,False,573.4
film,education_assessment,sex,0.764,0.2839,0.2979,0.6759,0.6738,0.0021,0.0,True,573.4
film,education_assessment,race,0.764,0.2839,0.2979,0.8639,0.8612,0.0027,0.0,True,573.4
film,education_assessment,income,0.764,0.2839,0.2979,0.7707,0.7543,0.0163,0.0,True,573.4
concat,income_prediction,race,0.7579,0.2849,0.3365,0.8813,0.8612,0.0201,0.0921,False,600.0
concat,income_prediction,sex,0.7579,0.2849,0.3365,0.7335,0.6738,0.0598,0.0397,False,600.0
concat,employment_analysis,race,0.7579,0.2849,0.3365,0.8977,0.8612,0.0365,0.081,False,600.0
concat,employment_analysis,age_group,0.7579,0.2849,0.3365,0.5191,0.5173,0.0017,0.0,True,600.0
concat,employment_analysis,marital_status,0.7579,0.2849,0.3365,0.6452,0.523,0.1221,0.0,False,600.0
concat,education_assessment,sex,0.7579,0.2849,0.3365,0.7436,0.6738,0.0698,0.0583,False,600.0
concat,education_assessment,race,0.7579,0.2849,0.3365,0.904,0.8612,0.0428,0.0,False,600.0
concat,education_assessment,income,0.7579,0.2849,0.3365,0.7699,0.7543,0.0156,0.0206,True,600.0
attention,income_prediction,race,0.7598,0.2819,0.3319,0.9126,0.8612,0.0514,0.0,False,1172.0
attention,income_prediction,sex,0.7598,0.2819,0.3319,0.743,0.6738,0.0692,0.0,False,1172.0
attention,employment_analysis,race,0.7598,0.2819,0.3319,0.9114,0.8612,0.0502,0.0,False,1172.0
attention,employment_analysis,age_group,0.7598,0.2819,0.3319,0.6616,0.5173,0.1443,0.0,False,1172.0
attention,employment_analysis,marital_status,0.7598,0.2819,0.3319,0.7554,0.523,0.2324,0.0018,False,1172.0
attention,education_assessment,sex,0.7598,0.2819,0.3319,0.7413,0.6738,0.0675,0.0,False,1172.0
attention,education_assessment,race,0.7598,0.2819,0.3319,0.9149,0.8612,0.0537,0.0,False,1172.0
attention,education_assessment,income,0.7598,0.2819,0.3319,0.7933,0.7543,0.039,0.0167,False,1172.0
