conditioning,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,income_acc,train_time_s,stopped_epoch
film,0,income_prediction,race,0.856573,0.85979,-0.003217,0.0,True,6,8,0.7579,294.3,23
film,0,income_prediction,sex,0.675752,0.675685,6.7e-05,0.00202,True,6,8,0.7579,294.3,23
film,0,employment_analysis,race,0.855908,0.85979,-0.003882,0.0,True,6,8,0.7579,294.3,23
film,0,employment_analysis,age_group,0.537643,0.522346,0.015297,0.0,True,6,8,0.7579,294.3,23
film,0,employment_analysis,marital_status,0.552601,0.520721,0.03188,0.0,False,6,8,0.7579,294.3,23
film,0,education_assessment,sex,0.677082,0.675685,0.001397,0.0,True,6,8,0.7579,294.3,23
film,0,education_assessment,race,0.855576,0.85979,-0.004215,0.0,True,6,8,0.7579,294.3,23
film,0,education_assessment,income,0.773309,0.751078,0.022231,0.0,False,6,8,0.7579,294.3,23
film,1,income_prediction,race,0.855742,0.85979,-0.004048,0.0,True,6,8,0.7475,295.4,22
film,1,income_prediction,sex,0.673425,0.675685,-0.002259,0.0,True,6,8,0.7475,295.4,22
film,1,employment_analysis,race,0.85541,0.85979,-0.004381,0.020643,True,6,8,0.7475,295.4,22
film,1,employment_analysis,age_group,0.533156,0.522346,0.01081,0.008327,True,6,8,0.7475,295.4,22
film,1,employment_analysis,marital_status,0.551604,0.520721,0.030882,0.018521,False,6,8,0.7475,295.4,22
film,1,education_assessment,sex,0.674256,0.675685,-0.001428,0.0,True,6,8,0.7475,295.4,22
film,1,education_assessment,race,0.856074,0.85979,-0.003716,0.0,True,6,8,0.7475,295.4,22
film,1,education_assessment,income,0.774472,0.751078,0.023395,0.044787,False,6,8,0.7475,295.4,22
film,2,income_prediction,race,0.855576,0.85979,-0.004215,0.012531,True,6,8,0.7524,297.3,22
film,2,income_prediction,sex,0.674755,0.675685,-0.00093,0.018231,True,6,8,0.7524,297.3,22
film,2,employment_analysis,race,0.856074,0.85979,-0.003716,0.0,True,6,8,0.7524,297.3,22
film,2,employment_analysis,age_group,0.53648,0.522346,0.014134,0.0,True,6,8,0.7524,297.3,22
film,2,employment_analysis,marital_status,0.552933,0.520721,0.032212,0.029501,False,6,8,0.7524,297.3,22
film,2,education_assessment,sex,0.675253,0.675685,-0.000431,0.031385,True,6,8,0.7524,297.3,22
film,2,education_assessment,race,0.855908,0.85979,-0.003882,0.0,True,6,8,0.7524,297.3,22
film,2,education_assessment,income,0.773475,0.751078,0.022398,0.0,False,6,8,0.7524,297.3,22
concat,0,income_prediction,race,0.854579,0.85979,-0.005212,0.0,True,7,8,0.756,313.0,23
concat,0,income_prediction,sex,0.672927,0.675685,-0.002758,0.0,True,7,8,0.756,313.0,23
concat,0,employment_analysis,race,0.854911,0.85979,-0.004879,0.011683,True,7,8,0.756,313.0,23
concat,0,employment_analysis,age_group,0.534818,0.522346,0.012472,0.004201,True,7,8,0.756,313.0,23
concat,0,employment_analysis,marital_status,0.55044,0.520721,0.029719,0.027778,False,7,8,0.756,313.0,23
concat,0,education_assessment,sex,0.673425,0.675685,-0.002259,0.022605,True,7,8,0.756,313.0,23
concat,0,education_assessment,race,0.854246,0.85979,-0.005544,0.01698,True,7,8,0.756,313.0,23
concat,0,education_assessment,income,0.768655,0.751078,0.017578,0.032243,True,7,8,0.756,313.0,23
concat,1,income_prediction,race,0.854579,0.85979,-0.005212,0.005595,True,7,8,0.7529,372.5,28
concat,1,income_prediction,sex,0.67409,0.675685,-0.001595,0.019058,True,7,8,0.7529,372.5,28
concat,1,employment_analysis,race,0.85408,0.85979,-0.00571,0.000378,True,7,8,0.7529,372.5,28
concat,1,employment_analysis,age_group,0.534984,0.522346,0.012638,0.007708,True,7,8,0.7529,372.5,28
concat,1,employment_analysis,marital_status,0.548945,0.520721,0.028223,0.0,False,7,8,0.7529,372.5,28
concat,1,education_assessment,sex,0.675253,0.675685,-0.000431,0.028009,True,7,8,0.7529,372.5,28
concat,1,education_assessment,race,0.854745,0.85979,-0.005046,0.016422,True,7,8,0.7529,372.5,28
concat,1,education_assessment,income,0.767991,0.751078,0.016913,0.044401,True,7,8,0.7529,372.5,28
concat,2,income_prediction,race,0.855243,0.85979,-0.004547,0.0,True,7,8,0.7502,279.8,21
concat,2,income_prediction,sex,0.67409,0.675685,-0.001595,0.005845,True,7,8,0.7502,279.8,21
concat,2,employment_analysis,race,0.854246,0.85979,-0.005544,0.001406,True,7,8,0.7502,279.8,21
concat,2,employment_analysis,age_group,0.534486,0.522346,0.01214,0.011757,True,7,8,0.7502,279.8,21
concat,2,employment_analysis,marital_status,0.547947,0.520721,0.027226,0.039356,False,7,8,0.7502,279.8,21
concat,2,education_assessment,sex,0.67542,0.675685,-0.000265,0.028889,True,7,8,0.7502,279.8,21
concat,2,education_assessment,race,0.855243,0.85979,-0.004547,0.0,True,7,8,0.7502,279.8,21
concat,2,education_assessment,income,0.767991,0.751078,0.016913,0.045036,True,7,8,0.7502,279.8,21
attention,0,income_prediction,race,0.882167,0.85979,0.022377,0.030243,False,0,8,0.7602,288.7,21
attention,0,income_prediction,sex,0.795745,0.675685,0.120061,0.037863,False,0,8,0.7602,288.7,21
attention,0,employment_analysis,race,0.882333,0.85979,0.022543,0.004899,False,0,8,0.7602,288.7,21
attention,0,employment_analysis,age_group,0.620243,0.522346,0.097897,0.0,False,0,8,0.7602,288.7,21
attention,0,employment_analysis,marital_status,0.80954,0.520721,0.288818,0.034039,False,0,8,0.7602,288.7,21
attention,0,education_assessment,sex,0.79774,0.675685,0.122055,0.040306,False,0,8,0.7602,288.7,21
attention,0,education_assessment,race,0.882832,0.85979,0.023042,0.009736,False,0,8,0.7602,288.7,21
attention,0,education_assessment,income,0.81652,0.751078,0.065442,0.0,False,0,8,0.7602,288.7,21
attention,1,income_prediction,race,0.853415,0.85979,-0.006375,0.022484,True,7,8,0.7479,1184.5,85
attention,1,income_prediction,sex,0.669769,0.675685,-0.005916,0.010642,True,7,8,0.7479,1184.5,85
attention,1,employment_analysis,race,0.853415,0.85979,-0.006375,0.022481,True,7,8,0.7479,1184.5,85
attention,1,employment_analysis,age_group,0.528669,0.522346,0.006323,0.005458,True,7,8,0.7479,1184.5,85
attention,1,employment_analysis,marital_status,0.548778,0.520721,0.028057,0.005253,False,7,8,0.7479,1184.5,85
attention,1,education_assessment,sex,0.669769,0.675685,-0.005916,0.010641,True,7,8,0.7479,1184.5,85
attention,1,education_assessment,race,0.853415,0.85979,-0.006375,0.022492,True,7,8,0.7479,1184.5,85
attention,1,education_assessment,income,0.758351,0.751078,0.007274,0.02534,True,7,8,0.7479,1184.5,85
attention,2,income_prediction,race,0.88599,0.85979,0.026199,0.0,False,0,8,0.7479,441.7,32
attention,2,income_prediction,sex,0.788931,0.675685,0.113247,0.012984,False,0,8,0.7479,441.7,32
attention,2,employment_analysis,race,0.884993,0.85979,0.025202,0.0,False,0,8,0.7479,441.7,32
attention,2,employment_analysis,age_group,0.718963,0.522346,0.196617,0.0,False,0,8,0.7479,441.7,32
attention,2,employment_analysis,marital_status,0.80605,0.520721,0.285328,0.020751,False,0,8,0.7479,441.7,32
attention,2,education_assessment,sex,0.787436,0.675685,0.111751,0.0,False,0,8,0.7479,441.7,32
attention,2,education_assessment,race,0.886322,0.85979,0.026532,0.0,False,0,8,0.7479,441.7,32
attention,2,education_assessment,income,0.788433,0.751078,0.037355,0.003146,False,0,8,0.7479,441.7,32
