attribute,representation,classifier,accuracy,majority_baseline,delta
age_group,income_prediction,logistic_regression,0.5311,0.5173,0.0138
age_group,income_prediction,random_forest,0.5319,0.5173,0.0146
age_group,income_prediction,svm_rbf,0.5187,0.5173,0.0013
age_group,income_prediction,xgboost,0.5325,0.5173,0.0152
age_group,employment_analysis,logistic_regression,0.5271,0.5173,0.0098
age_group,employment_analysis,random_forest,0.5379,0.5173,0.0206
age_group,employment_analysis,svm_rbf,0.5183,0.5173,0.001
age_group,employment_analysis,xgboost,0.5396,0.5173,0.0223
age_group,education_assessment,logistic_regression,0.5268,0.5173,0.0095
age_group,education_assessment,random_forest,0.5313,0.5173,0.0139
age_group,education_assessment,svm_rbf,0.5181,0.5173,0.0008
age_group,education_assessment,xgboost,0.5301,0.5173,0.0127
age_group,concatenated,logistic_regression,0.5384,0.5173,0.021
age_group,concatenated,random_forest,0.5575,0.5173,0.0402
age_group,concatenated,svm_rbf,0.5185,0.5173,0.0012
age_group,concatenated,xgboost,0.5642,0.5173,0.0469
income,income_prediction,logistic_regression,0.7737,0.7543,0.0194
income,income_prediction,random_forest,0.7817,0.7543,0.0274
income,income_prediction,svm_rbf,0.7747,0.7543,0.0204
income,income_prediction,xgboost,0.7803,0.7543,0.026
income,employment_analysis,logistic_regression,0.7734,0.7543,0.0191
income,employment_analysis,random_forest,0.7807,0.7543,0.0264
income,employment_analysis,svm_rbf,0.775,0.7543,0.0207
income,employment_analysis,xgboost,0.7787,0.7543,0.0244
income,education_assessment,logistic_regression,0.7733,0.7543,0.019
income,education_assessment,random_forest,0.7826,0.7543,0.0283
income,education_assessment,svm_rbf,0.7748,0.7543,0.0205
income,education_assessment,xgboost,0.7805,0.7543,0.0262
income,concatenated,logistic_regression,0.7783,0.7543,0.024
income,concatenated,random_forest,0.7861,0.7543,0.0318
income,concatenated,svm_rbf,0.7758,0.7543,0.0214
income,concatenated,xgboost,0.7853,0.7543,0.0309
marital_status,income_prediction,logistic_regression,0.5521,0.523,0.029
marital_status,income_prediction,random_forest,0.5573,0.523,0.0343
marital_status,income_prediction,svm_rbf,0.5429,0.523,0.0199
marital_status,income_prediction,xgboost,0.5591,0.523,0.0361
marital_status,employment_analysis,logistic_regression,0.5705,0.523,0.0475
marital_status,employment_analysis,random_forest,0.5936,0.523,0.0705
marital_status,employment_analysis,svm_rbf,0.5446,0.523,0.0216
marital_status,employment_analysis,xgboost,0.5952,0.523,0.0722
marital_status,education_assessment,logistic_regression,0.5539,0.523,0.0309
marital_status,education_assessment,random_forest,0.5606,0.523,0.0375
marital_status,education_assessment,svm_rbf,0.5433,0.523,0.0203
marital_status,education_assessment,xgboost,0.5605,0.523,0.0375
marital_status,concatenated,logistic_regression,0.5849,0.523,0.0619
marital_status,concatenated,random_forest,0.6026,0.523,0.0795
marital_status,concatenated,svm_rbf,0.5439,0.523,0.0208
marital_status,concatenated,xgboost,0.61,0.523,0.0869
race,income_prediction,logistic_regression,0.8634,0.8612,0.0022
race,income_prediction,random_forest,0.8627,0.8612,0.0015
race,income_prediction,svm_rbf,0.8612,0.8612,0.0
race,income_prediction,xgboost,0.8637,0.8612,0.0025
race,employment_analysis,logistic_regression,0.8641,0.8612,0.0029
race,employment_analysis,random_forest,0.8625,0.8612,0.0013
race,employment_analysis,svm_rbf,0.8614,0.8612,0.0002
race,employment_analysis,xgboost,0.8633,0.8612,0.0021
race,education_assessment,logistic_regression,0.8635,0.8612,0.0023
race,education_assessment,random_forest,0.8628,0.8612,0.0016
race,education_assessment,svm_rbf,0.8612,0.8612,0.0
race,education_assessment,xgboost,0.8624,0.8612,0.0012
race,concatenated,logistic_regression,0.8655,0.8612,0.0042
race,concatenated,random_forest,0.8627,0.8612,0.0015
race,concatenated,svm_rbf,0.8612,0.8612,0.0
race,concatenated,xgboost,0.8639,0.8612,0.0027
sex,income_prediction,logistic_regression,0.6794,0.6738,0.0056
sex,income_prediction,random_forest,0.6761,0.6738,0.0023
sex,income_prediction,svm_rbf,0.6737,0.6738,-0.0001
sex,income_prediction,xgboost,0.6762,0.6738,0.0024
sex,employment_analysis,logistic_regression,0.6807,0.6738,0.007
sex,employment_analysis,random_forest,0.6782,0.6738,0.0044
sex,employment_analysis,svm_rbf,0.674,0.6738,0.0003
sex,employment_analysis,xgboost,0.6777,0.6738,0.0039
sex,education_assessment,logistic_regression,0.6774,0.6738,0.0036
sex,education_assessment,random_forest,0.6739,0.6738,0.0001
sex,education_assessment,svm_rbf,0.6738,0.6738,0.0
sex,education_assessment,xgboost,0.6728,0.6738,-0.0009
sex,concatenated,logistic_regression,0.6837,0.6738,0.01
sex,concatenated,random_forest,0.6785,0.6738,0.0047
sex,concatenated,svm_rbf,0.6738,0.6738,0.0
sex,concatenated,xgboost,0.6819,0.6738,0.0081
