subset,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs
full,income_prediction,race,0.863745,0.861319,0.002426,0.0,True,6,8
full,income_prediction,sex,0.67822,0.675858,0.002363,0.0,True,6,8
full,employment_analysis,race,0.863479,0.861319,0.002161,0.0,True,6,8
full,employment_analysis,age_group,0.525232,0.519551,0.005681,0.0,True,6,8
full,employment_analysis,marital_status,0.547942,0.521541,0.026401,0.0,False,6,8
full,education_assessment,sex,0.681009,0.675858,0.005152,0.034243,True,6,8
full,education_assessment,race,0.863015,0.861319,0.001696,0.0,True,6,8
full,education_assessment,income,0.777224,0.752812,0.024412,0.026673,False,6,8
female,income_prediction,race,0.816405,0.852984,-0.036578,0.0,True,4,8
female,income_prediction,sex,0.021779,0.562668,-0.540889,1.0,False,4,8
female,employment_analysis,race,0.814981,0.852984,-0.038003,0.03039,True,4,8
female,employment_analysis,age_group,0.47527,0.512595,-0.037326,0.011249,True,4,8
female,employment_analysis,marital_status,0.834521,0.573198,0.261322,0.0,False,4,8
female,education_assessment,sex,0.029106,0.562668,-0.533561,1.0,False,4,8
female,education_assessment,race,0.814574,0.852984,-0.03841,0.001387,True,4,8
female,education_assessment,income,0.895176,0.774658,0.120518,0.064444,False,4,8
male,income_prediction,race,0.886962,0.868424,0.018538,0.0,True,5,8
male,income_prediction,sex,0.999409,0.772688,0.226721,1.0,False,5,8
male,employment_analysis,race,0.886962,0.868424,0.018538,0.0,True,5,8
male,employment_analysis,age_group,0.549522,0.52642,0.023102,0.0,False,5,8
male,employment_analysis,marital_status,0.409185,0.522892,-0.113707,0.034559,True,5,8
male,education_assessment,sex,0.999507,0.772688,0.22682,1.0,False,5,8
male,education_assessment,race,0.886469,0.868424,0.018045,0.0,True,5,8
male,education_assessment,income,0.720607,0.73364,-0.013033,0.044393,True,5,8
