method,purpose,task_name,task_accuracy,attribute,emp_acc,majority,delta,r2,adj_pass,compliance,train_time_s
extended (frozen encoder),income_prediction,income,0.79,race,0.8649,0.8612,0.0037,0.0,True,1/2,339.0
extended (frozen encoder),income_prediction,income,0.79,sex,0.8091,0.6738,0.1353,0.0,False,1/2,339.0
extended (frozen encoder),employment_analysis,occupation_group,0.3116,race,0.9175,0.8612,0.0562,0.0,False,0/3,339.0
extended (frozen encoder),employment_analysis,occupation_group,0.3116,age_group,0.6574,0.5173,0.14,0.0,False,0/3,339.0
extended (frozen encoder),employment_analysis,occupation_group,0.3116,marital_status,0.8463,0.523,0.3233,0.187658,False,0/3,339.0
extended (frozen encoder),education_assessment,education_level,0.3821,sex,0.6869,0.6738,0.0131,0.0,True,2/3,277.3
extended (frozen encoder),education_assessment,education_level,0.3821,race,0.8643,0.8612,0.0031,0.0,True,2/3,277.3
extended (frozen encoder),education_assessment,education_level,0.3821,income,0.8088,0.7543,0.0545,0.093878,False,2/3,277.3
from scratch (3 purposes),income_prediction,income,0.756,race,0.8637,0.8612,0.0025,0.012398,True,2/2,282.6
from scratch (3 purposes),income_prediction,income,0.756,sex,0.676,0.6738,0.0023,0.0,True,2/2,282.6
from scratch (3 purposes),employment_analysis,occupation_group,0.2849,race,0.8639,0.8612,0.0027,0.0,True,1/3,282.6
from scratch (3 purposes),employment_analysis,occupation_group,0.2849,age_group,0.5546,0.5173,0.0373,0.0,False,1/3,282.6
from scratch (3 purposes),employment_analysis,occupation_group,0.2849,marital_status,0.6268,0.523,0.1037,0.071728,False,1/3,282.6
from scratch (3 purposes),education_assessment,education_level,0.34,sex,0.6768,0.6738,0.003,0.0,True,2/3,282.6
from scratch (3 purposes),education_assessment,education_level,0.34,race,0.8646,0.8612,0.0034,0.0,True,2/3,282.6
from scratch (3 purposes),education_assessment,education_level,0.34,income,0.7771,0.7543,0.0228,0.0,False,2/3,282.6
