mode,lambda_adv,lambda_verify,auditor_steps,epochs_completed,train_time_s,income_acc,occ_group_acc,edu_level_acc,emp_best_race,r2_race,certified_race,emp_best_sex,r2_sex,certified_sex,train_aud_race,train_aud_sex
minimax,10,10,10,30,734.7,0.7589,0.2865,0.3397,0.8618,0.0,False,0.679,0.0113,False,0.8612,0.6737
minimax,10,10,20,25,1204.5,0.7615,0.2948,0.3479,0.9127,0.1296,False,0.8625,0.1753,False,0.8612,0.6738
minimax,10,20,10,16,2295.5,0.7607,0.2861,0.3315,0.8642,0.0217,False,0.6759,0.0079,False,0.8612,0.6738
minimax,10,20,20,27,1927.3,0.76,0.2841,0.3545,0.8636,0.0,False,0.6815,0.0,False,0.8612,0.6738
minimax,10,50,10,16,508.1,0.7618,0.2896,0.3872,0.8634,0.0,False,0.6801,0.0,False,0.8612,0.6738
minimax,10,50,20,21,1330.9,0.7569,0.355,0.4104,0.8635,0.0,False,0.7031,0.0,False,0.8612,0.674
minimax,20,10,10,16,494.6,0.7606,0.2842,0.3367,0.8631,0.0,False,0.6855,0.0,False,0.8612,0.6738
minimax,20,10,20,22,1249.6,0.768,0.2833,0.3673,0.8671,0.0642,False,0.7676,0.08,False,0.8612,0.6738
minimax,20,20,10,16,507.3,0.7572,0.2822,0.2983,0.8636,0.0,False,0.6757,0.0,False,0.8612,0.6738
minimax,20,20,20,23,1331.5,0.763,0.2833,0.3569,0.8622,0.0,False,0.6823,0.0495,False,0.8604,0.6738
minimax,20,50,10,16,498.2,0.7557,0.3415,0.3631,0.8625,0.0317,False,0.6892,0.0608,False,0.8612,0.6738
minimax,20,50,20,23,1381.3,0.7616,0.3221,0.3383,0.8637,0.0,False,0.7228,0.0,False,0.8612,0.6738
minimax,50,10,10,16,493.3,0.7726,0.2892,0.253,0.9066,0.0,False,0.8,0.0,False,0.8612,0.6738
minimax,50,10,20,45,2614.7,0.7605,0.286,0.34,0.8618,0.0,False,0.675,0.0,False,0.8612,0.6738
minimax,50,20,10,25,775.1,0.7564,0.2529,0.3399,0.8625,0.1062,False,0.7086,0.093,False,0.8612,0.6738
minimax,50,20,20,27,1606.3,0.7645,0.2871,0.3422,0.8661,0.0249,False,0.7282,0.0,False,0.8612,0.6738
minimax,50,50,10,16,503.9,0.764,0.2839,0.2979,0.8627,0.0,False,0.6738,0.002,False,0.8612,0.6738
minimax,50,50,20,27,1546.3,0.7659,0.2859,0.3377,0.8635,0.0,False,0.6795,0.0586,False,0.8612,0.6734
minimax,100,10,10,16,1411.1,0.7606,0.2867,0.2981,0.8678,0.0828,False,0.6792,0.0273,False,0.8612,0.6738
minimax,100,10,20,42,11519.5,0.7608,0.286,0.3461,0.8632,0.0427,False,0.7357,0.0013,False,0.8612,0.6738
minimax,100,20,10,42,35275.4,0.7651,0.286,0.34,0.8616,0.0,False,0.6738,0.0175,False,0.8612,0.6738
minimax,100,20,20,22,1131.0,0.7629,0.3525,0.3027,0.8614,0.0,False,0.6797,0.0,False,0.8595,0.6738
minimax,100,50,10,16,448.4,0.7562,0.2803,0.2791,0.8628,0.0,False,0.6807,0.007,False,0.8612,0.6738
minimax,100,50,20,27,1357.7,0.757,0.2859,0.3402,0.864,0.0,False,0.6792,0.0,False,0.8612,0.6738
grl,10,10,0,57,276.7,0.7543,0.6245,0.8563,0.8781,0.1275,False,0.7402,0.0,False,0.8612,0.6738
grl,10,20,0,20,91.9,0.7543,0.579,0.5521,0.8624,0.0,False,0.7241,0.0,False,0.8612,0.6738
grl,10,50,0,18,84.2,0.7543,0.4634,0.506,0.8612,0.0665,False,0.7053,0.1818,False,0.8612,0.6736
grl,20,10,0,57,269.6,0.7564,0.8016,0.7771,0.8775,0.0917,False,0.7625,0.2246,False,0.8612,0.6738
grl,20,20,0,46,219.0,0.7543,0.4653,0.6216,0.8618,0.0,False,0.7112,0.0,False,0.8612,0.6738
grl,20,50,0,18,82.3,0.7543,0.4265,0.5064,0.8612,0.0148,False,0.705,0.039,False,0.8612,0.6738
grl,50,10,0,62,271.2,0.7977,0.875,0.9145,0.9487,0.4326,False,0.8444,0.4045,False,0.8612,0.6738
grl,50,20,0,57,263.3,0.7592,0.7319,0.8252,0.874,0.0973,False,0.7957,0.1816,False,0.8612,0.6738
grl,50,50,0,37,645.5,0.7543,0.391,0.3611,0.8622,0.0253,False,0.718,0.0,False,0.8612,0.6738
grl,100,10,0,16,85.9,0.7639,0.7584,0.9354,0.8852,0.1415,False,0.7552,0.126,False,0.8612,0.6738
grl,100,20,0,31,168.6,0.7584,0.729,0.8576,0.893,0.221,False,0.7681,0.2277,False,0.8612,0.6738
grl,100,50,0,37,193.4,0.7543,0.2999,0.4775,0.8631,0.0,False,0.7066,0.0,False,0.8612,0.6738
