method,lambda_adv,K,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,train_time_s,income_acc,stopped_epoch
LAFTR,25,10,0,income_prediction,race,0.861222,0.861319,-9.7e-05,9e-06,True,8,8,416.7,0.7543,32
LAFTR,25,10,0,income_prediction,sex,0.673772,0.675858,-0.002086,5.4e-05,True,8,8,416.7,0.7543,32
LAFTR,25,10,0,employment_analysis,race,0.861222,0.861319,-9.7e-05,9e-06,True,8,8,416.7,0.7543,32
LAFTR,25,10,0,employment_analysis,age_group,0.517331,0.519551,-0.00222,8.7e-05,True,8,8,416.7,0.7543,32
LAFTR,25,10,0,employment_analysis,marital_status,0.523041,0.521541,0.001501,7.4e-05,True,8,8,416.7,0.7543,32
LAFTR,25,10,0,education_assessment,sex,0.673772,0.675858,-0.002086,5.4e-05,True,8,8,416.7,0.7543,32
LAFTR,25,10,0,education_assessment,race,0.861222,0.861319,-9.7e-05,9e-06,True,8,8,416.7,0.7543,32
LAFTR,25,10,0,education_assessment,income,0.754316,0.752812,0.001504,2.6e-05,True,8,8,416.7,0.7543,32
LAFTR,25,10,1,income_prediction,race,0.861222,0.861319,-9.7e-05,1.5e-05,True,8,8,418.5,0.7543,32
LAFTR,25,10,1,income_prediction,sex,0.673838,0.675858,-0.00202,0.000168,True,8,8,418.5,0.7543,32
LAFTR,25,10,1,employment_analysis,race,0.861222,0.861319,-9.7e-05,1.5e-05,True,8,8,418.5,0.7543,32
LAFTR,25,10,1,employment_analysis,age_group,0.517331,0.519551,-0.00222,0.000124,True,8,8,418.5,0.7543,32
LAFTR,25,10,1,employment_analysis,marital_status,0.523041,0.521541,0.001501,0.000121,True,8,8,418.5,0.7543,32
LAFTR,25,10,1,education_assessment,sex,0.673838,0.675858,-0.00202,0.000168,True,8,8,418.5,0.7543,32
LAFTR,25,10,1,education_assessment,race,0.861222,0.861319,-9.7e-05,1.5e-05,True,8,8,418.5,0.7543,32
LAFTR,25,10,1,education_assessment,income,0.754316,0.752812,0.001504,4.3e-05,True,8,8,418.5,0.7543,32
LAFTR,25,10,2,income_prediction,race,0.861222,0.861319,-9.7e-05,0.000101,True,8,8,406.9,0.7543,31
LAFTR,25,10,2,income_prediction,sex,0.673838,0.675858,-0.00202,0.000835,True,8,8,406.9,0.7543,31
LAFTR,25,10,2,employment_analysis,race,0.861222,0.861319,-9.7e-05,0.000101,True,8,8,406.9,0.7543,31
LAFTR,25,10,2,employment_analysis,age_group,0.517331,0.519551,-0.00222,0.00078,True,8,8,406.9,0.7543,31
LAFTR,25,10,2,employment_analysis,marital_status,0.523041,0.521541,0.001501,0.000811,True,8,8,406.9,0.7543,31
LAFTR,25,10,2,education_assessment,sex,0.673772,0.675858,-0.002086,0.000835,True,8,8,406.9,0.7543,31
LAFTR,25,10,2,education_assessment,race,0.861222,0.861319,-9.7e-05,0.000101,True,8,8,406.9,0.7543,31
LAFTR,25,10,2,education_assessment,income,0.754582,0.752812,0.00177,0.001738,True,8,8,406.9,0.7543,31
