config,purpose,attribute,income_acc,occupation_group_acc,education_level_acc,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,train_time_s
Baseline (λ=50/50),income_prediction,race,0.764,0.2839,0.2979,0.8627,0.8612,0.0015,0.0,True,573.1
Baseline (λ=50/50),income_prediction,sex,0.764,0.2839,0.2979,0.6738,0.6738,0.0001,0.002,True,573.1
Baseline (λ=50/50),employment_analysis,race,0.764,0.2839,0.2979,0.8635,0.8612,0.0023,0.0292,True,573.1
Baseline (λ=50/50),employment_analysis,age_group,0.764,0.2839,0.2979,0.527,0.5173,0.0096,0.0075,True,573.1
Baseline (λ=50/50),employment_analysis,marital_status,0.764,0.2839,0.2979,0.5788,0.523,0.0558,0.0,False,573.1
Baseline (λ=50/50),education_assessment,sex,0.764,0.2839,0.2979,0.6759,0.6738,0.0021,0.0,True,573.1
Baseline (λ=50/50),education_assessment,race,0.764,0.2839,0.2979,0.8639,0.8612,0.0027,0.0,True,573.1
Baseline (λ=50/50),education_assessment,income,0.764,0.2839,0.2979,0.7707,0.7543,0.0163,0.0,True,573.1
Per-attr λ (mar=200/100),income_prediction,race,0.7557,0.2856,0.3374,0.8643,0.8612,0.0031,0.0,True,987.6
Per-attr λ (mar=200/100),income_prediction,sex,0.7557,0.2856,0.3374,0.6738,0.6738,0.0,0.0,True,987.6
Per-attr λ (mar=200/100),employment_analysis,race,0.7557,0.2856,0.3374,0.8627,0.8612,0.0015,0.0,True,987.6
Per-attr λ (mar=200/100),employment_analysis,age_group,0.7557,0.2856,0.3374,0.523,0.5173,0.0056,0.0,True,987.6
Per-attr λ (mar=200/100),employment_analysis,marital_status,0.7557,0.2856,0.3374,0.5645,0.523,0.0414,0.014,False,987.6
Per-attr λ (mar=200/100),education_assessment,sex,0.7557,0.2856,0.3374,0.6738,0.6738,0.0,0.0,True,987.6
Per-attr λ (mar=200/100),education_assessment,race,0.7557,0.2856,0.3374,0.8626,0.8612,0.0014,0.0351,True,987.6
Per-attr λ (mar=200/100),education_assessment,income,0.7557,0.2856,0.3374,0.7773,0.7543,0.023,0.0486,False,987.6
Big aud + per-attr λ,income_prediction,race,0.7611,0.2865,0.3312,0.8628,0.8612,0.0016,0.0,True,8937.5
Big aud + per-attr λ,income_prediction,sex,0.7611,0.2865,0.3312,0.7071,0.6738,0.0333,0.0,False,8937.5
Big aud + per-attr λ,employment_analysis,race,0.7611,0.2865,0.3312,0.8912,0.8612,0.03,0.0,False,8937.5
Big aud + per-attr λ,employment_analysis,age_group,0.7611,0.2865,0.3312,0.6264,0.5173,0.109,0.0,False,8937.5
Big aud + per-attr λ,employment_analysis,marital_status,0.7611,0.2865,0.3312,0.7835,0.523,0.2604,0.0024,False,8937.5
Big aud + per-attr λ,education_assessment,sex,0.7611,0.2865,0.3312,0.7286,0.6738,0.0548,0.0,False,8937.5
Big aud + per-attr λ,education_assessment,race,0.7611,0.2865,0.3312,0.8637,0.8612,0.0025,0.0,True,8937.5
Big aud + per-attr λ,education_assessment,income,0.7611,0.2865,0.3312,0.7961,0.7543,0.0418,0.0,False,8937.5
Aggressive (mar=300/150),income_prediction,race,0.7636,0.2822,0.3343,0.8632,0.8612,0.002,0.0205,True,16343.7
Aggressive (mar=300/150),income_prediction,sex,0.7636,0.2822,0.3343,0.7321,0.6738,0.0583,0.0674,False,16343.7
Aggressive (mar=300/150),employment_analysis,race,0.7636,0.2822,0.3343,0.8735,0.8612,0.0123,0.012,True,16343.7
Aggressive (mar=300/150),employment_analysis,age_group,0.7636,0.2822,0.3343,0.6673,0.5173,0.1499,0.1321,False,16343.7
Aggressive (mar=300/150),employment_analysis,marital_status,0.7636,0.2822,0.3343,0.7778,0.523,0.2548,0.1581,False,16343.7
Aggressive (mar=300/150),education_assessment,sex,0.7636,0.2822,0.3343,0.7558,0.6738,0.082,0.1314,False,16343.7
Aggressive (mar=300/150),education_assessment,race,0.7636,0.2822,0.3343,0.8637,0.8612,0.0025,0.0,True,16343.7
Aggressive (mar=300/150),education_assessment,income,0.7636,0.2822,0.3343,0.7991,0.7543,0.0448,0.1335,False,16343.7
