lambda_adv,income_accuracy,occupation_accuracy,marital_delta,marital_r2,purpose,attribute,emp_acc,majority,delta,r2,adj_pass,train_time_s
10,0.7746,0.3248,0.183,0.0,income_prediction,race,0.9018,0.8612,0.0406,0.0,False,364.9
10,0.7746,0.3248,0.183,0.0,income_prediction,sex,0.8752,0.6738,0.2015,0.304287,False,364.9
10,0.7746,0.3248,0.183,0.0,employment_analysis,race,0.8631,0.8612,0.0019,0.0,True,364.9
10,0.7746,0.3248,0.183,0.0,employment_analysis,age_group,0.5793,0.5173,0.062,0.0,False,364.9
10,0.7746,0.3248,0.183,0.0,employment_analysis,marital_status,0.706,0.523,0.183,0.0,False,364.9
25,0.7664,0.2871,0.2539,0.098403,income_prediction,race,0.8635,0.8612,0.0023,0.0,True,191.8
25,0.7664,0.2871,0.2539,0.098403,income_prediction,sex,0.6839,0.6738,0.0101,0.0,True,191.8
25,0.7664,0.2871,0.2539,0.098403,employment_analysis,race,0.8627,0.8612,0.0015,0.0,True,191.8
25,0.7664,0.2871,0.2539,0.098403,employment_analysis,age_group,0.5413,0.5173,0.024,0.0,False,191.8
25,0.7664,0.2871,0.2539,0.098403,employment_analysis,marital_status,0.7769,0.523,0.2539,0.098403,False,191.8
50,0.7785,0.2911,0.2079,0.16608,income_prediction,race,0.863,0.8612,0.0018,0.0,True,189.8
50,0.7785,0.2911,0.2079,0.16608,income_prediction,sex,0.6805,0.6738,0.0067,0.0,True,189.8
50,0.7785,0.2911,0.2079,0.16608,employment_analysis,race,0.8636,0.8612,0.0024,0.0,True,189.8
50,0.7785,0.2911,0.2079,0.16608,employment_analysis,age_group,0.5633,0.5173,0.046,0.0,False,189.8
50,0.7785,0.2911,0.2079,0.16608,employment_analysis,marital_status,0.7309,0.523,0.2079,0.16608,False,189.8
100,0.7926,0.3104,0.2792,0.287346,income_prediction,race,0.8699,0.8612,0.0086,0.094283,False,336.8
100,0.7926,0.3104,0.2792,0.287346,income_prediction,sex,0.8138,0.6738,0.14,0.220858,False,336.8
100,0.7926,0.3104,0.2792,0.287346,employment_analysis,race,0.8821,0.8612,0.0208,0.062016,False,336.8
100,0.7926,0.3104,0.2792,0.287346,employment_analysis,age_group,0.5963,0.5173,0.079,0.057412,False,336.8
100,0.7926,0.3104,0.2792,0.287346,employment_analysis,marital_status,0.8023,0.523,0.2792,0.287346,False,336.8
200,0.7884,0.2924,0.2713,0.235503,income_prediction,race,0.8637,0.8612,0.0025,0.037029,True,435.5
200,0.7884,0.2924,0.2713,0.235503,income_prediction,sex,0.7321,0.6738,0.0584,0.129464,False,435.5
200,0.7884,0.2924,0.2713,0.235503,employment_analysis,race,0.8645,0.8612,0.0033,0.046439,True,435.5
200,0.7884,0.2924,0.2713,0.235503,employment_analysis,age_group,0.6185,0.5173,0.1012,0.021492,False,435.5
200,0.7884,0.2924,0.2713,0.235503,employment_analysis,marital_status,0.7944,0.523,0.2713,0.235503,False,435.5
