method,lambda_adv,K,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,train_time_s,income_acc,stopped_epoch
PCRL,50,20,0,income_prediction,race,0.864276,0.861319,0.002958,0.0,True,7,8,1907.5,0.7559,89
PCRL,50,20,0,income_prediction,sex,0.681474,0.675858,0.005616,0.0,True,7,8,1907.5,0.7559,89
PCRL,50,20,0,employment_analysis,race,0.863214,0.861319,0.001895,0.0,True,7,8,1907.5,0.7559,89
PCRL,50,20,0,employment_analysis,age_group,0.524303,0.519551,0.004752,0.0,True,7,8,1907.5,0.7559,89
PCRL,50,20,0,employment_analysis,marital_status,0.542696,0.521541,0.021155,0.0,False,7,8,1907.5,0.7559,89
PCRL,50,20,0,education_assessment,sex,0.677025,0.675858,0.001168,0.0,True,7,8,1907.5,0.7559,89
PCRL,50,20,0,education_assessment,race,0.862218,0.861319,0.000899,0.0,True,7,8,1907.5,0.7559,89
PCRL,50,20,0,education_assessment,income,0.771182,0.752812,0.01837,0.030198,True,7,8,1907.5,0.7559,89
PCRL,50,20,1,income_prediction,race,0.862284,0.861319,0.000965,0.0,True,6,8,2077.1,0.76,92
PCRL,50,20,1,income_prediction,sex,0.677623,0.675858,0.001765,0.0,True,6,8,2077.1,0.76,92
PCRL,50,20,1,employment_analysis,race,0.861952,0.861319,0.000633,0.0,True,6,8,2077.1,0.76,92
PCRL,50,20,1,employment_analysis,age_group,0.521381,0.519551,0.00183,0.0,True,6,8,2077.1,0.76,92
PCRL,50,20,1,employment_analysis,marital_status,0.550797,0.521541,0.029256,0.00482,False,6,8,2077.1,0.76,92
PCRL,50,20,1,education_assessment,sex,0.679416,0.675858,0.003558,0.0,True,6,8,2077.1,0.76,92
PCRL,50,20,1,education_assessment,race,0.862948,0.861319,0.001629,0.0,True,6,8,2077.1,0.76,92
PCRL,50,20,1,education_assessment,income,0.775432,0.752812,0.022619,0.0,False,6,8,2077.1,0.76,92
PCRL,50,20,2,income_prediction,race,0.862749,0.861319,0.00143,0.013272,True,6,8,1259.3,0.7582,56
PCRL,50,20,2,income_prediction,sex,0.676494,0.675858,0.000636,0.022649,True,6,8,1259.3,0.7582,56
PCRL,50,20,2,employment_analysis,race,0.862749,0.861319,0.00143,0.018831,True,6,8,1259.3,0.7582,56
PCRL,50,20,2,employment_analysis,age_group,0.52344,0.519551,0.003888,0.010419,True,6,8,1259.3,0.7582,56
PCRL,50,20,2,employment_analysis,marital_status,0.54761,0.521541,0.026069,0.009576,False,6,8,1259.3,0.7582,56
PCRL,50,20,2,education_assessment,sex,0.677689,0.675858,0.001832,0.017424,True,6,8,1259.3,0.7582,56
PCRL,50,20,2,education_assessment,race,0.862218,0.861319,0.000899,0.006723,True,6,8,1259.3,0.7582,56
PCRL,50,20,2,education_assessment,income,0.777092,0.752812,0.024279,0.057531,False,6,8,1259.3,0.7582,56
