method,purpose,attribute,Smiling_acc,Male_acc,Attractive_acc,Young_acc,Mouth_Slightly_Open_acc,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,train_time_s
Standard (no privacy),smile_detection,Male,0.8987,0.9453,0.769,0.8447,0.8957,0.956,0.6077,0.3483,0.8191,False,207.9
Standard (no privacy),smile_detection,Young,0.8987,0.9453,0.769,0.8447,0.8957,0.8477,0.7553,0.0923,0.4287,False,207.9
Standard (no privacy),age_estimation,Male,0.8987,0.9453,0.769,0.8447,0.8957,0.9547,0.6077,0.347,0.8191,False,207.9
Standard (no privacy),age_estimation,Attractive,0.8987,0.9453,0.769,0.8447,0.8957,0.7803,0.508,0.2723,0.4392,False,207.9
Standard (no privacy),expression_analysis,Male,0.8987,0.9453,0.769,0.8447,0.8957,0.9547,0.6077,0.347,0.8191,False,207.9
Standard (no privacy),expression_analysis,Young,0.8987,0.9453,0.769,0.8447,0.8957,0.8483,0.7553,0.093,0.4287,False,207.9
Standard (no privacy),expression_analysis,Attractive,0.8987,0.9453,0.769,0.8447,0.8957,0.7763,0.508,0.2683,0.4392,False,207.9
Standard (no privacy),attractiveness_prediction,Male,0.8987,0.9453,0.769,0.8447,0.8957,0.9547,0.6077,0.347,0.8191,False,207.9
Standard (no privacy),attractiveness_prediction,Young,0.8987,0.9453,0.769,0.8447,0.8957,0.846,0.7553,0.0907,0.4287,False,207.9
Standard (no privacy),attractiveness_prediction,Smiling,0.8987,0.9453,0.769,0.8447,0.8957,0.9013,0.501,0.4003,0.7298,False,207.9
Standard (no privacy),gender_analysis,Young,0.8987,0.9453,0.769,0.8447,0.8957,0.8473,0.7553,0.092,0.4287,False,207.9
Standard (no privacy),gender_analysis,Attractive,0.8987,0.9453,0.769,0.8447,0.8957,0.7783,0.508,0.2703,0.4392,False,207.9
Standard (no privacy),gender_analysis,Smiling,0.8987,0.9453,0.769,0.8447,0.8957,0.9037,0.501,0.4027,0.7298,False,207.9
Adversarial-only (LAFTR),smile_detection,Male,0.501,0.6077,0.492,0.7553,0.4987,0.6077,0.6077,0.0,0.0,True,665.8
Adversarial-only (LAFTR),smile_detection,Young,0.501,0.6077,0.492,0.7553,0.4987,0.7553,0.7553,0.0,0.0,True,665.8
Adversarial-only (LAFTR),age_estimation,Male,0.501,0.6077,0.492,0.7553,0.4987,0.6077,0.6077,0.0,0.0,True,665.8
Adversarial-only (LAFTR),age_estimation,Attractive,0.501,0.6077,0.492,0.7553,0.4987,0.492,0.508,-0.016,0.0,True,665.8
Adversarial-only (LAFTR),expression_analysis,Male,0.501,0.6077,0.492,0.7553,0.4987,0.6077,0.6077,0.0,0.0,True,665.8
Adversarial-only (LAFTR),expression_analysis,Young,0.501,0.6077,0.492,0.7553,0.4987,0.7553,0.7553,0.0,0.0,True,665.8
Adversarial-only (LAFTR),expression_analysis,Attractive,0.501,0.6077,0.492,0.7553,0.4987,0.492,0.508,-0.016,0.0,True,665.8
Adversarial-only (LAFTR),attractiveness_prediction,Male,0.501,0.6077,0.492,0.7553,0.4987,0.6077,0.6077,0.0,0.0,True,665.8
Adversarial-only (LAFTR),attractiveness_prediction,Young,0.501,0.6077,0.492,0.7553,0.4987,0.7553,0.7553,0.0,0.0,True,665.8
Adversarial-only (LAFTR),attractiveness_prediction,Smiling,0.501,0.6077,0.492,0.7553,0.4987,0.501,0.501,0.0,0.0,True,665.8
Adversarial-only (LAFTR),gender_analysis,Young,0.501,0.6077,0.492,0.7553,0.4987,0.7553,0.7553,0.0,0.0,True,665.8
Adversarial-only (LAFTR),gender_analysis,Attractive,0.501,0.6077,0.492,0.7553,0.4987,0.492,0.508,-0.016,0.0,True,665.8
Adversarial-only (LAFTR),gender_analysis,Smiling,0.501,0.6077,0.492,0.7553,0.4987,0.501,0.501,0.0,0.0,True,665.8
PCRL (ours),smile_detection,Male,0.7268,0.6077,0.508,0.831,0.501,0.6737,0.6077,0.066,0.1377,False,1464.5
PCRL (ours),smile_detection,Young,0.7268,0.6077,0.508,0.831,0.501,0.7553,0.7553,0.0,0.0462,True,1464.5
PCRL (ours),age_estimation,Male,0.7268,0.6077,0.508,0.831,0.501,0.6533,0.6077,0.0457,0.0686,False,1464.5
PCRL (ours),age_estimation,Attractive,0.7268,0.6077,0.508,0.831,0.501,0.6377,0.508,0.1297,0.1235,False,1464.5
PCRL (ours),expression_analysis,Male,0.7268,0.6077,0.508,0.831,0.501,0.6573,0.6077,0.0497,0.1035,False,1464.5
PCRL (ours),expression_analysis,Young,0.7268,0.6077,0.508,0.831,0.501,0.7553,0.7553,0.0,0.0404,True,1464.5
PCRL (ours),expression_analysis,Attractive,0.7268,0.6077,0.508,0.831,0.501,0.584,0.508,0.076,0.0584,False,1464.5
PCRL (ours),attractiveness_prediction,Male,0.7268,0.6077,0.508,0.831,0.501,0.6363,0.6077,0.0287,0.067,False,1464.5
PCRL (ours),attractiveness_prediction,Young,0.7268,0.6077,0.508,0.831,0.501,0.7553,0.7553,0.0,0.0288,True,1464.5
PCRL (ours),attractiveness_prediction,Smiling,0.7268,0.6077,0.508,0.831,0.501,0.6317,0.501,0.1307,0.1084,False,1464.5
PCRL (ours),gender_analysis,Young,0.7268,0.6077,0.508,0.831,0.501,0.7553,0.7553,0.0,0.0266,True,1464.5
PCRL (ours),gender_analysis,Attractive,0.7268,0.6077,0.508,0.831,0.501,0.5757,0.508,0.0677,0.0438,False,1464.5
PCRL (ours),gender_analysis,Smiling,0.7268,0.6077,0.508,0.831,0.501,0.641,0.501,0.14,0.1226,False,1464.5
