purpose,attribute,linear_r2,linear_pass,empirical_best_acc,majority_baseline,delta,adj_pass,nonlinear_bound,train_time_s
smile_detection,Male,0.019316,False,0.6077,0.5851,0.0226,False,0.7642,1120.8
smile_detection,Young,0.008993,True,0.7553,0.7721,-0.0167,True,0.912,1120.8
age_estimation,Male,0.028854,False,0.6077,0.5851,0.0226,False,0.7764,1120.8
age_estimation,Attractive,0.078376,False,0.5097,0.507,0.0027,False,0.7553,1120.8
expression_analysis,Male,0.018262,False,0.6077,0.5851,0.0226,False,0.7614,1120.8
expression_analysis,Young,0.010648,False,0.7553,0.7721,-0.0167,True,0.9131,1120.8
expression_analysis,Attractive,0.015758,False,0.5193,0.507,0.0123,True,0.6799,1120.8
attractiveness_prediction,Male,0.121172,False,0.6077,0.5851,0.0226,False,0.8695,1120.8
attractiveness_prediction,Young,0.017722,False,0.7553,0.7721,-0.0167,True,0.9236,1120.8
attractiveness_prediction,Smiling,0.093014,False,0.501,0.5139,-0.0129,False,0.7776,1120.8
gender_analysis,Young,0.025971,False,0.7553,0.7721,-0.0167,True,0.9327,1120.8
gender_analysis,Attractive,0.051942,False,0.601,0.507,0.094,False,0.727,1120.8
gender_analysis,Smiling,0.01405,False,0.501,0.5139,-0.0129,True,0.6886,1120.8
