purpose,attribute,linear_r2,linear_pass,empirical_best_acc,majority_baseline,delta,adj_pass,nonlinear_bound,train_time_s
smile_detection,Male,0.01629,False,0.5987,0.5851,0.0136,True,0.7598,1104.1
smile_detection,Young,0.015252,False,0.7553,0.7721,-0.0167,True,0.915,1104.1
age_estimation,Male,0.029204,False,0.6673,0.5851,0.0823,False,0.7774,1104.1
age_estimation,Attractive,0.084081,False,0.6317,0.507,0.1247,False,0.7609,1104.1
expression_analysis,Male,0.023294,False,0.6153,0.5851,0.0303,False,0.7674,1104.1
expression_analysis,Young,0.013515,False,0.7553,0.7721,-0.0167,True,0.9168,1104.1
expression_analysis,Attractive,0.027546,False,0.5523,0.507,0.0453,False,0.6955,1104.1
attractiveness_prediction,Male,0.242735,False,0.7393,0.5851,0.1543,False,0.9561,1104.1
attractiveness_prediction,Young,0.124852,False,0.7693,0.7721,-0.0027,False,1.0,1104.1
attractiveness_prediction,Smiling,0.030805,False,0.5747,0.5139,0.0607,False,0.7083,1104.1
gender_analysis,Young,0.026491,False,0.7553,0.7721,-0.0167,True,0.9333,1104.1
gender_analysis,Attractive,0.057522,False,0.696,0.507,0.189,False,0.7333,1104.1
gender_analysis,Smiling,0.012061,False,0.568,0.5139,0.0541,False,0.6858,1104.1
