purpose,disallowed_attribute,delta,r_squared,pass
smile_detection,Male,0.0226,0.0193,FAIL
smile_detection,Young,-0.0167,0.0090,PASS
age_estimation,Male,0.0226,0.0289,FAIL
age_estimation,Attractive,0.0027,0.0784,FAIL
expression_analysis,Male,0.0226,0.0183,FAIL
expression_analysis,Young,-0.0167,0.0106,PASS
expression_analysis,Attractive,0.0123,0.0158,PASS
attractiveness_prediction,Male,0.0226,0.1212,FAIL
attractiveness_prediction,Young,-0.0167,0.0177,PASS
attractiveness_prediction,Smiling,-0.0129,0.0930,FAIL
gender_analysis,Young,-0.0167,0.0260,PASS
gender_analysis,Attractive,0.0940,0.0519,FAIL
gender_analysis,Smiling,-0.0129,0.0140,PASS
