purpose,attribute,task_accuracy,empirical_best_acc,majority_baseline,delta,r_squared,adj_pass,train_time_s,stopped_epoch
smile_detection,Male,0.501,0.6077,0.5851,0.0226,0.0,False,1089.4,50
smile_detection,Young,0.501,0.7553,0.7721,-0.0167,0.0,True,1089.4,50
age_estimation,Male,0.7553,0.6077,0.5851,0.0226,0.0,False,1089.4,50
age_estimation,Attractive,0.7553,0.492,0.507,-0.015,0.0,True,1089.4,50
expression_analysis,Male,0.501,0.6077,0.5851,0.0226,0.0,False,1089.4,50
expression_analysis,Young,0.501,0.7553,0.7721,-0.0167,0.0,True,1089.4,50
expression_analysis,Attractive,0.501,0.492,0.507,-0.015,0.0,True,1089.4,50
attractiveness_prediction,Male,0.492,0.6077,0.5851,0.0226,0.0,False,1089.4,50
attractiveness_prediction,Young,0.492,0.7553,0.7721,-0.0167,0.0,True,1089.4,50
attractiveness_prediction,Smiling,0.492,0.501,0.5139,-0.0129,0.0,True,1089.4,50
gender_analysis,Young,0.6077,0.7553,0.7721,-0.0167,0.0,True,1089.4,50
gender_analysis,Attractive,0.6077,0.492,0.507,-0.015,0.0,True,1089.4,50
gender_analysis,Smiling,0.6077,0.501,0.5139,-0.0129,0.0,True,1089.4,50
