purpose,attribute,task_accuracy,empirical_best_acc,majority_baseline,delta,r_squared,adj_pass,train_time_s,stopped_epoch
smile_detection,Male,0.9067,0.6047,0.5851,0.0196,0.015111,True,1034.6,50.0
smile_detection,Young,0.9067,0.7553,0.7721,-0.0167,0.00937,True,1034.6,50.0
age_estimation,Male,0.836,0.652,0.5851,0.0669,0.020688,False,993.0,50.0
age_estimation,Attractive,0.836,0.6233,0.507,0.1163,0.077765,False,993.0,50.0
expression_analysis,Male,0.9073,0.6,0.5851,0.0149,0.017381,True,839.8,50
expression_analysis,Young,0.9073,0.756,0.7721,-0.0161,0.014275,True,839.8,50
expression_analysis,Attractive,0.9073,0.5673,0.507,0.0603,0.015167,False,839.8,50
attractiveness_prediction,Male,0.492,0.6077,0.5851,0.0226,1.1e-05,False,831.5,50
attractiveness_prediction,Young,0.492,0.7553,0.7721,-0.0167,0.000432,True,831.5,50
attractiveness_prediction,Smiling,0.492,0.5067,0.5139,-0.0073,5e-06,True,831.5,50
gender_analysis,Young,0.9547,0.7553,0.7721,-0.0167,0.03539,True,832.9,50
gender_analysis,Attractive,0.9547,0.6847,0.507,0.1777,0.128121,False,832.9,50
gender_analysis,Smiling,0.9547,0.5747,0.5139,0.0607,0.018289,False,832.9,50
