purpose,attribute,seed0_delta,seed0_r2,seed0_pass,seed1_delta,seed1_r2,seed1_pass,seed2_delta,seed2_r2,seed2_pass,majority_pass,averaged_rep_pass,averaged_rep_delta,averaged_rep_r2,delta_std
smile_detection,Male,0.02459,0.019529,False,0.023256,0.021546,False,0.023256,0.027061,False,False,False,0.033256,0.041188,0.000629
smile_detection,Young,-0.016744,0.016028,True,-0.016744,0.015126,True,-0.016744,0.009245,True,True,True,-0.016744,0.024267,0.0
age_estimation,Male,0.02259,0.016643,False,0.02359,0.006036,False,0.06959,0.03008,False,False,False,0.071923,0.035394,0.021924
age_estimation,Attractive,0.122,0.059543,False,0.101667,0.042179,False,0.115,0.079892,False,False,False,0.116667,0.083394,0.008434
expression_analysis,Male,0.051256,0.035237,False,0.024923,0.021069,False,0.027923,0.028722,False,False,False,0.042256,0.05005,0.01177
expression_analysis,Young,-0.016744,0.018537,True,-0.01641,0.010416,True,-0.016744,0.014675,True,True,True,-0.01641,0.031516,0.000157
expression_analysis,Attractive,0.062667,0.018618,False,0.061667,0.022872,False,0.069333,0.024503,False,False,False,0.082667,0.042488,0.003403
attractiveness_prediction,Male,0.142923,0.23298,False,0.105256,0.178486,False,0.03459,0.038379,False,False,False,0.172256,0.310619,0.044906
attractiveness_prediction,Young,-0.001077,0.122858,False,-0.01141,0.11327,False,-0.016744,0.013467,True,False,False,0.00259,0.138477,0.006504
attractiveness_prediction,Smiling,0.09141,0.064055,False,0.054744,0.032923,False,0.006744,0.003577,True,False,False,0.120077,0.103275,0.034668
gender_analysis,Young,-0.016744,0.035728,True,-0.011077,0.039515,True,-0.016744,0.035444,True,True,False,-0.010744,0.050458,0.002671
gender_analysis,Attractive,0.199333,0.065496,False,0.199,0.073328,False,0.197,0.100897,False,False,False,0.207333,0.114337,0.00103
gender_analysis,Smiling,0.058077,0.010789,False,0.08541,0.042321,False,0.055077,0.026103,False,False,False,0.088744,0.056709,0.013647
