method,seed,train_time_s,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs
Standard,0,379.3,billing_audit,race,0.751025,0.748523,0.002502,0.03515,True,3,6
Standard,0,379.3,billing_audit,gender,0.556674,0.531284,0.02539,0.02726,False,3,6
Standard,0,379.3,quality_research,race,0.751025,0.748523,0.002502,0.03515,True,3,6
Standard,0,379.3,quality_research,age_bucket,0.684471,0.254932,0.429539,0.235361,False,3,6
Standard,0,379.3,clinical_decision_support,race,0.751025,0.748523,0.002502,0.03515,True,3,6
Standard,0,379.3,clinical_decision_support,gender,0.556674,0.531284,0.02539,0.02726,False,3,6
INLP,0,1581.1,billing_audit,race,0.751305,0.748523,0.002782,0.0,True,5,6
INLP,0,1581.1,billing_audit,gender,0.536447,0.531284,0.005162,1e-06,True,5,6
INLP,0,1581.1,quality_research,race,0.751305,0.748523,0.002782,0.0,True,5,6
INLP,0,1581.1,quality_research,age_bucket,0.337714,0.254932,0.082783,4.9e-05,False,5,6
INLP,0,1581.1,clinical_decision_support,race,0.751305,0.748523,0.002782,0.0,True,5,6
INLP,0,1581.1,clinical_decision_support,gender,0.536447,0.531284,0.005162,1e-06,True,5,6
LEACE,0,1177.2,billing_audit,race,0.751025,0.748523,0.002502,0.034143,True,3,6
LEACE,0,1177.2,billing_audit,gender,0.554344,0.531284,0.023059,0.026997,False,3,6
LEACE,0,1177.2,quality_research,race,0.751025,0.748523,0.002502,0.033327,True,3,6
LEACE,0,1177.2,quality_research,age_bucket,0.646626,0.254932,0.391694,0.173275,False,3,6
LEACE,0,1177.2,clinical_decision_support,race,0.751025,0.748523,0.002502,0.034143,True,3,6
LEACE,0,1177.2,clinical_decision_support,gender,0.554344,0.531284,0.023059,0.026997,False,3,6
LAFTR,0,1740.8,billing_audit,race,0.751305,0.748523,0.002782,0.010619,True,5,6
LAFTR,0,1740.8,billing_audit,gender,0.536447,0.531284,0.005162,0.009363,True,5,6
LAFTR,0,1740.8,quality_research,race,0.751305,0.748523,0.002782,0.010619,True,5,6
LAFTR,0,1740.8,quality_research,age_bucket,0.324571,0.254932,0.06964,0.074223,False,5,6
LAFTR,0,1740.8,clinical_decision_support,race,0.751305,0.748523,0.002782,0.010619,True,5,6
LAFTR,0,1740.8,clinical_decision_support,gender,0.534862,0.531284,0.003578,0.009363,True,5,6
Standard,1,421.5,billing_audit,race,0.751678,0.748523,0.003154,0.035643,True,3,6
Standard,1,421.5,billing_audit,gender,0.559284,0.531284,0.028,0.028149,False,3,6
Standard,1,421.5,quality_research,race,0.751678,0.748523,0.003154,0.035643,True,3,6
Standard,1,421.5,quality_research,age_bucket,0.703113,0.254932,0.448182,0.234585,False,3,6
Standard,1,421.5,clinical_decision_support,race,0.751678,0.748523,0.003154,0.035643,True,3,6
Standard,1,421.5,clinical_decision_support,gender,0.559284,0.531284,0.028,0.028149,False,3,6
INLP,1,1649.7,billing_audit,race,0.751305,0.748523,0.002782,2e-06,True,5,6
INLP,1,1649.7,billing_audit,gender,0.542692,0.531284,0.011408,8e-06,True,5,6
INLP,1,1649.7,quality_research,race,0.751305,0.748523,0.002782,2e-06,True,5,6
INLP,1,1649.7,quality_research,age_bucket,0.366704,0.254932,0.111772,5.1e-05,False,5,6
INLP,1,1649.7,clinical_decision_support,race,0.751305,0.748523,0.002782,2e-06,True,5,6
INLP,1,1649.7,clinical_decision_support,gender,0.542692,0.531284,0.011408,8e-06,True,5,6
LEACE,1,1145.5,billing_audit,race,0.751212,0.748523,0.002688,0.033219,True,3,6
LEACE,1,1145.5,billing_audit,gender,0.559471,0.531284,0.028186,0.027739,False,3,6
LEACE,1,1145.5,quality_research,race,0.751212,0.748523,0.002688,0.031732,True,3,6
LEACE,1,1145.5,quality_research,age_bucket,0.659303,0.254932,0.404371,0.183979,False,3,6
LEACE,1,1145.5,clinical_decision_support,race,0.751212,0.748523,0.002688,0.033219,True,3,6
LEACE,1,1145.5,clinical_decision_support,gender,0.559471,0.531284,0.028186,0.027739,False,3,6
LAFTR,1,2333.4,billing_audit,race,0.751398,0.748523,0.002875,0.009038,True,5,6
LAFTR,1,2333.4,billing_audit,gender,0.535142,0.531284,0.003857,0.008209,True,5,6
LAFTR,1,2333.4,quality_research,race,0.751305,0.748523,0.002782,0.009038,True,5,6
LAFTR,1,2333.4,quality_research,age_bucket,0.311242,0.254932,0.05631,0.059266,False,5,6
LAFTR,1,2333.4,clinical_decision_support,race,0.751305,0.748523,0.002782,0.009038,True,5,6
LAFTR,1,2333.4,clinical_decision_support,gender,0.534676,0.531284,0.003391,0.008209,True,5,6
Standard,2,490.9,billing_audit,race,0.751398,0.748523,0.002875,0.034136,True,3,6
Standard,2,490.9,billing_audit,gender,0.554437,0.531284,0.023153,0.023751,False,3,6
Standard,2,490.9,quality_research,race,0.751398,0.748523,0.002875,0.034136,True,3,6
Standard,2,490.9,quality_research,age_bucket,0.660608,0.254932,0.405676,0.207897,False,3,6
Standard,2,490.9,clinical_decision_support,race,0.751398,0.748523,0.002875,0.034136,True,3,6
Standard,2,490.9,clinical_decision_support,gender,0.554437,0.531284,0.023153,0.023751,False,3,6
INLP,2,1617.0,billing_audit,race,0.751305,0.748523,0.002782,1e-06,True,5,6
INLP,2,1617.0,billing_audit,gender,0.536913,0.531284,0.005628,1e-06,True,5,6
INLP,2,1617.0,quality_research,race,0.751305,0.748523,0.002782,1e-06,True,5,6
INLP,2,1617.0,quality_research,age_bucket,0.351696,0.254932,0.096765,2.5e-05,False,5,6
INLP,2,1617.0,clinical_decision_support,race,0.751305,0.748523,0.002782,1e-06,True,5,6
INLP,2,1617.0,clinical_decision_support,gender,0.536913,0.531284,0.005628,1e-06,True,5,6
LEACE,2,1186.2,billing_audit,race,0.751398,0.748523,0.002875,0.032074,True,3,6
