method,seed,train_time_s,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs
PCRL,0,1746.4,billing_audit,race,0.751305,0.748523,0.002782,0.01945,True,5,6
PCRL,0,1746.4,billing_audit,gender,0.536447,0.531284,0.005162,0.007078,True,5,6
PCRL,0,1746.4,quality_research,race,0.751305,0.748523,0.002782,0.013889,True,5,6
PCRL,0,1746.4,quality_research,age_bucket,0.309937,0.254932,0.055005,0.06623,False,5,6
PCRL,0,1746.4,clinical_decision_support,race,0.751585,0.748523,0.003061,0.008956,True,5,6
PCRL,0,1746.4,clinical_decision_support,gender,0.534676,0.531284,0.003391,0.003284,True,5,6
PCRL,1,2675.9,billing_audit,race,0.751305,0.748523,0.002782,0.0,True,5,6
PCRL,1,2675.9,billing_audit,gender,0.535887,0.531284,0.004603,0.0,True,5,6
PCRL,1,2675.9,quality_research,race,0.751305,0.748523,0.002782,0.0,True,5,6
PCRL,1,2675.9,quality_research,age_bucket,0.301547,0.254932,0.046616,0.0,False,5,6
PCRL,1,2675.9,clinical_decision_support,race,0.751305,0.748523,0.002782,0.0,True,5,6
PCRL,1,2675.9,clinical_decision_support,gender,0.534769,0.531284,0.003484,0.0,True,5,6
PCRL,2,1925.9,billing_audit,race,0.751305,0.748523,0.002782,0.0,True,5,6
PCRL,2,1925.9,billing_audit,gender,0.534769,0.531284,0.003484,0.0,True,5,6
PCRL,2,1925.9,quality_research,race,0.751305,0.748523,0.002782,0.004003,True,5,6
PCRL,2,1925.9,quality_research,age_bucket,0.300708,0.254932,0.045777,0.00242,False,5,6
PCRL,2,1925.9,clinical_decision_support,race,0.751305,0.748523,0.002782,0.0,True,5,6
PCRL,2,1925.9,clinical_decision_support,gender,0.534769,0.531284,0.003484,0.0,True,5,6
