method,seed,test_income_acc,test_hours_band_acc,test_education_level_acc,stopped_epoch,train_time_s,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,num_classes,adj_pass,lambda_adv
Standard,0,0.790872,0.991925,1.0,77,1789.2,income_prediction,race,0.865181,0.618249,0.246932,0.277209,9,False,
Standard,0,0.790872,0.991925,1.0,77,1789.2,income_prediction,sex,0.925793,0.528027,0.397767,0.416468,2,False,
Standard,0,0.790872,0.991925,1.0,77,1789.2,employment_analysis,race,0.863188,0.618249,0.244939,0.277209,9,False,
Standard,0,0.790872,0.991925,1.0,77,1789.2,employment_analysis,age_group,0.90714,0.415335,0.491805,0.422572,4,False,
Standard,0,0.790872,0.991925,1.0,77,1789.2,employment_analysis,marital_status,0.908775,0.523217,0.385558,0.476138,2,False,
Standard,0,0.790872,0.991925,1.0,77,1789.2,education_assessment,sex,0.924925,0.528027,0.396898,0.416468,2,False,
Standard,0,0.790872,0.991925,1.0,77,1789.2,education_assessment,race,0.862881,0.618249,0.244633,0.277209,9,False,
Standard,0,0.790872,0.991925,1.0,77,1789.2,education_assessment,income,0.791128,0.589254,0.201874,0.401188,2,False,
LAFTR,0,0.597588,0.548781,0.387029,21,1780.1,income_prediction,race,0.61665,0.618249,-0.001598,0.000246,9,True,25.0
LAFTR,0,0.597588,0.548781,0.387029,21,1780.1,income_prediction,sex,0.565033,0.528027,0.037006,2.8e-05,2,False,25.0
LAFTR,0,0.597588,0.548781,0.387029,21,1780.1,employment_analysis,race,0.617417,0.618249,-0.000832,0.000246,9,True,25.0
LAFTR,0,0.597588,0.548781,0.387029,21,1780.1,employment_analysis,age_group,0.417897,0.415335,0.002563,0.000136,4,True,25.0
LAFTR,0,0.597588,0.548781,0.387029,21,1780.1,employment_analysis,marital_status,0.529156,0.523217,0.005939,0.000453,2,True,25.0
LAFTR,0,0.597588,0.548781,0.387029,21,1780.1,education_assessment,sex,0.564829,0.528027,0.036802,2.8e-05,2,False,25.0
LAFTR,0,0.597588,0.548781,0.387029,21,1780.1,education_assessment,race,0.616957,0.618249,-0.001292,0.000246,9,True,25.0
LAFTR,0,0.597588,0.548781,0.387029,21,1780.1,education_assessment,income,0.599428,0.589254,0.010174,3e-06,2,True,25.0
