method,seed,test_income_acc,test_hours_band_acc,test_education_level_acc,stopped_epoch,train_time_s,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,num_classes,adj_pass
PCRL,0,0.597588,0.548781,0.387029,32,4405.5,income_prediction,race,0.61665,0.618249,-0.001598,0.001026,9,True
PCRL,0,0.597588,0.548781,0.387029,32,4405.5,income_prediction,sex,0.529105,0.528027,0.001078,0.000565,2,True
PCRL,0,0.597588,0.548781,0.387029,32,4405.5,employment_analysis,race,0.61665,0.618249,-0.001598,0.0,9,True
PCRL,0,0.597588,0.548781,0.387029,32,4405.5,employment_analysis,age_group,0.413349,0.415335,-0.001986,0.0,4,True
PCRL,0,0.597588,0.548781,0.387029,32,4405.5,employment_analysis,marital_status,0.522512,0.523217,-0.000705,0.0,2,True
PCRL,0,0.597588,0.548781,0.387029,32,4405.5,education_assessment,sex,0.528901,0.528027,0.000874,0.000226,2,True
PCRL,0,0.597588,0.548781,0.387029,32,4405.5,education_assessment,race,0.61665,0.618249,-0.001598,8.7e-05,9,True
PCRL,0,0.597588,0.548781,0.387029,32,4405.5,education_assessment,income,0.597741,0.589254,0.008487,0.000297,2,True
PCRL,1,0.597588,0.548781,0.387029,33,4821.6,income_prediction,race,0.61665,0.618249,-0.001598,0.0,9,True
PCRL,1,0.597588,0.548781,0.387029,33,4821.6,income_prediction,sex,0.528901,0.528027,0.000874,0.0,2,True
PCRL,1,0.597588,0.548781,0.387029,33,4821.6,employment_analysis,race,0.61665,0.618249,-0.001598,1.7e-05,9,True
PCRL,1,0.597588,0.548781,0.387029,33,4821.6,employment_analysis,age_group,0.413349,0.415335,-0.001986,8.1e-05,4,True
PCRL,1,0.597588,0.548781,0.387029,33,4821.6,employment_analysis,marital_status,0.522512,0.523217,-0.000705,5.6e-05,2,True
PCRL,1,0.597588,0.548781,0.387029,33,4821.6,education_assessment,sex,0.528952,0.528027,0.000925,3.2e-05,2,True
PCRL,1,0.597588,0.548781,0.387029,33,4821.6,education_assessment,race,0.61665,0.618249,-0.001598,2.6e-05,9,True
PCRL,1,0.597588,0.548781,0.387029,33,4821.6,education_assessment,income,0.597588,0.589254,0.008334,5.1e-05,2,True
PCRL,2,0.597588,0.548781,0.387029,47,6866.5,income_prediction,race,0.61665,0.618249,-0.001598,0.000117,9,True
PCRL,2,0.597588,0.548781,0.387029,47,6866.5,income_prediction,sex,0.528901,0.528027,0.000874,5.2e-05,2,True
PCRL,2,0.597588,0.548781,0.387029,47,6866.5,employment_analysis,race,0.61665,0.618249,-0.001598,9.6e-05,9,True
PCRL,2,0.597588,0.548781,0.387029,47,6866.5,employment_analysis,age_group,0.413349,0.415335,-0.001986,0.000338,4,True
PCRL,2,0.597588,0.548781,0.387029,47,6866.5,employment_analysis,marital_status,0.522615,0.523217,-0.000602,0.000289,2,True
PCRL,2,0.597588,0.548781,0.387029,47,6866.5,education_assessment,sex,0.528901,0.528027,0.000874,4.1e-05,2,True
PCRL,2,0.597588,0.548781,0.387029,47,6866.5,education_assessment,race,0.61665,0.618249,-0.001598,5.1e-05,9,True
PCRL,2,0.597588,0.548781,0.387029,47,6866.5,education_assessment,income,0.597588,0.589254,0.008334,0.000103,2,True
