method,purpose,attribute,num_seeds,best_emp_acc_mean,best_emp_acc_std,majority_baseline_mean,delta_mean,delta_std,linear_r2_mean,linear_r2_std,pass_rate
PCRL,income_prediction,race,3,0.61665,0.0,0.618249,-0.001598,0.0,0.000381,0.000459,1.0
PCRL,income_prediction,sex,3,0.528969,9.6e-05,0.528027,0.000942,9.6e-05,0.000206,0.000255,1.0
PCRL,employment_analysis,race,3,0.61665,0.0,0.618249,-0.001598,0.0,3.8e-05,4.2e-05,1.0
PCRL,employment_analysis,age_group,3,0.413349,0.0,0.415335,-0.001986,0.0,0.00014,0.000144,1.0
PCRL,employment_analysis,marital_status,3,0.522546,4.9e-05,0.523217,-0.000671,4.9e-05,0.000115,0.000125,1.0
PCRL,education_assessment,sex,3,0.528918,2.4e-05,0.528027,0.000891,2.4e-05,0.0001,8.9e-05,1.0
PCRL,education_assessment,race,3,0.61665,0.0,0.618249,-0.001598,0.0,5.5e-05,2.5e-05,1.0
PCRL,education_assessment,income,3,0.597639,7.2e-05,0.589254,0.008385,7.2e-05,0.00015,0.000106,1.0
Standard,income_prediction,race,1,0.865181,0.0,0.618249,0.246932,0.0,0.277209,0.0,0.0
Standard,income_prediction,sex,1,0.925793,0.0,0.528027,0.397767,0.0,0.416468,0.0,0.0
Standard,employment_analysis,race,1,0.863188,0.0,0.618249,0.244939,0.0,0.277209,0.0,0.0
Standard,employment_analysis,age_group,1,0.90714,0.0,0.415335,0.491805,0.0,0.422572,0.0,0.0
Standard,employment_analysis,marital_status,1,0.908775,0.0,0.523217,0.385558,0.0,0.476138,0.0,0.0
Standard,education_assessment,sex,1,0.924925,0.0,0.528027,0.396898,0.0,0.416468,0.0,0.0
Standard,education_assessment,race,1,0.862881,0.0,0.618249,0.244633,0.0,0.277209,0.0,0.0
Standard,education_assessment,income,1,0.791128,0.0,0.589254,0.201874,0.0,0.401188,0.0,0.0
LAFTR,income_prediction,race,1,0.61665,0.0,0.618249,-0.001598,0.0,0.000246,0.0,1.0
LAFTR,income_prediction,sex,1,0.565033,0.0,0.528027,0.037006,0.0,2.8e-05,0.0,0.0
LAFTR,employment_analysis,race,1,0.617417,0.0,0.618249,-0.000832,0.0,0.000246,0.0,1.0
LAFTR,employment_analysis,age_group,1,0.417897,0.0,0.415335,0.002563,0.0,0.000136,0.0,1.0
LAFTR,employment_analysis,marital_status,1,0.529156,0.0,0.523217,0.005939,0.0,0.000453,0.0,1.0
LAFTR,education_assessment,sex,1,0.564829,0.0,0.528027,0.036802,0.0,2.8e-05,0.0,0.0
LAFTR,education_assessment,race,1,0.616957,0.0,0.618249,-0.001292,0.0,0.000246,0.0,1.0
LAFTR,education_assessment,income,1,0.599428,0.0,0.589254,0.010174,0.0,3e-06,0.0,1.0
