dataset,method,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,train_time_s,activity_acc,is_active_acc
har,Standard,0,activity_recognition,subject_id,0.045307,0.041924,0.003384,0.030639,True,2,3,62.0,0.988997,1.0
har,Standard,0,health_monitoring,subject_id,0.036893,0.041924,-0.00503,0.030639,True,2,3,62.0,0.988997,1.0
har,Standard,0,health_monitoring,activity,0.165049,0.189628,-0.024579,0.875327,False,2,3,62.0,0.988997,1.0
har,LAFTR,0,activity_recognition,subject_id,0.047896,0.041924,0.005973,0.028324,True,2,3,302.5,0.350809,1.0
har,LAFTR,0,health_monitoring,subject_id,0.042071,0.041924,0.000148,0.028324,True,2,3,302.5,0.350809,1.0
har,LAFTR,0,health_monitoring,activity,0.191586,0.189628,0.001958,0.342784,False,2,3,302.5,0.350809,1.0
har,INLP,0,activity_recognition,subject_id,0.294498,0.041924,0.252575,0.030639,False,0,3,74.3,0.989644,0.6
har,INLP,0,health_monitoring,subject_id,0.071845,0.041924,0.029921,0.013059,False,0,3,74.3,0.989644,0.6
har,INLP,0,health_monitoring,activity,0.493851,0.189628,0.304224,0.190729,False,0,3,74.3,0.989644,0.6
har,LEACE,0,activity_recognition,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,42.8,0.192233,0.550162
har,LEACE,0,health_monitoring,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,42.8,0.192233,0.550162
har,LEACE,0,health_monitoring,activity,0.192233,0.189628,0.002605,0.0,True,3,3,42.8,0.192233,0.550162
har,PCRL,0,activity_recognition,subject_id,0.04466,0.041924,0.002737,0.026575,True,2,3,302.4,0.96699,0.580583
har,PCRL,0,health_monitoring,subject_id,0.045955,0.041924,0.004031,0.030142,True,2,3,302.4,0.96699,0.580583
har,PCRL,0,health_monitoring,activity,0.192233,0.189628,0.002605,0.630762,False,2,3,302.4,0.96699,0.580583
har,Standard,1,activity_recognition,subject_id,0.041424,0.041924,-0.0005,0.027199,True,2,3,57.2,0.98835,1.0
har,Standard,1,health_monitoring,subject_id,0.042718,0.041924,0.000795,0.027199,True,2,3,57.2,0.98835,1.0
har,Standard,1,health_monitoring,activity,0.170227,0.189628,-0.019401,0.877811,False,2,3,57.2,0.98835,1.0
har,LAFTR,1,activity_recognition,subject_id,0.049838,0.041924,0.007914,0.025261,True,2,3,300.8,0.434304,1.0
har,LAFTR,1,health_monitoring,subject_id,0.03754,0.041924,-0.004383,0.025261,True,2,3,300.8,0.434304,1.0
har,LAFTR,1,health_monitoring,activity,0.23301,0.189628,0.043382,0.359387,False,2,3,300.8,0.434304,1.0
har,INLP,1,activity_recognition,subject_id,0.293204,0.041924,0.25128,0.027199,False,0,3,77.4,0.987055,0.552751
har,INLP,1,health_monitoring,subject_id,0.068608,0.041924,0.026685,0.010277,False,0,3,77.4,0.987055,0.552751
har,INLP,1,health_monitoring,activity,0.350809,0.189628,0.161181,0.148623,False,0,3,77.4,0.987055,0.552751
har,LEACE,1,activity_recognition,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,43.7,0.192233,0.550162
har,LEACE,1,health_monitoring,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,43.7,0.192233,0.550162
har,LEACE,1,health_monitoring,activity,0.192233,0.189628,0.002605,0.0,True,3,3,43.7,0.192233,0.550162
har,PCRL,1,activity_recognition,subject_id,0.042718,0.041924,0.000795,0.02736,True,2,3,311.5,0.930744,0.540453
har,PCRL,1,health_monitoring,subject_id,0.055663,0.041924,0.01374,0.030293,True,2,3,311.5,0.930744,0.540453
har,PCRL,1,health_monitoring,activity,0.23301,0.189628,0.043382,0.564664,False,2,3,311.5,0.930744,0.540453
har,Standard,2,activity_recognition,subject_id,0.049838,0.041924,0.007914,0.031962,True,2,3,61.6,0.985761,1.0
har,Standard,2,health_monitoring,subject_id,0.050485,0.041924,0.008562,0.031962,True,2,3,61.6,0.985761,1.0
har,Standard,2,health_monitoring,activity,0.203883,0.189628,0.014256,0.879153,False,2,3,61.6,0.985761,1.0
har,LAFTR,2,activity_recognition,subject_id,0.051133,0.041924,0.009209,0.026644,True,2,3,307.0,0.377346,1.0
har,LAFTR,2,health_monitoring,subject_id,0.041424,0.041924,-0.0005,0.026644,True,2,3,307.0,0.377346,1.0
har,LAFTR,2,health_monitoring,activity,0.200647,0.189628,0.01102,0.35575,False,2,3,307.0,0.377346,1.0
har,INLP,2,activity_recognition,subject_id,0.307443,0.041924,0.26552,0.031962,False,1,3,79.0,0.987055,0.580583
har,INLP,2,health_monitoring,subject_id,0.055663,0.041924,0.01374,0.0,True,1,3,79.0,0.987055,0.580583
har,INLP,2,health_monitoring,activity,0.374757,0.189628,0.18513,0.0,False,1,3,79.0,0.987055,0.580583
har,LEACE,2,activity_recognition,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,41.2,0.192233,0.550162
har,LEACE,2,health_monitoring,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,41.2,0.192233,0.550162
har,LEACE,2,health_monitoring,activity,0.192233,0.189628,0.002605,0.0,True,3,3,41.2,0.192233,0.550162
har,PCRL,2,activity_recognition,subject_id,0.038835,0.041924,-0.003089,0.024123,True,2,3,308.7,0.968932,0.731392
har,PCRL,2,health_monitoring,subject_id,0.047249,0.041924,0.005325,0.028465,True,2,3,308.7,0.968932,0.731392
har,PCRL,2,health_monitoring,activity,0.192233,0.189628,0.002605,0.594861,False,2,3,308.7,0.968932,0.731392
