dataset,method,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,train_time_s,activity_acc,is_active_acc
har,Standard,0,activity_recognition,subject_id,0.294498,0.041924,0.252575,0.030639,False,0,3,58.1,0.988997,1.0
har,Standard,0,health_monitoring,subject_id,0.294498,0.041924,0.252575,0.030639,False,0,3,58.1,0.988997,1.0
har,Standard,0,health_monitoring,activity,0.990291,0.189628,0.800664,0.875327,False,0,3,58.1,0.988997,1.0
har,LAFTR,0,activity_recognition,subject_id,0.153398,0.041924,0.111474,0.028324,False,0,3,300.1,0.350809,1.0
har,LAFTR,0,health_monitoring,subject_id,0.153398,0.041924,0.111474,0.028324,False,0,3,300.1,0.350809,1.0
har,LAFTR,0,health_monitoring,activity,0.700971,0.189628,0.511343,0.342784,False,0,3,300.1,0.350809,1.0
har,INLP,0,activity_recognition,subject_id,0.294498,0.041924,0.252575,0.030639,False,0,3,72.8,0.989644,0.6
har,INLP,0,health_monitoring,subject_id,0.071845,0.041924,0.029921,0.013059,False,0,3,72.8,0.989644,0.6
har,INLP,0,health_monitoring,activity,0.493851,0.189628,0.304224,0.190729,False,0,3,72.8,0.989644,0.6
har,LEACE,0,activity_recognition,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,42.4,0.192233,0.550162
har,LEACE,0,health_monitoring,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,42.4,0.192233,0.550162
har,LEACE,0,health_monitoring,activity,0.192233,0.189628,0.002605,0.0,True,3,3,42.4,0.192233,0.550162
har,PCRL,0,activity_recognition,subject_id,0.188997,0.041924,0.147073,0.026575,False,0,3,305.3,0.96699,0.580583
har,PCRL,0,health_monitoring,subject_id,0.172816,0.041924,0.130892,0.030142,False,0,3,305.3,0.96699,0.580583
har,PCRL,0,health_monitoring,activity,0.893204,0.189628,0.703576,0.630762,False,0,3,305.3,0.96699,0.580583
har,Standard,1,activity_recognition,subject_id,0.293204,0.041924,0.25128,0.027199,False,0,3,58.1,0.98835,1.0
har,Standard,1,health_monitoring,subject_id,0.293204,0.041924,0.25128,0.027199,False,0,3,58.1,0.98835,1.0
har,Standard,1,health_monitoring,activity,0.987055,0.189628,0.797427,0.877811,False,0,3,58.1,0.98835,1.0
har,LAFTR,1,activity_recognition,subject_id,0.175405,0.041924,0.133481,0.025261,False,0,3,299.2,0.434304,1.0
har,LAFTR,1,health_monitoring,subject_id,0.176699,0.041924,0.134775,0.025261,False,0,3,299.2,0.434304,1.0
har,LAFTR,1,health_monitoring,activity,0.791586,0.189628,0.601958,0.359387,False,0,3,299.2,0.434304,1.0
har,INLP,1,activity_recognition,subject_id,0.293204,0.041924,0.25128,0.027199,False,0,3,76.7,0.987055,0.552751
har,INLP,1,health_monitoring,subject_id,0.068608,0.041924,0.026685,0.010277,False,0,3,76.7,0.987055,0.552751
har,INLP,1,health_monitoring,activity,0.350809,0.189628,0.161181,0.148623,False,0,3,76.7,0.987055,0.552751
har,LEACE,1,activity_recognition,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,42.1,0.192233,0.550162
har,LEACE,1,health_monitoring,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,42.1,0.192233,0.550162
har,LEACE,1,health_monitoring,activity,0.192233,0.189628,0.002605,0.0,True,3,3,42.1,0.192233,0.550162
har,PCRL,1,activity_recognition,subject_id,0.196764,0.041924,0.15484,0.02736,False,0,3,307.3,0.930744,0.540453
har,PCRL,1,health_monitoring,subject_id,0.18123,0.041924,0.139306,0.030293,False,0,3,307.3,0.930744,0.540453
har,PCRL,1,health_monitoring,activity,0.889968,0.189628,0.70034,0.564664,False,0,3,307.3,0.930744,0.540453
har,Standard,2,activity_recognition,subject_id,0.307443,0.041924,0.26552,0.031962,False,0,3,58.1,0.985761,1.0
har,Standard,2,health_monitoring,subject_id,0.307443,0.041924,0.26552,0.031962,False,0,3,58.1,0.985761,1.0
har,Standard,2,health_monitoring,activity,0.987055,0.189628,0.797427,0.879153,False,0,3,58.1,0.985761,1.0
har,LAFTR,2,activity_recognition,subject_id,0.177346,0.041924,0.135423,0.026644,False,0,3,299.2,0.377346,1.0
har,LAFTR,2,health_monitoring,subject_id,0.177346,0.041924,0.135423,0.026644,False,0,3,299.2,0.377346,1.0
har,LAFTR,2,health_monitoring,activity,0.787702,0.189628,0.598075,0.35575,False,0,3,299.2,0.377346,1.0
har,INLP,2,activity_recognition,subject_id,0.307443,0.041924,0.26552,0.031962,False,1,3,79.3,0.987055,0.580583
har,INLP,2,health_monitoring,subject_id,0.055663,0.041924,0.01374,0.0,True,1,3,79.3,0.987055,0.580583
har,INLP,2,health_monitoring,activity,0.374757,0.189628,0.18513,0.0,False,1,3,79.3,0.987055,0.580583
har,LEACE,2,activity_recognition,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,44.4,0.192233,0.550162
har,LEACE,2,health_monitoring,subject_id,0.042071,0.041924,0.000148,0.0,True,3,3,44.4,0.192233,0.550162
har,LEACE,2,health_monitoring,activity,0.192233,0.189628,0.002605,0.0,True,3,3,44.4,0.192233,0.550162
har,PCRL,2,activity_recognition,subject_id,0.183172,0.041924,0.141248,0.024123,False,0,3,307.1,0.968932,0.731392
har,PCRL,2,health_monitoring,subject_id,0.186408,0.041924,0.144484,0.028465,False,0,3,307.1,0.968932,0.731392
har,PCRL,2,health_monitoring,activity,0.902265,0.189628,0.712638,0.594861,False,0,3,307.1,0.968932,0.731392
