dataset,method,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,train_time_s,loan_amount_band_acc,loan_decision_acc,tract_denial_high_acc
hmda,Standard,0,underwriting,race,0.903448,0.645825,0.257623,0.510348,False,0,6,366.1,0.35971,0.910182,0.656394
hmda,Standard,0,underwriting,ethnicity,0.913257,0.728529,0.184727,0.576965,False,0,6,366.1,0.35971,0.910182,0.656394
hmda,Standard,0,pricing_analysis,race,0.903301,0.645825,0.257477,0.510348,False,0,6,366.1,0.35971,0.910182,0.656394
hmda,Standard,0,pricing_analysis,sex,0.764219,0.616422,0.147797,0.280932,False,0,6,366.1,0.35971,0.910182,0.656394
hmda,Standard,0,fair_lending_audit,race,0.903009,0.645825,0.257184,0.510348,False,0,6,366.1,0.35971,0.910182,0.656394
hmda,Standard,0,fair_lending_audit,sex,0.763048,0.616422,0.146626,0.280932,False,0,6,366.1,0.35971,0.910182,0.656394
hmda,LAFTR,0,underwriting,race,0.687431,0.645825,0.041607,0.001466,False,1,6,2241.9,0.211039,0.892614,0.634141
hmda,LAFTR,0,underwriting,ethnicity,0.729595,0.728529,0.001066,0.003022,True,1,6,2241.9,0.211039,0.892614,0.634141
hmda,LAFTR,0,pricing_analysis,race,0.68648,0.645825,0.040655,0.001466,False,1,6,2241.9,0.211039,0.892614,0.634141
hmda,LAFTR,0,pricing_analysis,sex,0.719859,0.616422,0.103437,0.011277,False,1,6,2241.9,0.211039,0.892614,0.634141
hmda,LAFTR,0,fair_lending_audit,race,0.683405,0.645825,0.037581,0.001466,False,1,6,2241.9,0.211039,0.892614,0.634141
hmda,LAFTR,0,fair_lending_audit,sex,0.720152,0.616422,0.10373,0.011277,False,1,6,2241.9,0.211039,0.892614,0.634141
hmda,INLP,0,underwriting,race,0.774028,0.645825,0.128204,8e-06,False,0,6,2677.8,0.210746,0.892614,0.634141
hmda,INLP,0,underwriting,ethnicity,0.86692,0.728529,0.138391,0.000218,False,0,6,2677.8,0.210746,0.892614,0.634141
hmda,INLP,0,pricing_analysis,race,0.773443,0.645825,0.127618,8e-06,False,0,6,2677.8,0.210746,0.892614,0.634141
hmda,INLP,0,pricing_analysis,sex,0.764951,0.616422,0.148529,0.000112,False,0,6,2677.8,0.210746,0.892614,0.634141
hmda,INLP,0,fair_lending_audit,race,0.773443,0.645825,0.127618,8e-06,False,0,6,2677.8,0.210746,0.892614,0.634141
hmda,INLP,0,fair_lending_audit,sex,0.764951,0.616422,0.148529,0.000112,False,0,6,2677.8,0.210746,0.892614,0.634141
hmda,LEACE,0,underwriting,race,0.87102,0.645825,0.225195,0.424022,False,0,6,791.7,0.597394,0.912305,0.658517
hmda,LEACE,0,underwriting,ethnicity,0.904765,0.728529,0.176236,0.55365,False,0,6,791.7,0.597394,0.912305,0.658517
hmda,LEACE,0,pricing_analysis,race,0.871239,0.645825,0.225415,0.424023,False,0,6,791.7,0.597394,0.912305,0.658517
hmda,LEACE,0,pricing_analysis,sex,0.758363,0.616422,0.141941,0.276612,False,0,6,791.7,0.597394,0.912305,0.658517
hmda,LEACE,0,fair_lending_audit,race,0.871239,0.645825,0.225415,0.424023,False,0,6,791.7,0.597394,0.912305,0.658517
hmda,LEACE,0,fair_lending_audit,sex,0.758363,0.616422,0.141941,0.276612,False,0,6,791.7,0.597394,0.912305,0.658517
hmda,Standard,1,underwriting,race,0.889979,0.645825,0.244154,0.472006,False,0,6,349.5,0.606983,0.911353,0.658737
hmda,Standard,1,underwriting,ethnicity,0.898983,0.728529,0.170453,0.508855,False,0,6,349.5,0.606983,0.911353,0.658737
hmda,Standard,1,pricing_analysis,race,0.891516,0.645825,0.245691,0.472006,False,0,6,349.5,0.606983,0.911353,0.658737
hmda,Standard,1,pricing_analysis,sex,0.826074,0.616422,0.209652,0.318405,False,0,6,349.5,0.606983,0.911353,0.658737
hmda,Standard,1,fair_lending_audit,race,0.888002,0.645825,0.242178,0.472006,False,0,6,349.5,0.606983,0.911353,0.658737
hmda,Standard,1,fair_lending_audit,sex,0.826221,0.616422,0.209799,0.318405,False,0,6,349.5,0.606983,0.911353,0.658737
hmda,LAFTR,1,underwriting,race,0.648415,0.645825,0.00259,0.0,True,6,6,1341.5,0.203353,0.892614,0.634141
hmda,LAFTR,1,underwriting,ethnicity,0.729595,0.728529,0.001066,0.0,True,6,6,1341.5,0.203353,0.892614,0.634141
hmda,LAFTR,1,pricing_analysis,race,0.648415,0.645825,0.00259,0.0,True,6,6,1341.5,0.203353,0.892614,0.634141
hmda,LAFTR,1,pricing_analysis,sex,0.615036,0.616422,-0.001387,0.0,True,6,6,1341.5,0.203353,0.892614,0.634141
hmda,LAFTR,1,fair_lending_audit,race,0.648415,0.645825,0.00259,0.0,True,6,6,1341.5,0.203353,0.892614,0.634141
hmda,LAFTR,1,fair_lending_audit,sex,0.615036,0.616422,-0.001387,0.0,True,6,6,1341.5,0.203353,0.892614,0.634141
hmda,INLP,1,underwriting,race,0.702072,0.645825,0.056247,4e-06,False,0,6,2110.4,0.210746,0.892614,0.634141
hmda,INLP,1,underwriting,ethnicity,0.813264,0.728529,0.084735,0.000329,False,0,6,2110.4,0.210746,0.892614,0.634141
hmda,INLP,1,pricing_analysis,race,0.708806,0.645825,0.062981,5e-06,False,0,6,2110.4,0.210746,0.892614,0.634141
hmda,INLP,1,pricing_analysis,sex,0.742625,0.616422,0.126203,0.001581,False,0,6,2110.4,0.210746,0.892614,0.634141
hmda,INLP,1,fair_lending_audit,race,0.708806,0.645825,0.062981,5e-06,False,0,6,2110.4,0.210746,0.892614,0.634141
hmda,INLP,1,fair_lending_audit,sex,0.742625,0.616422,0.126203,0.001581,False,0,6,2110.4,0.210746,0.892614,0.634141
hmda,LEACE,1,underwriting,race,0.851621,0.645825,0.205797,0.35747,False,0,6,760.5,0.614596,0.912305,0.659029
hmda,LEACE,1,underwriting,ethnicity,0.88588,0.728529,0.15735,0.488548,False,0,6,760.5,0.614596,0.912305,0.659029
hmda,LEACE,1,pricing_analysis,race,0.851841,0.645825,0.206016,0.35747,False,0,6,760.5,0.614596,0.912305,0.659029
hmda,LEACE,1,pricing_analysis,sex,0.814728,0.616422,0.198306,0.30893,False,0,6,760.5,0.614596,0.912305,0.659029
hmda,LEACE,1,fair_lending_audit,race,0.851841,0.645825,0.206016,0.35747,False,0,6,760.5,0.614596,0.912305,0.659029
hmda,LEACE,1,fair_lending_audit,sex,0.814728,0.616422,0.198306,0.30893,False,0,6,760.5,0.614596,0.912305,0.659029
hmda,Standard,2,underwriting,race,0.891516,0.645825,0.245691,0.508582,False,0,6,453.9,0.560354,0.90945,0.650026
hmda,Standard,2,underwriting,ethnicity,0.926287,0.728529,0.197757,0.597482,False,0,6,453.9,0.560354,0.90945,0.650026
hmda,Standard,2,pricing_analysis,race,0.892028,0.645825,0.246204,0.508582,False,0,6,453.9,0.560354,0.90945,0.650026
hmda,Standard,2,pricing_analysis,sex,0.812678,0.616422,0.196256,0.284586,False,0,6,453.9,0.560354,0.90945,0.650026
hmda,Standard,2,fair_lending_audit,race,0.890564,0.645825,0.24474,0.508582,False,0,6,453.9,0.560354,0.90945,0.650026
hmda,Standard,2,fair_lending_audit,sex,0.811434,0.616422,0.195012,0.284586,False,0,6,453.9,0.560354,0.90945,0.650026
hmda,LAFTR,2,underwriting,race,0.648415,0.645825,0.00259,0.0,True,6,6,1821.1,0.210746,0.892614,0.634141
hmda,LAFTR,2,underwriting,ethnicity,0.729595,0.728529,0.001066,0.0,True,6,6,1821.1,0.210746,0.892614,0.634141
hmda,LAFTR,2,pricing_analysis,race,0.648415,0.645825,0.00259,0.0,True,6,6,1821.1,0.210746,0.892614,0.634141
hmda,LAFTR,2,pricing_analysis,sex,0.615036,0.616422,-0.001387,0.0,True,6,6,1821.1,0.210746,0.892614,0.634141
