dataset,method,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,train_time_s,loan_amount_band_acc,loan_decision_acc,tract_denial_high_acc
hmda,PCRL,0,underwriting,race,0.648415,0.645825,0.00259,0.006365,True,5,6,3084.8,0.210746,0.892614,0.634141
hmda,PCRL,0,underwriting,ethnicity,0.75075,0.728529,0.022221,0.043707,False,5,6,3084.8,0.210746,0.892614,0.634141
hmda,PCRL,0,pricing_analysis,race,0.648415,0.645825,0.00259,0.0,True,5,6,3084.8,0.210746,0.892614,0.634141
hmda,PCRL,0,pricing_analysis,sex,0.615036,0.616422,-0.001387,0.0,True,5,6,3084.8,0.210746,0.892614,0.634141
hmda,PCRL,0,fair_lending_audit,race,0.648415,0.645825,0.00259,0.008909,True,5,6,3084.8,0.210746,0.892614,0.634141
hmda,PCRL,0,fair_lending_audit,sex,0.615036,0.616422,-0.001387,0.005021,True,5,6,3084.8,0.210746,0.892614,0.634141
hmda,PCRL,1,underwriting,race,0.648415,0.645825,0.00259,0.0,True,6,6,1777.2,0.210746,0.892614,0.634141
hmda,PCRL,1,underwriting,ethnicity,0.729595,0.728529,0.001066,0.0,True,6,6,1777.2,0.210746,0.892614,0.634141
hmda,PCRL,1,pricing_analysis,race,0.648415,0.645825,0.00259,0.0,True,6,6,1777.2,0.210746,0.892614,0.634141
hmda,PCRL,1,pricing_analysis,sex,0.615036,0.616422,-0.001387,0.0,True,6,6,1777.2,0.210746,0.892614,0.634141
hmda,PCRL,1,fair_lending_audit,race,0.648415,0.645825,0.00259,0.0,True,6,6,1777.2,0.210746,0.892614,0.634141
hmda,PCRL,1,fair_lending_audit,sex,0.615036,0.616422,-0.001387,0.0,True,6,6,1777.2,0.210746,0.892614,0.634141
hmda,PCRL,2,underwriting,race,0.648415,0.645825,0.00259,0.012618,True,5,6,1430.7,0.210746,0.892614,0.634141
hmda,PCRL,2,underwriting,ethnicity,0.766342,0.728529,0.037813,0.079602,False,5,6,1430.7,0.210746,0.892614,0.634141
hmda,PCRL,2,pricing_analysis,race,0.648415,0.645825,0.00259,6.1e-05,True,5,6,1430.7,0.210746,0.892614,0.634141
hmda,PCRL,2,pricing_analysis,sex,0.615036,0.616422,-0.001387,1e-06,True,5,6,1430.7,0.210746,0.892614,0.634141
hmda,PCRL,2,fair_lending_audit,race,0.648415,0.645825,0.00259,0.024099,True,5,6,1430.7,0.210746,0.892614,0.634141
hmda,PCRL,2,fair_lending_audit,sex,0.620818,0.616422,0.004396,0.024928,True,5,6,1430.7,0.210746,0.892614,0.634141
