family,id,candidate,arm,comparator,comparator_names,role,weighting,clause,orientation,threshold,estimate,lower,upper,bootstrap_se,anchor_estimates,point_screen_passed,interval_passed,demonstrated_adverse,decision,benefit_over_H,benefit_over_H_lower,benefit_over_H_upper
primary,U_candidate|D17|utility:A/same_residence|U,U_candidate,U,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",utility:A/same_residence,U,task,CE_candidate - CE_comparator,-0.003,0.0014504573647038364,-0.003062640750171257,0.005963555479578929,0.0013336435484071522,"[-0.00046047711914159166,0.0018866345103588078,0.0029252147028942938]",False,False,False,UNRESOLVED,,,
primary,U_candidate|D17|utility:A/same_residence|PWGTP,U_candidate,U,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",utility:A/same_residence,PWGTP,task,CE_candidate - CE_comparator,-0.003,0.0009140901014606165,-0.0043549938748444995,0.006183174077765732,0.0015570412324637235,"[-6.042748783777169e-05,0.0009495234946645643,0.0018531742975550567]",False,False,False,UNRESOLVED,,,
primary,U_candidate|D17|attack:A/SEX|U,U_candidate,U,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:A/SEX,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0011015389992294114,-0.0025808512586823263,0.00478392925714115,0.0010881651329482027,"[0.0012488172103978042,0.0017891971732152377,0.00026660261407519234]",False,False,False,UNRESOLVED,,,
primary,U_candidate|D17|attack:A/SEX|PWGTP,U_candidate,U,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:A/SEX,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.001325721157241274,-0.0026057233548866755,0.0052571656693692235,0.0011617619373792975,"[0.0028527356674087913,0.00010062410846216029,0.0010238036958528703]",False,False,False,UNRESOLVED,,,
primary,U_candidate|D17|attack:A/RAC1P|U,U_candidate,U,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:A/RAC1P,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.00046154335704767275,-0.0026470550948196445,0.00357014180891499,0.0009186067230085135,"[0.0,0.0013846300711430183,0.0]",True,False,False,UNRESOLVED,,,
primary,U_candidate|D17|attack:A/RAC1P|PWGTP,U_candidate,U,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:A/RAC1P,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0005175838509450503,-0.003475137282432379,0.004510304984322479,0.0011798694919942095,"[0.0,0.001552751552835151,0.0]",True,False,False,UNRESOLVED,,,
primary,U_candidate|D17|attack:AB/SEX|U,U_candidate,U,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:AB/SEX,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.00045340530894900227,-0.006366761535163092,0.007273572153061097,0.002015394143710567,"[0.0036646681031912843,0.005784709553806834,-0.00808916173015111]",True,False,False,UNRESOLVED,,,
primary,U_candidate|D17|attack:AB/SEX|PWGTP,U_candidate,U,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:AB/SEX,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-0.0030815487856069245,-0.010824473447657483,0.004661375876443635,0.002288073792881003,"[0.004259184280404604,0.0025581811538780905,-0.01606201179110347]",True,False,False,UNRESOLVED,,,
primary,U_candidate|D17|attack:AB/RAC1P|U,U_candidate,U,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:AB/RAC1P,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0014739267993170372,-0.0025388874126271443,0.005486741011261219,0.001185807099357512,"[0.0,0.0023433903828701634,0.0020783900150809476]",False,False,False,UNRESOLVED,,,
primary,U_candidate|D17|attack:AB/RAC1P|PWGTP,U_candidate,U,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:AB/RAC1P,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0020830996735840767,-0.0027778708260007734,0.006944070173168927,0.0014364416152180747,"[0.0,0.0023234238400388872,0.003925875180713342]",False,False,False,UNRESOLVED,,,
primary,U_candidate|TaskOnly|utility:A/same_residence|U,U_candidate,U,TaskOnly,"[""TaskOnly""]",utility:A/same_residence,U,task,CE_candidate - CE_comparator,-0.003,0.0034114126568758458,-0.00396717027245377,0.010789995586205463,0.0021804089495980165,"[0.0017731414768563563,0.004222894450786809,0.004238202042984372]",False,False,False,UNRESOLVED,,,
primary,U_candidate|TaskOnly|utility:A/same_residence|PWGTP,U_candidate,U,TaskOnly,"[""TaskOnly""]",utility:A/same_residence,PWGTP,task,CE_candidate - CE_comparator,-0.003,0.0025088764628262085,-0.004851678391911285,0.009869431317563702,0.002175081561458427,"[-0.0018158770101424835,0.004691023546207722,0.004651482852413387]",False,False,False,UNRESOLVED,,,
primary,U_candidate|TaskOnly|attack:A/SEX|U,U_candidate,U,TaskOnly,"[""TaskOnly""]",attack:A/SEX,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0015316832719405246,-0.0035827476446152863,0.006646114188496336,0.0015113404632523732,"[0.0024843286309279085,0.0031728984828744045,-0.001062177297980739]",False,False,False,UNRESOLVED,,,
primary,U_candidate|TaskOnly|attack:A/SEX|PWGTP,U_candidate,U,TaskOnly,"[""TaskOnly""]",attack:A/SEX,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0005255590190483047,-0.005172105813379408,0.006223223851476017,0.0016836890648817284,"[0.0030079705429278377,-0.000331226358712036,-0.0011000671270708874]",True,False,False,UNRESOLVED,,,
primary,U_candidate|TaskOnly|attack:A/RAC1P|U,U_candidate,U,TaskOnly,"[""TaskOnly""]",attack:A/RAC1P,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0]",True,True,False,PASS,,,
primary,U_candidate|TaskOnly|attack:A/RAC1P|PWGTP,U_candidate,U,TaskOnly,"[""TaskOnly""]",attack:A/RAC1P,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0]",True,True,False,PASS,,,
primary,U_candidate|TaskOnly|attack:AB/SEX|U,U_candidate,U,TaskOnly,"[""TaskOnly""]",attack:AB/SEX,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.004412222777046937,-0.0044088495412051695,0.013233295095299042,0.002606671933077492,"[0.010451552144107791,0.0067736416636784355,-0.003988525476645417]",False,False,False,UNRESOLVED,,,
primary,U_candidate|TaskOnly|attack:AB/SEX|PWGTP,U_candidate,U,TaskOnly,"[""TaskOnly""]",attack:AB/SEX,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,5.047274255917146e-05,-0.009432706040950685,0.009533651526069028,0.0028023277759760237,"[0.007922728330921882,0.0017554721797219273,-0.009526782282966295]",True,False,False,UNRESOLVED,,,
primary,U_candidate|TaskOnly|attack:AB/RAC1P|U,U_candidate,U,TaskOnly,"[""TaskOnly""]",attack:AB/RAC1P,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0006927966716936492,-0.002058980646161789,0.003444573989549088,0.0008131642550635337,"[0.0,0.0,0.0020783900150809476]",True,False,False,UNRESOLVED,,,
primary,U_candidate|TaskOnly|attack:AB/RAC1P|PWGTP,U_candidate,U,TaskOnly,"[""TaskOnly""]",attack:AB/RAC1P,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0013086250602377808,-0.0019547362826798833,0.004571986403155445,0.0009643399479304021,"[0.0,0.0,0.003925875180713342]",False,False,False,UNRESOLVED,,,
primary,U_candidate|A_control_historical_Q|utility:A/same_residence|U,U_candidate,U,A_control_historical_Q,"[""A_control_historical_Q""]",utility:A/same_residence,U,task,CE_candidate - CE_comparator,-0.003,0.002420721854529412,-0.0021435179565546547,0.006984961665613479,0.0013487561808976567,"[0.003102886727744065,0.004239184773194936,-7.990593735076485e-05]",False,False,True,ADVERSE,,,
primary,U_candidate|A_control_historical_Q|utility:A/same_residence|PWGTP,U_candidate,U,A_control_historical_Q,"[""A_control_historical_Q""]",utility:A/same_residence,PWGTP,task,CE_candidate - CE_comparator,-0.003,0.0012262643470168288,-0.003954911803093673,0.006407440497127331,0.0015310640207402445,"[0.0006056111921191556,0.002729393401122013,0.0003437884478093183]",False,False,False,UNRESOLVED,,,
primary,U_candidate|A_control_historical_Q|attack:A/SEX|U,U_candidate,U,A_control_historical_Q,"[""A_control_historical_Q""]",attack:A/SEX,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-0.0014219277441696956,-0.005062409663853169,0.0022185541755137773,0.0010757810049102203,"[-0.0030195213316912095,0.0038966107465877543,-0.005142872647405631]",True,False,False,UNRESOLVED,,,
primary,U_candidate|A_control_historical_Q|attack:A/SEX|PWGTP,U_candidate,U,A_control_historical_Q,"[""A_control_historical_Q""]",attack:A/SEX,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-0.0008001201447360978,-0.005330060356857035,0.00372982006738484,0.001338620474182272,"[-0.0014946962020882778,0.002143295467929457,-0.0030489597000494723]",True,False,False,UNRESOLVED,,,
primary,U_candidate|A_control_historical_Q|attack:A/RAC1P|U,U_candidate,U,A_control_historical_Q,"[""A_control_historical_Q""]",attack:A/RAC1P,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-0.0007353550869900245,-0.003087231178696176,0.001616521004716127,0.0006949913998144368,"[0.0,-0.0022060652609700734,0.0]",True,False,False,UNRESOLVED,,,
primary,U_candidate|A_control_historical_Q|attack:A/RAC1P|PWGTP,U_candidate,U,A_control_historical_Q,"[""A_control_historical_Q""]",attack:A/RAC1P,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-0.0003883605912244025,-0.0031981384362781244,0.002421417253829319,0.000830303707150173,"[0.0,-0.0011650817736732076,0.0]",True,False,False,UNRESOLVED,,,
primary,U_candidate|A_control_historical_Q|attack:AB/SEX|U,U_candidate,U,A_control_historical_Q,"[""A_control_historical_Q""]",attack:AB/SEX,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-5.5201779627147944e-05,-0.006857806325309056,0.00674740276605476,0.0020102043948062786,"[-0.000971473107777254,0.004794393245541227,-0.003988525476645417]",True,False,False,UNRESOLVED,,,
primary,U_candidate|A_control_historical_Q|attack:AB/SEX|PWGTP,U_candidate,U,A_control_historical_Q,"[""A_control_historical_Q""]",attack:AB/SEX,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-0.002811636620918342,-0.011091597967491608,0.005468324725654923,0.002446770876645045,"[-0.0015533392503736467,0.002645211670584916,-0.009526782282966295]",True,False,False,UNRESOLVED,,,
primary,U_candidate|A_control_historical_Q|attack:AB/RAC1P|U,U_candidate,U,A_control_historical_Q,"[""A_control_historical_Q""]",attack:AB/RAC1P,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-3.7484768804992855e-05,-0.003339105743321378,0.0032641362057113927,0.0009756458645196943,"[0.0,-0.002190844321495926,0.0020783900150809476]",True,False,False,UNRESOLVED,,,
primary,U_candidate|A_control_historical_Q|attack:AB/RAC1P|PWGTP,U_candidate,U,A_control_historical_Q,"[""A_control_historical_Q""]",attack:AB/RAC1P,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0009238041410694151,-0.0027199273092834895,0.00456753559142232,0.0010767412578234806,"[0.0,-0.0011544627575050968,0.003925875180713342]",True,False,False,UNRESOLVED,,,
primary,P_candidate|D17|utility:A/same_residence|U,P_candidate,P,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",utility:A/same_residence,U,task,CE_candidate - CE_comparator,0.001,0.009538510208847531,0.0035391226195920847,0.015537897798102978,0.0017728496808950731,"[0.00869600578577957,0.013445607396770965,0.006473917443992062]",False,False,True,ADVERSE,,,
primary,P_candidate|D17|utility:A/same_residence|PWGTP,P_candidate,P,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",utility:A/same_residence,PWGTP,task,CE_candidate - CE_comparator,0.001,0.009835059596090228,0.003758411623604586,0.01591170756857587,0.0017956805188293966,"[0.011207965342410094,0.01287230307348684,0.005424910372373753]",False,False,True,ADVERSE,,,
primary,P_candidate|D17|attack:A/SEX|U,P_candidate,P,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:A/SEX,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-0.001276785041310286,-0.006339471021111383,0.003785900938490811,0.0014960495700989081,"[-0.002740713091266339,-0.00014448347057380555,-0.0009451585620907134]",True,False,False,UNRESOLVED,,,
primary,P_candidate|D17|attack:A/SEX|PWGTP,P_candidate,P,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:A/SEX,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.00031305978281375005,-0.0053904580851395325,0.006016577650767032,0.0016854186667801551,"[-0.0008392214889083502,0.0010696173266496129,0.0007087835106999874]",True,False,False,UNRESOLVED,,,
primary,P_candidate|D17|attack:A/RAC1P|U,P_candidate,P,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:A/RAC1P,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.00046154335704767275,-0.0026470550948196445,0.00357014180891499,0.0009186067230085135,"[0.0,0.0013846300711430183,0.0]",True,False,False,UNRESOLVED,,,
primary,P_candidate|D17|attack:A/RAC1P|PWGTP,P_candidate,P,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:A/RAC1P,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0005175838509450503,-0.003475137282432379,0.004510304984322479,0.0011798694919942095,"[0.0,0.001552751552835151,0.0]",True,False,False,UNRESOLVED,,,
primary,P_candidate|D17|attack:AB/SEX|U,P_candidate,P,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:AB/SEX,U,target,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,-0.002,-0.0036715128698171853,-0.00879893791928726,0.001455912179652889,0.0015151802959099295,"[-0.006786884040916511,-0.00012701831502935122,-0.004100636253505694]",True,False,False,UNRESOLVED,,,
primary,P_candidate|D17|attack:AB/SEX|PWGTP,P_candidate,P,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:AB/SEX,PWGTP,target,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,-0.002,-0.0033246839764297757,-0.00923852661368359,0.00258915866082404,0.0017475707105665203,"[-0.003663544050517279,0.00022472162936512565,-0.006535229508137174]",True,False,False,UNRESOLVED,,,
