method,label,category,wire,weighting,role,loss_nats,H_loss_nats,H_minus_method_nats,anchor_losses_json,anchor_H_losses_json,anchor_canonical_json,anchor_aggregate_report_sha256_json,selection_lock_sha256,development_only,comparison_scope
H,H only,reference,H,U,utility:A/same_residence,0.5279480627552794,0.5279480627552794,0.0,"[0.5305128933496943,0.5242797932521767,0.529051501663967]","[0.5305128933496943,0.5242797932521767,0.529051501663967]","[""H"",""H"",""H""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,H_only_reference
H,H only,reference,H,U,attack:A/SEX,0.6891862165620525,0.6891862165620525,0.0,"[0.6872233320565564,0.6885122870397847,0.6918230305898162]","[0.6872233320565564,0.6885122870397847,0.6918230305898162]","[""H"",""H"",""H""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,H_only_reference
H,H only,reference,H,U,attack:A/RAC1P,1.29035731680304,1.29035731680304,0.0,"[1.2980539739565906,1.2836079557845248,1.2894100206680048]","[1.2980539739565906,1.2836079557845248,1.2894100206680048]","[""H"",""H"",""H""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,H_only_reference
H,H only,reference,H,U,attack:AB/SEX,0.6911249225791442,0.6911249225791442,0.0,"[0.6910400535430347,0.6902060873600093,0.6921286268343886]","[0.6910400535430347,0.6902060873600093,0.6921286268343886]","[""H"",""H"",""H""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,H_only_reference
H,H only,reference,H,U,attack:AB/RAC1P,1.2726268638981353,1.2726268638981353,0.0,"[1.2726276451730927,1.269401611691914,1.275851334829399]","[1.2726276451730927,1.269401611691914,1.275851334829399]","[""H"",""H"",""H""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,H_only_reference
H,H only,reference,H,PWGTP,utility:A/same_residence,0.5040369220655553,0.5040369220655553,0.0,"[0.5094748860755409,0.49740766808427195,0.5052282120368531]","[0.5094748860755409,0.49740766808427195,0.5052282120368531]","[""H"",""H"",""H""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,H_only_reference
H,H only,reference,H,PWGTP,attack:A/SEX,0.6874126888787053,0.6874126888787053,0.0,"[0.685536611275387,0.6857319181281643,0.6909695372325648]","[0.685536611275387,0.6857319181281643,0.6909695372325648]","[""H"",""H"",""H""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,H_only_reference
H,H only,reference,H,PWGTP,attack:A/RAC1P,1.2935196476151347,1.2935196476151347,0.0,"[1.3074815983060426,1.28081143076758,1.2922659137717816]","[1.3074815983060426,1.28081143076758,1.2922659137717816]","[""H"",""H"",""H""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,H_only_reference
H,H only,reference,H,PWGTP,attack:AB/SEX,0.6890930317957947,0.6890930317957947,0.0,"[0.6882325009820122,0.6876349824080088,0.6914116119973635]","[0.6882325009820122,0.6876349824080088,0.6914116119973635]","[""H"",""H"",""H""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,H_only_reference
H,H only,reference,H,PWGTP,attack:AB/RAC1P,1.283992931808909,1.283992931808909,0.0,"[1.2922574796882218,1.2711698988088393,1.2885514169296661]","[1.2922574796882218,1.2711698988088393,1.2885514169296661]","[""H"",""H"",""H""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,H_only_reference
