condition,group,increment/A/RAC1P,increment/A/SEX,increment/AB/RAC1P,increment/AB/SEX,residence_gain_vs_H,source_allowance_all_anchors,weight
A0,References,0.05254060140960459,0.03174940968080938,0.04688888058751776,0.029388847504132027,0.03179846526103447,True,unweighted
J,References,1.2598698217643664e-05,0.0015340499585895968,-0.0006491883698557613,0.008034073367082247,0.02152847136006301,True,unweighted
leace_A0,References,0.009712778748857861,0.00388319785099193,0.009589853703059573,0.003765778777263473,0.02201813364158382,True,unweighted
splince_A0,References,0.008121706412805777,-0.00018499209642230952,0.007273612408136583,0.0023698955189501345,0.016705157931786396,True,unweighted
optnet16_C1,References,0.00597861117392573,0.007026001264953415,0.011649337017115199,0.004638303123740732,0.017018076773175534,False,unweighted
ref_A0,References,0.05254060140960459,0.03174940968080938,0.04688888058751776,0.029388847504132027,0.03179846526103447,True,unweighted
ref_J,References,1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_A0_g000_L1_b100,"Track N, A0 init",0.03250877359440311,0.0264422193906082,0.02968867409618074,0.02679725842809984,0.02928432111608294,True,unweighted
N_A0_g000_L1_b300,"Track N, A0 init",0.0020106882131711115,0.011365136268432718,0.006470687938080255,0.011868300381081368,0.020688014788145193,True,unweighted
N_A0_g000_L2_b100,"Track N, A0 init",0.014605460490294911,0.011760764209790331,0.01699881976393162,0.014387025179403453,0.02808940717948725,True,unweighted
N_A0_g000_L2_b300,"Track N, A0 init",0.0014084891399158324,0.01123425951963882,0.0072077553580235,0.011378419669588783,0.0220629037353894,True,unweighted
N_A0_g000_C1_b100,"Track N, A0 init",0.0038413738851813908,0.00984329551806636,0.00784595279231981,0.0163608426829925,0.0233637577982041,True,unweighted
N_A0_g000_C1_b300,"Track N, A0 init",0.0003901148544926958,0.010259003835371336,0.002607679460449338,0.01430612171312066,0.022737961365956443,True,unweighted
N_A0_g000_none,"Track N, A0 init",0.05254060140960459,0.03174940968080938,0.04688888058751776,0.029388847504132027,0.03179846526103447,True,unweighted
N_A0_g001_L1_b100,"Track N, A0 init",0.036433666232257,0.023697980074757725,0.034534787622139206,0.02276696065928215,0.027388820035320654,True,unweighted
N_A0_g001_L1_b300,"Track N, A0 init",0.0054316630985811925,0.006724933377470895,0.009605794219748942,0.01328485366661917,0.02032860730006192,True,unweighted
N_A0_g001_L2_b100,"Track N, A0 init",0.017622939244683982,0.013323548694736212,0.017590415125601888,0.015124802919817918,0.024453840687414703,True,unweighted
N_A0_g001_L2_b300,"Track N, A0 init",0.003625091561306378,0.004887170264210668,0.008656217359069332,0.0037390410079944925,0.021869363545551024,True,unweighted
N_A0_g001_C1_b100,"Track N, A0 init",0.009011502643958854,0.011534938463292973,0.01169346322696622,0.014885776443412232,0.02214315648927841,True,unweighted
N_A0_g001_C1_b300,"Track N, A0 init",0.008329304403354998,0.006545901125370124,0.0068343645384466205,0.009186594760358694,0.022965010796194396,True,unweighted
N_A0_g001_none,"Track N, A0 init",0.05254060140960459,0.03174940968080938,0.04688888058751776,0.029388847504132027,0.03179846526103447,True,unweighted
N_A0_g010_L1_b100,"Track N, A0 init",0.043590734992643355,0.024368298624540374,0.042496604438778306,0.022007736447863024,0.028178901630806146,True,unweighted
N_A0_g010_L1_b300,"Track N, A0 init",0.005192706046150963,0.007021028474404297,0.010662472637127607,0.011683186024551576,0.02182703754291689,True,unweighted
N_A0_g010_L2_b100,"Track N, A0 init",0.01817089589866172,0.01710886070261845,0.02105287513761726,0.021346785437386145,0.02481743469551027,True,unweighted
N_A0_g010_L2_b300,"Track N, A0 init",0.0024607232362890605,0.0075525580532040575,0.00630244173715903,0.010674845229410609,0.02129194749908418,True,unweighted
N_A0_g010_C1_b100,"Track N, A0 init",0.007996416843338183,0.011236174924317832,0.011661431644818329,0.011277425261125443,0.022279838308870408,True,unweighted
N_A0_g010_C1_b300,"Track N, A0 init",0.0002345750142266715,0.009627509726237493,0.006530709447618428,0.012429362058864394,0.023480145721261187,True,unweighted
N_A0_g010_none,"Track N, A0 init",0.05254060140960459,0.03174940968080938,0.04688888058751776,0.029388847504132027,0.03179846526103447,True,unweighted
N_A0_g100_L1_b100,"Track N, A0 init",0.033805123684710704,0.022543068807763505,0.03492966668453564,0.0225757578142957,0.029818410690589308,True,unweighted
N_A0_g100_L1_b300,"Track N, A0 init",0.019504677360525042,0.01358481431074284,0.020335512172091025,0.017452321661128756,0.02569090618499757,True,unweighted
N_A0_g100_L2_b100,"Track N, A0 init",0.02217326351041608,0.014225916108865292,0.023390868285280957,0.019771332095461818,0.026105323416264054,True,unweighted
N_A0_g100_L2_b300,"Track N, A0 init",0.011815866195552896,0.010436599282366473,0.016494575916355208,0.017309958194139236,0.017315809140786526,True,unweighted
N_A0_g100_C1_b100,"Track N, A0 init",0.020108831272951006,0.011370977652254921,0.018200538237093777,0.016206412968233403,0.02264848203242298,True,unweighted
N_A0_g100_C1_b300,"Track N, A0 init",0.01869226204240726,0.016568762230775413,0.017779330370618556,0.01623123851460595,0.024075275189095247,True,unweighted
N_A0_g100_none,"Track N, A0 init",0.05254060140960459,0.03174940968080938,0.04688888058751776,0.029388847504132027,0.03179846526103447,True,unweighted
N_J_g000_L1_b100,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g000_L1_b300,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g000_L2_b100,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g000_L2_b300,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g000_C1_b100,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g000_C1_b300,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g000_none,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g001_L1_b100,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g001_L1_b300,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g001_L2_b100,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g001_L2_b300,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g001_C1_b100,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g001_C1_b300,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g001_none,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g010_L1_b100,"Track N, J init",0.0014502029400027538,0.008774443810984689,0.0029787758564115605,0.00856364468437909,0.017751365400259195,True,unweighted
N_J_g010_L1_b300,"Track N, J init",0.0034332771879358828,0.012273148076814159,0.008841669871499333,0.01401454368847869,0.015117958928501393,True,unweighted
N_J_g010_L2_b100,"Track N, J init",0.0007354340202324986,0.007820657862220859,0.001710876095213291,0.011523709177723496,0.014757576124214097,True,unweighted
N_J_g010_L2_b300,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g010_C1_b100,"Track N, J init",0.004061620170363526,0.009418291611770657,0.009412442993975034,0.01089287993402118,0.015428603307732472,True,unweighted
N_J_g010_C1_b300,"Track N, J init",1.2598698217643664e-05,0.0015340499585895968,0.0,0.008034073367082247,0.02152847136006301,True,unweighted
N_J_g010_none,"Track N, J init",0.0033274551103648817,0.006692748694461237,0.009747953933483341,0.008903955053360465,0.020340336825215004,True,unweighted
