seed,width,policy,beta,arm,identical_to_no_protection,max_abs_difference,rms_difference,norm_ratio,min_principal_cosine,max_principal_angle_degrees
0,16,L1,0.1,dax16_L1_b010,True,0.0,0.0,1.0,0.9999999999999987,2.9575586669421963e-06
0,16,L1,0.3,dax16_L1_b030,True,0.0,0.0,1.0,0.9999999999999987,2.9575586669421963e-06
0,16,L1,1.0,dax16_L1_b100,False,1.5116870403289795,0.22395040486733772,0.9936869408967954,0.9999999999999986,3.078324659199975e-06
0,16,L1,3.0,dax16_L1_b300,False,2.0425523221492767,0.3566072871303355,0.9864162302708523,0.9999999999999996,1.7075472925031877e-06
0,16,L2,0.1,dax16_L2_b010,True,0.0,0.0,1.0,0.9999999999999987,2.9575586669421963e-06
0,16,L2,0.3,dax16_L2_b030,True,0.0,0.0,1.0,0.9999999999999987,2.9575586669421963e-06
0,16,L2,1.0,dax16_L2_b100,False,1.7456870079040527,0.26997140723073926,0.9902462206481236,0.9999999999999993,2.091309789151873e-06
0,16,L2,3.0,dax16_L2_b300,False,3.2870521545410156,0.45072114959959214,0.976058836206942,0.9999999999999994,1.9090959104164224e-06
0,16,C1,0.1,dax16_C1_b010,True,0.0,0.0,1.0,0.9999999999999987,2.9575586669421963e-06
0,16,C1,0.3,dax16_C1_b030,True,0.0,0.0,1.0,0.9999999999999987,2.9575586669421963e-06
0,16,C1,1.0,dax16_C1_b100,False,1.9662480354309082,0.2708712683571675,0.9935104543873484,0.999999999999999,2.561320938754782e-06
0,16,C1,3.0,dax16_C1_b300,False,3.1368237733840942,0.37428529228752616,0.9893552473389466,0.9999999999999994,1.9090959104164224e-06
0,8,L1,0.1,dax8_L1_b010,True,0.0,0.0,1.0,0.9999999999999999,8.537736462515939e-07
0,8,L1,0.3,dax8_L1_b030,True,0.0,0.0,1.0,0.9999999999999999,8.537736462515939e-07
0,8,L1,1.0,dax8_L1_b100,False,1.3311042487621307,0.2126949542565922,0.9980510214675181,0.9999999999999998,1.2074182697257333e-06
0,8,L1,3.0,dax8_L1_b300,False,1.7198767960071564,0.37055518484640587,0.9884126887225019,0.9999999999999997,1.4787793334710982e-06
0,8,L2,0.1,dax8_L2_b010,True,0.0,0.0,1.0,0.9999999999999999,8.537736462515939e-07
0,8,L2,0.3,dax8_L2_b030,True,0.0,0.0,1.0,0.9999999999999999,8.537736462515939e-07
0,8,L2,1.0,dax8_L2_b100,False,1.5552418231964111,0.32979334505825375,0.9927655814109324,1.0,0.0
0,8,L2,3.0,dax8_L2_b300,False,2.3156720399856567,0.46447579711763987,0.9844601605492458,0.9999999999999997,1.4787793334710982e-06
0,8,C1,0.1,dax8_C1_b010,True,0.0,0.0,1.0,0.9999999999999999,8.537736462515939e-07
0,8,C1,0.3,dax8_C1_b030,True,0.0,0.0,1.0,0.9999999999999999,8.537736462515939e-07
0,8,C1,1.0,dax8_C1_b100,False,1.6537539660930634,0.29487305829453686,0.9971052972963578,0.9999999999999997,1.4787793334710982e-06
0,8,C1,3.0,dax8_C1_b300,False,2.665159448981285,0.4641074980769308,0.9900776074767161,0.9999999999999994,1.9090959104164224e-06
1,16,L1,0.1,dax16_L1_b010,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
1,16,L1,0.3,dax16_L1_b030,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
1,16,L1,1.0,dax16_L1_b100,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
1,16,L1,3.0,dax16_L1_b300,False,1.7345516681671143,0.23710764150346808,0.9963808816443578,0.9999999999999994,1.9090959104164224e-06
1,16,L2,0.1,dax16_L2_b010,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
1,16,L2,0.3,dax16_L2_b030,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
1,16,L2,1.0,dax16_L2_b100,False,1.4010310173034668,0.20984125974395879,0.9948847425082711,0.9999999999999994,1.9090959104164224e-06
1,16,L2,3.0,dax16_L2_b300,False,2.538996458053589,0.29289776513885174,0.9948258424180225,0.9999999999999994,1.9090959104164224e-06
1,16,C1,0.1,dax16_C1_b010,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
1,16,C1,0.3,dax16_C1_b030,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
1,16,C1,1.0,dax16_C1_b100,False,1.41888427734375,0.21630972828712006,0.9942661621973292,0.9999999999999989,2.699869328381916e-06
1,16,C1,3.0,dax16_C1_b300,False,2.294142484664917,0.2848750918243891,0.9923590159609587,0.9999999999999991,2.4148365394514667e-06
1,8,L1,0.1,dax8_L1_b010,True,0.0,0.0,1.0,0.9999999999999994,1.9090959104164224e-06
1,8,L1,0.3,dax8_L1_b030,True,0.0,0.0,1.0,0.9999999999999994,1.9090959104164224e-06
1,8,L1,1.0,dax8_L1_b100,True,0.0,0.0,1.0,0.9999999999999994,1.9090959104164224e-06
1,8,L1,3.0,dax8_L1_b300,False,2.91611385345459,0.31416123895075615,0.9955771438363328,0.9999999999999999,8.537736462515939e-07
1,8,L2,0.1,dax8_L2_b010,True,0.0,0.0,1.0,0.9999999999999994,1.9090959104164224e-06
1,8,L2,0.3,dax8_L2_b030,True,0.0,0.0,1.0,0.9999999999999994,1.9090959104164224e-06
1,8,L2,1.0,dax8_L2_b100,False,2.0955276489257812,0.2724992811239892,0.9949689120309638,0.9999999999999993,2.091309789151873e-06
1,8,L2,3.0,dax8_L2_b300,False,3.8814171850681305,0.3913038360839255,0.9962004629039088,0.9999999999999992,2.2588727439225506e-06
1,8,C1,0.1,dax8_C1_b010,True,0.0,0.0,1.0,0.9999999999999994,1.9090959104164224e-06
1,8,C1,0.3,dax8_C1_b030,True,0.0,0.0,1.0,0.9999999999999994,1.9090959104164224e-06
1,8,C1,1.0,dax8_C1_b100,False,1.8694947361946106,0.27331551027008866,0.996298356879156,0.9999999999999993,2.091309789151873e-06
1,8,C1,3.0,dax8_C1_b300,False,3.143073081970215,0.3824255773600298,0.9976013899805048,0.9999999999999998,1.2074182697257333e-06
2,16,L1,0.1,dax16_L1_b010,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,16,L1,0.3,dax16_L1_b030,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,16,L1,1.0,dax16_L1_b100,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,16,L1,3.0,dax16_L1_b300,False,2.3511013984680176,0.25448570594621217,0.9974162653350841,0.9999999999999996,1.7075472925031877e-06
2,16,L2,0.1,dax16_L2_b010,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,16,L2,0.3,dax16_L2_b030,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,16,L2,1.0,dax16_L2_b100,False,2.2085161209106445,0.22509779700551732,0.9987608142490638,0.9999999999999994,1.9090959104164224e-06
2,16,L2,3.0,dax16_L2_b300,False,3.5100324153900146,0.40658538704218034,0.978181413264926,0.9999999999999993,2.091309789151873e-06
2,16,C1,0.1,dax16_C1_b010,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,16,C1,0.3,dax16_C1_b030,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,16,C1,1.0,dax16_C1_b100,False,1.9039037227630615,0.23651721467357995,0.9937550856168429,0.9999999999999992,2.2588727439225506e-06
2,16,C1,3.0,dax16_C1_b300,False,3.247910737991333,0.33262917013421944,0.9897972183338786,0.9999999999999994,1.9090959104164224e-06
2,8,L1,0.1,dax8_L1_b010,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,8,L1,0.3,dax8_L1_b030,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,8,L1,1.0,dax8_L1_b100,False,1.9817359745502472,0.22149449919179423,0.9986273278410897,0.9999999999999999,8.537736462515939e-07
2,8,L1,3.0,dax8_L1_b300,False,2.066188335418701,0.354985581952649,0.9960323442356365,0.9999999999999996,1.7075472925031877e-06
2,8,L2,0.1,dax8_L2_b010,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,8,L2,0.3,dax8_L2_b030,True,0.0,0.0,1.0,0.9999999999999992,2.2588727439225506e-06
2,8,L2,1.0,dax8_L2_b100,False,2.5755410492420197,0.29525986470765603,0.9957778647302447,0.9999999999999993,2.091309789151873e-06
