seed,condition,weight,endpoint,recovery_budget_120,recovery_budget_360,catchup_gain
0,H,unweighted,A/SEX,0.003099341535045097,0.0038572222479579255,0.0007578807129128284
0,H,unweighted,AB/SEX,0.006522608943295705,0.006522608943295705,0.0
0,H,unweighted,A/RAC1P,0.017035674699698244,0.019686413052045104,0.0026507383523468597
0,H,unweighted,AB/RAC1P,0.03999977218151152,0.03999977218151152,0.0
0,H,person_weighted,A/SEX,0.0031861432749544782,0.004318133977544436,0.0011319907025899578
0,H,person_weighted,AB/SEX,0.0081272979207766,0.0081272979207766,0.0
0,H,person_weighted,A/RAC1P,0.018724007365358064,0.01945925749108146,0.0007352501257233968
0,H,person_weighted,AB/RAC1P,0.04468590489667901,0.04468590489667901,0.0
0,E,unweighted,A/SEX,0.011788053215295746,0.011788053215295746,0.0
0,E,unweighted,AB/SEX,0.015972176593595844,0.015972176593595844,0.0
0,E,unweighted,A/RAC1P,0.051297559717566,0.051297559717566,0.0
0,E,unweighted,AB/RAC1P,0.03999977218151152,0.03999977218151152,0.0
0,E,person_weighted,A/SEX,0.010929450808859098,0.010929450808859098,0.0
0,E,person_weighted,AB/SEX,0.013939641111942791,0.013939641111942791,0.0
0,E,person_weighted,A/RAC1P,0.04992892355218759,0.04992892355218759,0.0
0,E,person_weighted,AB/RAC1P,0.04468590489667901,0.04468590489667901,0.0
0,A0,unweighted,A/SEX,0.03788864977694284,0.03788864977694284,0.0
0,A0,unweighted,AB/SEX,0.03788864977694284,0.03788864977694284,0.0
0,A0,unweighted,A/RAC1P,0.07448182730967678,0.07448182730967678,0.0
0,A0,unweighted,AB/RAC1P,0.07587741389045788,0.07587741389045788,0.0
0,A0,person_weighted,A/SEX,0.040952200387776694,0.040952200387776694,0.0
0,A0,person_weighted,AB/SEX,0.040952200387776694,0.040952200387776694,0.0
0,A0,person_weighted,A/RAC1P,0.06889020721397987,0.06889020721397987,0.0
0,A0,person_weighted,AB/RAC1P,0.0685784752818297,0.0685784752818297,0.0
0,L025,unweighted,A/SEX,-0.0011223077390959402,-0.0011223077390959402,0.0
0,L025,unweighted,AB/SEX,0.005758156403088188,0.005758156403088188,0.0
0,L025,unweighted,A/RAC1P,0.01509116098711516,0.016887836243081322,0.0017966752559661625
0,L025,unweighted,AB/RAC1P,0.03999977218151152,0.03999977218151152,0.0
0,L025,person_weighted,A/SEX,-0.0028939504476270805,-0.0028939504476270805,0.0
0,L025,person_weighted,AB/SEX,0.007093213507896823,0.007093213507896823,0.0
0,L025,person_weighted,A/RAC1P,0.01813620655695214,0.01973911902393377,0.001602912466981632
0,L025,person_weighted,AB/RAC1P,0.04468590489667901,0.04468590489667901,0.0
0,L20,unweighted,A/SEX,0.003904477636615278,0.003904477636615278,0.0
0,L20,unweighted,AB/SEX,0.00920601926288378,0.00920601926288378,0.0
