seed,attribute,fold,rows,missing,support,unsupported_classes_in_this_fold,note
0,SEX,p0_fit,2790,0,"[1417, 1373]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
0,SEX,mapper_fit,5655,0,"[2869, 2786]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
0,SEX,monitor,2068,0,"[1105, 963]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
0,RAC1P,p0_fit,2790,0,"[1572, 161, 17, 1, 8, 455, 10, 426, 140]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
0,RAC1P,mapper_fit,5655,0,"[3212, 289, 55, 0, 14, 895, 27, 824, 339]",[3],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
0,RAC1P,monitor,2068,0,"[1205, 105, 18, 0, 10, 324, 12, 277, 117]",[3],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
0,public_coverage,p0_fit,2790,0,"[2130, 660]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
0,public_coverage,mapper_fit,5655,0,"[4285, 1370]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
0,public_coverage,monitor,2068,0,"[1561, 507]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
1,SEX,p0_fit,2759,0,"[1401, 1358]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
1,SEX,mapper_fit,5679,0,"[2909, 2770]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
1,SEX,monitor,1990,0,"[1041, 949]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
1,RAC1P,p0_fit,2759,0,"[1616, 135, 20, 1, 5, 437, 7, 378, 160]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
1,RAC1P,mapper_fit,5679,0,"[3245, 295, 29, 0, 17, 860, 21, 868, 344]",[3],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
1,RAC1P,monitor,1990,0,"[1132, 99, 15, 0, 3, 329, 7, 290, 115]",[3],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
1,public_coverage,p0_fit,2759,0,"[2078, 681]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
1,public_coverage,mapper_fit,5679,0,"[4248, 1431]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
1,public_coverage,monitor,1990,0,"[1483, 507]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
2,SEX,p0_fit,2712,0,"[1387, 1325]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
2,SEX,mapper_fit,5815,0,"[3006, 2809]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
2,SEX,monitor,2024,0,"[1065, 959]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
2,RAC1P,p0_fit,2712,0,"[1466, 154, 13, 0, 5, 451, 14, 450, 159]",[3],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
2,RAC1P,mapper_fit,5815,0,"[3366, 329, 40, 0, 16, 906, 32, 814, 312]",[3],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
2,RAC1P,monitor,2024,0,"[1158, 98, 25, 0, 7, 315, 12, 298, 111]",[3],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
2,public_coverage,p0_fit,2712,0,"[2070, 642]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
2,public_coverage,mapper_fit,5815,0,"[4367, 1448]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
2,public_coverage,monitor,2024,0,"[1514, 510]",[],unsupported IN THIS FIT FOLD. Population absence is not inferred from a fold split
