left,right,family,weight,endpoint,seed,estimate,sign
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,utility/same_residence,0,0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,utility/same_residence,1,0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,utility/same_residence,2,0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/A/SEX,0,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/A/SEX,1,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/A/SEX,2,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/AB/SEX,0,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/AB/SEX,1,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/AB/SEX,2,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/A/RAC1P,0,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/A/RAC1P,1,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/A/RAC1P,2,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/AB/RAC1P,0,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/AB/RAC1P,1,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,unweighted,recovery/AB/RAC1P,2,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,utility/same_residence,0,0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,utility/same_residence,1,0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,utility/same_residence,2,0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/A/SEX,0,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/A/SEX,1,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/A/SEX,2,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/AB/SEX,0,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/AB/SEX,1,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/AB/SEX,2,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/A/RAC1P,0,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/A/RAC1P,1,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/A/RAC1P,2,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/AB/RAC1P,0,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/AB/RAC1P,1,-0.0,0
dax16_C1_b010,dax16_L1_b010,coalition_vs_local,person_weighted,recovery/AB/RAC1P,2,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,utility/same_residence,0,0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,utility/same_residence,1,0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,utility/same_residence,2,0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/A/SEX,0,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/A/SEX,1,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/A/SEX,2,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/AB/SEX,0,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/AB/SEX,1,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/AB/SEX,2,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/A/RAC1P,0,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/A/RAC1P,1,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/A/RAC1P,2,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/AB/RAC1P,0,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/AB/RAC1P,1,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,unweighted,recovery/AB/RAC1P,2,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,utility/same_residence,0,0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,utility/same_residence,1,0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,utility/same_residence,2,0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/A/SEX,0,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/A/SEX,1,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/A/SEX,2,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/AB/SEX,0,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/AB/SEX,1,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/AB/SEX,2,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/A/RAC1P,0,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/A/RAC1P,1,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/A/RAC1P,2,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/AB/RAC1P,0,-0.0,0
dax16_C1_b010,dax16_L2_b010,coalition_vs_local,person_weighted,recovery/AB/RAC1P,1,-0.0,0
