seed,condition,role,stress_candidate,stress_epochs,stress_validation_log_loss,default_validation_log_loss,validation_improvement,stress_test_log_loss,stress_test_log_loss_person_weighted
0,J,A/SEX,stress20000__nested120__mlp_1,360,0.6794459055833028,0.6817582201543654,0.0023123145710626236,0.693231824096609,0.693837265473199
0,J,A/RAC1P,stress20000__nested120__mlp_0,360,1.2605519649259347,1.2505447168006718,-0.01000724812526288,1.2694874695936997,1.2439123352628554
0,J,AB/SEX,stress20000__nested120__mlp_0,360,0.6785361381350283,0.6793555185251079,0.0008193803900795604,0.6851337943007155,0.6871133419852982
0,J,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2461421143405909,1.231695396752685,-0.014446717587905944,1.248752544668313,1.2203586404190954
0,dax16_C1_b030,A/SEX,stress20000__nested120__mlp_0,360,0.6559720889888115,0.6554532346002461,-0.0005188543885654706,0.657990572044997,0.6530687969197609
0,dax16_C1_b030,A/RAC1P,stress30000__nested120__mlp_1,360,1.215205593005137,1.2207571378335134,0.005551544828376276,1.2069331490322552,1.1902568136761424
0,dax16_C1_b030,AB/SEX,stress20000__nested120__mlp_0,360,0.6571488623528265,0.6554532346002461,-0.0016956277525804753,0.6563473973601919,0.651741063840111
0,dax16_C1_b030,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2117523909190346,1.2149775317154157,0.003225140796381032,1.2026749974122966,1.1835036336819922
0,dax16_C1_b100,A/SEX,stress20000__nested120__mlp_0,360,0.6735224829336459,0.67226251085165,-0.0012599720819959082,0.6830542453275217,0.6776636697044917
0,dax16_C1_b100,A/RAC1P,stress30000__nested120__mlp_1,360,1.2501276325536748,1.2491403887985564,-0.0009872437551183832,1.244635409992354,1.2217383377852418
0,dax16_C1_b100,AB/SEX,stress20000__nested120__mlp_0,360,0.6721212008765748,0.67226251085165,0.00014130997507522114,0.6799252812758086,0.6763049816311524
0,dax16_C1_b100,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2341860037817287,1.231695396752685,-0.002490607029043801,1.2285512287692475,1.2021333102486653
0,dax16_L2_b030,A/SEX,stress20000__nested120__mlp_0,360,0.6559720889888115,0.6554532346002461,-0.0005188543885654706,0.657990572044997,0.6530687969197609
