family,contrast,endpoint,weight,seed_mean,seed_0,seed_1,seed_2,all_seeds_match_seed_mean_sign,development_seed_mean,seed_mean_matches_development_sign,all_seeds_match_development_sign
F1_primary,spectral_C1 - spectral_L1,utility/same_residence,unweighted,0.000289699383529148,0.0005396927194326606,0.0004327645179718065,-0.0001033590868170231,False,0.0023063056056596,True,False
F1_primary,spectral_C1 - spectral_L1,utility/same_residence,person_weighted,9.937663234860228e-05,-8.282054268415884e-05,-2.383156612328907e-06,0.0003833335963422946,False,0.0018486551991234665,True,False
F1_primary,spectral_C1 - spectral_L1,recovery/A/SEX,unweighted,-0.0028239554465483217,-0.004643239172023059,-0.005542729900932977,0.0017141027333110702,False,-0.0015185483611322333,True,False
F1_primary,spectral_C1 - spectral_L1,recovery/A/SEX,person_weighted,-0.004978946292307324,-0.004981496600540307,-0.010794010668547665,0.0008386683921660018,False,-0.002038472904951467,True,False
F1_primary,spectral_C1 - spectral_L1,recovery/AB/SEX,unweighted,-0.005926134319687555,-0.004643239172023059,-0.009379590118572978,-0.0037555736684666274,True,-0.005149519287908067,True,True
F1_primary,spectral_C1 - spectral_L1,recovery/AB/SEX,person_weighted,-0.006876572306322327,-0.004981496600540307,-0.014299949377286195,-0.0013482709411404802,True,-0.006029618188310067,True,True
F1_primary,spectral_C1 - spectral_L1,recovery/A/RAC1P,unweighted,-0.013694865243006726,-0.014472057241295203,-0.012941179328000395,-0.013671359159724582,True,-0.010658035141672366,True,True
F1_primary,spectral_C1 - spectral_L1,recovery/A/RAC1P,person_weighted,-0.015856875365910756,-0.013481526139924649,-0.016786288596268316,-0.017302811361539307,True,-0.012032948288783133,True,True
F1_primary,spectral_C1 - spectral_L1,recovery/AB/RAC1P,unweighted,-0.007915242012695181,-0.0053660236949712725,-0.010905665682951662,-0.0074740366601626085,True,-0.0142668569356243,True,True
F1_primary,spectral_C1 - spectral_L1,recovery/AB/RAC1P,person_weighted,-0.007661967366520195,-0.005583330388216262,-0.008097841066660949,-0.009304730644683373,True,-0.015021786509925033,True,True
F1_primary,spectral_C1 - spectral_L2,utility/same_residence,unweighted,0.0005912756752317986,0.0012402442140621028,0.0009137335930380353,-0.00038015078140474223,False,0.0020568596355590757,True,False
F1_primary,spectral_C1 - spectral_L2,utility/same_residence,person_weighted,0.00017392101238557683,0.0005589476588934716,0.0002240589605572163,-0.0002612435822939574,False,0.0018097452570517,True,False
F1_primary,spectral_C1 - spectral_L2,recovery/A/SEX,unweighted,-0.0025795412798358167,-0.001982148161728578,-0.005079579756451211,-0.0006768959213276603,True,-0.0006523449016776001,True,True
F1_primary,spectral_C1 - spectral_L2,recovery/A/SEX,person_weighted,-0.003976163721524688,-0.001119478154300163,-0.010406246852379345,-0.0004027661578945539,True,-0.0014202637413465666,True,True
F1_primary,spectral_C1 - spectral_L2,recovery/AB/SEX,unweighted,-0.004719499897425421,-0.0058134676264951085,-0.0059775692552117565,-0.002367462810569397,True,-0.00031852908854409996,True,True
F1_primary,spectral_C1 - spectral_L2,recovery/AB/SEX,person_weighted,-0.00474707105760042,-0.005599415017960716,-0.007977332886600838,-0.0006644652682397077,True,-0.000912747691946,True,True
F1_primary,spectral_C1 - spectral_L2,recovery/A/RAC1P,unweighted,-0.007409851146524593,-0.00539875971307556,-0.00737984451786821,-0.00945094920863001,True,-0.0053085961424718005,True,True
F1_primary,spectral_C1 - spectral_L2,recovery/A/RAC1P,person_weighted,-0.008995350122373597,-0.005088694151319115,-0.00915830332100643,-0.012739052894795246,True,-0.005534409675829933,True,True
F1_primary,spectral_C1 - spectral_L2,recovery/AB/RAC1P,unweighted,-0.003024518148549269,0.00038885173015217045,-0.003866696740296577,-0.0055957094355034015,False,-0.0005733455774876001,True,False
F1_primary,spectral_C1 - spectral_L2,recovery/AB/RAC1P,person_weighted,-0.003663778979854676,-0.0004377468147465785,-0.003424529240801902,-0.007129060884015548,True,-0.0004233782159733333,True,True
F2_neural_replication,J - L025,utility/same_residence,unweighted,-0.0014220650168544535,0.0021638641857413266,-0.011464145667574588,0.005034086431269902,False,-0.0034301799376865332,True,False
F2_neural_replication,J - L025,utility/same_residence,person_weighted,-0.0011503888224425236,0.00299230828281849,-0.011422116699563611,0.0049786419494175504,False,-0.0030943548508973,True,False
F2_neural_replication,J - L025,recovery/A/SEX,unweighted,-0.0019012822322902966,-0.005670668424712413,0.0,-3.317827215847634e-05,False,-0.0047670484943005,True,False
F2_neural_replication,J - L025,recovery/A/SEX,person_weighted,-0.00275262296559174,-0.006272921273630119,0.0,-0.0019849476231451006,False,-0.0056348644055028005,True,False
F2_neural_replication,J - L025,recovery/AB/SEX,unweighted,-0.0042883320983574886,-0.004774482080695164,-3.516557414757343e-05,-0.008055348640229729,True,0.0009446634967333333,False,False
F2_neural_replication,J - L025,recovery/AB/SEX,person_weighted,-0.0029597702391946095,-0.0028411807431538445,0.0020330387444465418,-0.008071168718876526,False,-0.0003544180347331333,True,False
F2_neural_replication,J - L025,recovery/A/RAC1P,unweighted,-0.001741524207470321,-0.004715418106652627,-0.004633620508274823,0.0041244659925164864,False,-0.0023585608532756667,True,False
F2_neural_replication,J - L025,recovery/A/RAC1P,person_weighted,-0.002870301936952164,-0.0056246899917467875,-0.00718159898220096,0.004195383163091256,False,-0.0023839703694238336,True,False
F2_neural_replication,J - L025,recovery/AB/RAC1P,unweighted,-0.00462417328482635,-0.004443922477822583,-0.00573363934766425,-0.0036949580289922165,True,-0.0059637791613124,True,True
