mode,interface,weight,released_service_vectors_identical,legacy_source_probe_allowance_pass_seeds,legacy_source_probe_allowance_fail_seeds,half_headroom_pass_seeds,half_headroom_fail_seeds,residence_gain_mean
A,A0,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.028067721299562403
A,A0,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.030585772951640222
A,E,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.02402138117669152
A,E,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.027869400703409486
A,H,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.0
A,H,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.0
A,J,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.017699408660289278
A,J,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.020400947471806246
A,L025,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.01716603501700172
A,L025,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.018925491341784045
A,L20,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.016654871748235878
A,L20,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.019132971051941006
A,spectral_C025,person_weighted,"structural (verified bitwise, 210/210 views)",1,2,1,2,0.028309082527758083
A,spectral_C025,unweighted,"structural (verified bitwise, 210/210 views)",1,2,0,3,0.031131091325843203
A,spectral_C1,person_weighted,"structural (verified bitwise, 210/210 views)",0,3,0,3,0.02620501500229085
A,spectral_C1,unweighted,"structural (verified bitwise, 210/210 views)",0,3,0,3,0.028157190949755107
A,spectral_L025,person_weighted,"structural (verified bitwise, 210/210 views)",0,3,2,1,0.028657181932860782
A,spectral_L025,unweighted,"structural (verified bitwise, 210/210 views)",0,3,1,2,0.031619837656832996
A,spectral_L1,person_weighted,"structural (verified bitwise, 210/210 views)",0,3,0,3,0.026352215133798856
A,spectral_L1,unweighted,"structural (verified bitwise, 210/210 views)",0,3,0,3,0.029093152792246113
A,spectral_L2,person_weighted,"structural (verified bitwise, 210/210 views)",0,3,0,3,0.025817811475949026
A,spectral_L2,unweighted,"structural (verified bitwise, 210/210 views)",0,3,0,3,0.028296819131582957
A,spectral_M025,person_weighted,"structural (verified bitwise, 210/210 views)",1,2,1,2,0.027324699606381803
A,spectral_M025,unweighted,"structural (verified bitwise, 210/210 views)",1,2,1,2,0.02881389372298056
A,spectral_M1,person_weighted,"structural (verified bitwise, 210/210 views)",0,3,1,2,0.02995051547690325
A,spectral_M1,unweighted,"structural (verified bitwise, 210/210 views)",0,3,1,2,0.03323283706297131
A,spectral_S0,person_weighted,"structural (verified bitwise, 210/210 views)",0,3,2,1,0.029585918741056243
A,spectral_S0,unweighted,"structural (verified bitwise, 210/210 views)",0,3,2,1,0.03276160215639945
B,A0,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,2,1,0.026578214166797304
B,A0,unweighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.028880319860929277
B,E,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.02193491234578628
B,E,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.02630639060007574
B,H,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.0
B,H,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.0
B,J,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.017115676366541283
B,J,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.018885336173653105
B,L025,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.01596528754409876
B,L025,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.01746327115679865
B,L20,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.0158289276624128
B,L20,unweighted,"structural (verified bitwise, 210/210 views)",3,0,0,3,0.018131418948463335
B,spectral_C025,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,2,1,0.026419526250189673
B,spectral_C025,unweighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.029498003263688826
B,spectral_C1,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.025263259866576866
B,spectral_C1,unweighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.028201474185656477
B,spectral_L025,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.026196326934104192
B,spectral_L025,unweighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.02986978984800977
B,spectral_L1,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.025362636498925468
B,spectral_L1,unweighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.028491173569185624
B,spectral_L2,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.025437180878962445
B,spectral_L2,unweighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.028792749860888273
B,spectral_M025,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.026592605757757126
B,spectral_M025,unweighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.029623650205631402
B,spectral_M1,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,2,1,0.02672446884849422
B,spectral_M1,unweighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.029802654918408684
B,spectral_S0,person_weighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.026279044022177345
B,spectral_S0,unweighted,"structural (verified bitwise, 210/210 views)",3,0,1,2,0.030351373739612348
