rank,policy,weight,left,right,endpoint,seed_0,seed_1,seed_2,seeds_repaired_not_worse,registered_criterion_met_at_least_2_of_3
16,L1,unweighted,spectral_riv16_L1,spectral_nlr16_L1,recovery/A/SEX,-0.0023827914477674295,-0.004407026231829203,0.0004769870020107092,2,True
16,L1,person_weighted,spectral_riv16_L1,spectral_nlr16_L1,recovery/A/SEX,-0.007731688276562565,-0.0032015167774281927,0.000827097208741634,2,True
16,L2,unweighted,spectral_riv16_L2,spectral_nlr16_L2,recovery/A/SEX,-0.001009932813882397,-0.0031415870906018606,-0.0020881901785773094,3,True
16,L2,person_weighted,spectral_riv16_L2,spectral_nlr16_L2,recovery/A/SEX,-0.0035460326134586495,-0.003614807231313244,-0.001877383755934603,3,True
16,C1,unweighted,spectral_riv16_C1,spectral_nlr16_C1,recovery/A/SEX,0.0016576883600250003,0.002091061099933733,0.00140734931722164,0,False
16,C1,person_weighted,spectral_riv16_C1,spectral_nlr16_C1,recovery/A/SEX,0.0014987764777053547,0.0019890482291933242,0.0016035366961878461,0,False
8,L1,unweighted,spectral_riv8_L1,spectral_nlr8_L1,recovery/A/SEX,-8.129578066085053e-05,0.0020621556519042628,-0.0010862231086176122,2,True
8,L1,person_weighted,spectral_riv8_L1,spectral_nlr8_L1,recovery/A/SEX,0.0014036044749964338,0.0023268700954554022,-0.0008046651842518182,1,False
8,L2,unweighted,spectral_riv8_L2,spectral_nlr8_L2,recovery/A/SEX,0.0060185291660856954,-0.00015216894611647103,0.001660027258781449,1,False
8,L2,person_weighted,spectral_riv8_L2,spectral_nlr8_L2,recovery/A/SEX,0.005833844642484487,-0.00039622660692140155,0.0005933147521920423,1,False
8,C1,unweighted,spectral_riv8_C1,spectral_nlr8_C1,recovery/A/SEX,0.002351565760907337,0.002990012417089183,-0.0009631255321413956,1,False
8,C1,person_weighted,spectral_riv8_C1,spectral_nlr8_C1,recovery/A/SEX,0.0040650539464122115,0.004476725982650254,-0.0006459334592712196,1,False
