seed,condition,weight,scope,kind,endpoint,value
0,H,unweighted,common_fresh,utility_gain_vs_H,same_residence,0.0
0,H,unweighted,common_fresh,absolute_recovery,A/public_coverage,0.05049716365471668
0,H,unweighted,common_fresh,additional_recovery,A/public_coverage,0.0
0,H,unweighted,common_fresh,absolute_recovery,A/commute_over20,0.007750277306547759
0,H,unweighted,common_fresh,additional_recovery,A/commute_over20,0.0
0,H,unweighted,common_fresh,absolute_recovery,A/SEX,0.007549486729571009
0,H,unweighted,common_fresh,additional_recovery,A/SEX,0.0
0,H,unweighted,common_fresh,absolute_recovery,A/RAC1P,0.018580717431393667
0,H,unweighted,common_fresh,additional_recovery,A/RAC1P,0.0
0,H,unweighted,common_fresh,absolute_recovery,B/income_binary,0.11318382174447267
0,H,unweighted,common_fresh,additional_recovery,B/income_binary,0.0
0,H,unweighted,common_fresh,absolute_recovery,B/civilian_at_work,0.12939487326426502
0,H,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
0,H,unweighted,common_fresh,absolute_recovery,B/same_residence,0.007410065052168235
0,H,unweighted,common_fresh,additional_recovery,B/same_residence,0.0
0,H,unweighted,common_fresh,absolute_recovery,B/SEX,-6.643951747031807e-05
0,H,unweighted,common_fresh,additional_recovery,B/SEX,0.0
0,H,unweighted,common_fresh,absolute_recovery,B/RAC1P,0.025258634050528528
0,H,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0
0,H,unweighted,common_fresh,absolute_recovery,AB/SEX,0.007549486729571009
0,H,unweighted,common_fresh,additional_recovery,AB/SEX,0.0
0,H,unweighted,common_fresh,absolute_recovery,AB/RAC1P,0.03689656202662639
0,H,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.0
0,H,unweighted,transport_all,utility_gain_vs_H,same_residence,0.0
0,H,unweighted,transport_all,absolute_recovery,A/public_coverage,0.051216817339816756
0,H,unweighted,transport_all,additional_recovery,A/public_coverage,0.0
0,H,unweighted,transport_all,absolute_recovery,A/commute_over20,0.006231760396516517
0,H,unweighted,transport_all,additional_recovery,A/commute_over20,0.0
0,H,unweighted,transport_all,absolute_recovery,A/SEX,0.009812923863823153
0,H,unweighted,transport_all,additional_recovery,A/SEX,0.0
0,H,unweighted,transport_all,absolute_recovery,A/RAC1P,0.019344689578604024
0,H,unweighted,transport_all,additional_recovery,A/RAC1P,0.0
0,H,unweighted,transport_all,absolute_recovery,B/income_binary,0.11318382174447267
0,H,unweighted,transport_all,additional_recovery,B/income_binary,0.0
0,H,unweighted,transport_all,absolute_recovery,B/civilian_at_work,0.12939487326426502
0,H,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0
0,H,unweighted,transport_all,absolute_recovery,B/same_residence,0.007410065052168235
0,H,unweighted,transport_all,additional_recovery,B/same_residence,0.0
0,H,unweighted,transport_all,absolute_recovery,B/SEX,0.00040107076730033775
0,H,unweighted,transport_all,additional_recovery,B/SEX,0.0
0,H,unweighted,transport_all,absolute_recovery,B/RAC1P,0.024997374577194753
0,H,unweighted,transport_all,additional_recovery,B/RAC1P,0.0
0,H,unweighted,transport_all,absolute_recovery,AB/SEX,0.01217286013481933
0,H,unweighted,transport_all,additional_recovery,AB/SEX,0.0
0,H,unweighted,transport_all,absolute_recovery,AB/RAC1P,0.03913077410211829
0,H,unweighted,transport_all,additional_recovery,AB/RAC1P,0.0
0,H,person_weighted,common_fresh,utility_gain_vs_H,same_residence,0.0
0,H,person_weighted,common_fresh,absolute_recovery,A/public_coverage,0.048724266396698024
0,H,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.0
0,H,person_weighted,common_fresh,absolute_recovery,A/commute_over20,0.004342449653152669
0,H,person_weighted,common_fresh,additional_recovery,A/commute_over20,0.0
0,H,person_weighted,common_fresh,absolute_recovery,A/SEX,0.006280041031690886
0,H,person_weighted,common_fresh,additional_recovery,A/SEX,0.0
0,H,person_weighted,common_fresh,absolute_recovery,A/RAC1P,0.020463510155665388
0,H,person_weighted,common_fresh,additional_recovery,A/RAC1P,0.0
0,H,person_weighted,common_fresh,absolute_recovery,B/income_binary,0.10587971082207881
0,H,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0
0,H,person_weighted,common_fresh,absolute_recovery,B/civilian_at_work,0.1265659938103304
0,H,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
0,H,person_weighted,common_fresh,absolute_recovery,B/same_residence,0.01001874337995945
0,H,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0
0,H,person_weighted,common_fresh,absolute_recovery,B/SEX,-0.0004106134712759113
0,H,person_weighted,common_fresh,additional_recovery,B/SEX,0.0
0,H,person_weighted,common_fresh,absolute_recovery,B/RAC1P,0.024745359786336074
0,H,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0
0,H,person_weighted,common_fresh,absolute_recovery,AB/SEX,0.006280041031690886
0,H,person_weighted,common_fresh,additional_recovery,AB/SEX,0.0
0,H,person_weighted,common_fresh,absolute_recovery,AB/RAC1P,0.03633038637652275
0,H,person_weighted,common_fresh,additional_recovery,AB/RAC1P,0.0
0,H,person_weighted,transport_all,utility_gain_vs_H,same_residence,0.0
0,H,person_weighted,transport_all,absolute_recovery,A/public_coverage,0.04928316668181121
0,H,person_weighted,transport_all,additional_recovery,A/public_coverage,0.0
0,H,person_weighted,transport_all,absolute_recovery,A/commute_over20,0.0016082305224761617
0,H,person_weighted,transport_all,additional_recovery,A/commute_over20,0.0
0,H,person_weighted,transport_all,absolute_recovery,A/SEX,0.007973379167463546
0,H,person_weighted,transport_all,additional_recovery,A/SEX,0.0
0,H,person_weighted,transport_all,absolute_recovery,A/RAC1P,0.021336725722498562
0,H,person_weighted,transport_all,additional_recovery,A/RAC1P,0.0
0,H,person_weighted,transport_all,absolute_recovery,B/income_binary,0.10587971082207881
0,H,person_weighted,transport_all,additional_recovery,B/income_binary,0.0
0,H,person_weighted,transport_all,absolute_recovery,B/civilian_at_work,0.1265659938103304
0,H,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0
0,H,person_weighted,transport_all,absolute_recovery,B/same_residence,0.01001874337995945
0,H,person_weighted,transport_all,additional_recovery,B/same_residence,0.0
0,H,person_weighted,transport_all,absolute_recovery,B/SEX,-0.0002929064998229425
0,H,person_weighted,transport_all,additional_recovery,B/SEX,0.0
0,H,person_weighted,transport_all,absolute_recovery,B/RAC1P,0.025237958593029575
0,H,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0
0,H,person_weighted,transport_all,absolute_recovery,AB/SEX,0.010460124981415575
0,H,person_weighted,transport_all,additional_recovery,AB/SEX,0.0
0,H,person_weighted,transport_all,absolute_recovery,AB/RAC1P,0.04001001151370742
0,H,person_weighted,transport_all,additional_recovery,AB/RAC1P,0.0
0,J,unweighted,common_fresh,utility_gain_vs_H,same_residence,0.013386306892118505
0,J,unweighted,common_fresh,absolute_recovery,A/public_coverage,0.0578735480535042
0,J,unweighted,common_fresh,additional_recovery,A/public_coverage,0.007376384398787517
0,J,unweighted,common_fresh,absolute_recovery,A/commute_over20,0.008690279100993958
0,J,unweighted,common_fresh,additional_recovery,A/commute_over20,0.0009400017944461991
0,J,unweighted,common_fresh,absolute_recovery,A/SEX,0.002642666831364826
0,J,unweighted,common_fresh,additional_recovery,A/SEX,-0.004906819898206183
0,J,unweighted,common_fresh,absolute_recovery,A/RAC1P,0.02111647691089913
0,J,unweighted,common_fresh,additional_recovery,A/RAC1P,0.0025357594795054617
0,J,unweighted,common_fresh,absolute_recovery,B/income_binary,0.11318382174447267
0,J,unweighted,common_fresh,additional_recovery,B/income_binary,0.0
0,J,unweighted,common_fresh,absolute_recovery,B/civilian_at_work,0.12939487326426502
0,J,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
0,J,unweighted,common_fresh,absolute_recovery,B/same_residence,0.007410065052168235
0,J,unweighted,common_fresh,additional_recovery,B/same_residence,0.0
0,J,unweighted,common_fresh,absolute_recovery,B/SEX,-6.643951747031807e-05
0,J,unweighted,common_fresh,additional_recovery,B/SEX,0.0
0,J,unweighted,common_fresh,absolute_recovery,B/RAC1P,0.025258634050528528
0,J,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0
0,J,unweighted,common_fresh,absolute_recovery,AB/SEX,0.013609510295322091
0,J,unweighted,common_fresh,additional_recovery,AB/SEX,0.006060023565751083
0,J,unweighted,common_fresh,absolute_recovery,AB/RAC1P,0.037651024539835154
0,J,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.0007544625132087646
0,J,unweighted,transport_all,utility_gain_vs_H,same_residence,0.013386306892118505
0,J,unweighted,transport_all,absolute_recovery,A/public_coverage,0.0582305079474813
0,J,unweighted,transport_all,additional_recovery,A/public_coverage,0.007013690607664547
0,J,unweighted,transport_all,absolute_recovery,A/commute_over20,0.008690279100993958
0,J,unweighted,transport_all,additional_recovery,A/commute_over20,0.0024585187044774415
0,J,unweighted,transport_all,absolute_recovery,A/SEX,0.002642666831364826
0,J,unweighted,transport_all,additional_recovery,A/SEX,-0.007170257032458327
0,J,unweighted,transport_all,absolute_recovery,A/RAC1P,0.02111647691089913
0,J,unweighted,transport_all,additional_recovery,A/RAC1P,0.001771787332295105
0,J,unweighted,transport_all,absolute_recovery,B/income_binary,0.11318382174447267
0,J,unweighted,transport_all,additional_recovery,B/income_binary,0.0
0,J,unweighted,transport_all,absolute_recovery,B/civilian_at_work,0.12939487326426502
0,J,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0
0,J,unweighted,transport_all,absolute_recovery,B/same_residence,0.007410065052168235
0,J,unweighted,transport_all,additional_recovery,B/same_residence,0.0
0,J,unweighted,transport_all,absolute_recovery,B/SEX,0.00040107076730033775
0,J,unweighted,transport_all,additional_recovery,B/SEX,0.0
0,J,unweighted,transport_all,absolute_recovery,B/RAC1P,0.024997374577194753
0,J,unweighted,transport_all,additional_recovery,B/RAC1P,0.0
0,J,unweighted,transport_all,absolute_recovery,AB/SEX,0.013914927968192048
0,J,unweighted,transport_all,additional_recovery,AB/SEX,0.001742067833372718
0,J,unweighted,transport_all,absolute_recovery,AB/RAC1P,0.0430136954873539
0,J,unweighted,transport_all,additional_recovery,AB/RAC1P,0.003882921385235605
0,J,person_weighted,common_fresh,utility_gain_vs_H,same_residence,0.011126996453417415
0,J,person_weighted,common_fresh,absolute_recovery,A/public_coverage,0.05428032596921084
0,J,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.005556059572512817
0,J,person_weighted,common_fresh,absolute_recovery,A/commute_over20,0.005262996582739432
0,J,person_weighted,common_fresh,additional_recovery,A/commute_over20,0.000920546929586763
0,J,person_weighted,common_fresh,absolute_recovery,A/SEX,-0.0019331117444431056
0,J,person_weighted,common_fresh,additional_recovery,A/SEX,-0.008213152776133992
0,J,person_weighted,common_fresh,absolute_recovery,A/RAC1P,0.019913974036952498
0,J,person_weighted,common_fresh,additional_recovery,A/RAC1P,-0.00054953611871289
0,J,person_weighted,common_fresh,absolute_recovery,B/income_binary,0.10587971082207881
0,J,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0
0,J,person_weighted,common_fresh,absolute_recovery,B/civilian_at_work,0.1265659938103304
0,J,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
0,J,person_weighted,common_fresh,absolute_recovery,B/same_residence,0.01001874337995945
0,J,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0
0,J,person_weighted,common_fresh,absolute_recovery,B/SEX,-0.0004106134712759113
0,J,person_weighted,common_fresh,additional_recovery,B/SEX,0.0
0,J,person_weighted,common_fresh,absolute_recovery,B/RAC1P,0.024745359786336074
0,J,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0
0,J,person_weighted,common_fresh,absolute_recovery,AB/SEX,0.010386562766440788
0,J,person_weighted,common_fresh,additional_recovery,AB/SEX,0.004106521734749902
0,J,person_weighted,common_fresh,absolute_recovery,AB/RAC1P,0.03449819276576904
0,J,person_weighted,common_fresh,additional_recovery,AB/RAC1P,-0.0018321936107537073
0,J,person_weighted,transport_all,utility_gain_vs_H,same_residence,0.011126996453417415
0,J,person_weighted,transport_all,absolute_recovery,A/public_coverage,0.05512161021698747
0,J,person_weighted,transport_all,additional_recovery,A/public_coverage,0.005838443535176263
0,J,person_weighted,transport_all,absolute_recovery,A/commute_over20,0.005262996582739432
0,J,person_weighted,transport_all,additional_recovery,A/commute_over20,0.0036547660602632703
0,J,person_weighted,transport_all,absolute_recovery,A/SEX,-0.0019331117444431056
0,J,person_weighted,transport_all,additional_recovery,A/SEX,-0.009906490911906651
0,J,person_weighted,transport_all,absolute_recovery,A/RAC1P,0.019913974036952498
0,J,person_weighted,transport_all,additional_recovery,A/RAC1P,-0.0014227516855460642
0,J,person_weighted,transport_all,absolute_recovery,B/income_binary,0.10587971082207881
0,J,person_weighted,transport_all,additional_recovery,B/income_binary,0.0
0,J,person_weighted,transport_all,absolute_recovery,B/civilian_at_work,0.1265659938103304
0,J,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0
0,J,person_weighted,transport_all,absolute_recovery,B/same_residence,0.01001874337995945
0,J,person_weighted,transport_all,additional_recovery,B/same_residence,0.0
0,J,person_weighted,transport_all,absolute_recovery,B/SEX,-0.0002929064998229425
0,J,person_weighted,transport_all,additional_recovery,B/SEX,0.0
0,J,person_weighted,transport_all,absolute_recovery,B/RAC1P,0.025237958593029575
0,J,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0
0,J,person_weighted,transport_all,absolute_recovery,AB/SEX,0.011381275955143932
0,J,person_weighted,transport_all,additional_recovery,AB/SEX,0.0009211509737283574
0,J,person_weighted,transport_all,absolute_recovery,AB/RAC1P,0.041797347222324754
0,J,person_weighted,transport_all,additional_recovery,AB/RAC1P,0.0017873357086173325
0,E,unweighted,common_fresh,utility_gain_vs_H,same_residence,0.020895143976799035
0,E,unweighted,common_fresh,absolute_recovery,A/public_coverage,0.0679713903735854
