candidate,source,p,dominates_all_seeds_and_weights,dominating_cells,cells
spectral_lin16_L1,E,0.0,False,0,6
spectral_lin16_L1,E,0.25,False,0,6
spectral_lin16_L1,E,0.5,False,0,6
spectral_lin16_L1,E,0.75,False,0,6
spectral_lin16_L1,E,1.0,False,0,6
spectral_lin16_L1,A0,0.0,False,0,6
spectral_lin16_L1,A0,0.25,False,0,6
spectral_lin16_L1,A0,0.5,False,0,6
spectral_lin16_L1,A0,0.75,False,0,6
spectral_lin16_L1,A0,1.0,False,0,6
spectral_lin16_L1,L025,0.0,False,0,6
spectral_lin16_L1,L025,0.25,False,0,6
spectral_lin16_L1,L025,0.5,False,0,6
spectral_lin16_L1,L025,0.75,False,0,6
spectral_lin16_L1,L025,1.0,False,0,6
spectral_lin16_L1,L20,0.0,False,0,6
spectral_lin16_L1,L20,0.25,False,0,6
spectral_lin16_L1,L20,0.5,False,0,6
spectral_lin16_L1,L20,0.75,False,0,6
spectral_lin16_L1,L20,1.0,False,1,6
spectral_lin16_L1,J,0.0,False,0,6
spectral_lin16_L1,J,0.25,False,0,6
spectral_lin16_L1,J,0.5,False,0,6
spectral_lin16_L1,J,0.75,False,0,6
spectral_lin16_L1,J,1.0,False,2,6
spectral_lin16_L1,spectral_S0,0.0,False,0,6
spectral_lin16_L1,spectral_S0,0.25,False,0,6
spectral_lin16_L1,spectral_S0,0.5,False,0,6
spectral_lin16_L1,spectral_S0,0.75,False,0,6
spectral_lin16_L1,spectral_S0,1.0,False,0,6
spectral_lin16_L2,E,0.0,False,0,6
spectral_lin16_L2,E,0.25,False,0,6
spectral_lin16_L2,E,0.5,False,0,6
spectral_lin16_L2,E,0.75,False,0,6
spectral_lin16_L2,E,1.0,False,0,6
spectral_lin16_L2,A0,0.0,False,0,6
spectral_lin16_L2,A0,0.25,False,0,6
spectral_lin16_L2,A0,0.5,False,0,6
spectral_lin16_L2,A0,0.75,False,0,6
spectral_lin16_L2,A0,1.0,False,0,6
spectral_lin16_L2,L025,0.0,False,0,6
spectral_lin16_L2,L025,0.25,False,0,6
spectral_lin16_L2,L025,0.5,False,0,6
spectral_lin16_L2,L025,0.75,False,0,6
