family,id,candidate,candidate_release,arm,comparator,role,weighting,clause,threshold,estimate,bootstrap_se,lower,upper,passed_upper_bound,point_screen_passed,demonstrated_adverse,exact_zero_same_route,anchor_estimate_0,anchor_estimate_1,anchor_estimate_2
primary,primary|D|D17|utility:A/same_residence|U,D,D4,P,D17,utility:A/same_residence,U,task,0.001,0.002642636173266466,0.0011642381938218446,-0.0010177057575623235,0.006302978104095256,False,False,False,False,0.004645923507459642,0.0,0.003281985012339757
primary,primary|D|D17|utility:A/same_residence|PWGTP,D,D4,P,D17,utility:A/same_residence,PWGTP,task,0.001,0.0027510594002939904,0.0012562912883196595,-0.0011986956449996362,0.0067008144455876165,False,False,False,False,0.004977455344191011,0.0,0.0032757228566909604
primary,primary|D|D17|attack:A/SEX|U,D,D4,P,D17,attack:A/SEX,U,guard,0.001,3.108949717527576e-05,0.0010914658095943048,-0.003400457492199112,0.0034626364865496632,False,True,False,False,-0.0012355114205301037,0.0,0.001328779912055931
primary,primary|D|D17|attack:A/SEX|PWGTP,D,D4,P,D17,attack:A/SEX,PWGTP,guard,0.001,0.0006562119824682376,0.001180641061365807,-0.003055700240570175,0.00436812420550665,False,True,False,False,-0.00015523487551904523,0.0,0.0021238708229237577
primary,primary|D|D17|attack:A/RAC1P|U,D,D4,P,D17,attack:A/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
primary,primary|D|D17|attack:A/RAC1P|PWGTP,D,D4,P,D17,attack:A/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
primary,primary|D|D17|attack:AB/SEX|U,D,D4,P,D17,attack:AB/SEX,U,target,-0.002,-0.003629173431474068,0.0014927400037604848,-0.008322318577016456,0.00106397171406832,False,True,False,False,-0.006786884040916511,0.0,-0.004100636253505694
primary,primary|D|D17|attack:AB/SEX|PWGTP,D,D4,P,D17,attack:AB/SEX,PWGTP,target,-0.002,-0.003399591186218151,0.0017278646561513526,-0.008831963603881398,0.0020327812314450953,False,True,False,False,-0.003663544050517279,0.0,-0.006535229508137174
primary,primary|D|D17|attack:AB/RAC1P|U,D,D4,P,D17,attack:AB/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
primary,primary|D|D17|attack:AB/RAC1P|PWGTP,D,D4,P,D17,attack:AB/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
primary,primary|R|D17|utility:A/same_residence|U,R,R4,P,D17,utility:A/same_residence,U,task,0.001,0.0009239406894854246,0.000993793927059567,-0.0022005278265988205,0.00404840920556967,False,True,False,False,0.002439369479032285,0.0,0.00033245258942398885
primary,primary|R|D17|utility:A/same_residence|PWGTP,R,R4,P,D17,utility:A/same_residence,PWGTP,task,0.001,0.0014700845629826147,0.0010520196225303191,-0.0018374443918625627,0.004777613517827792,False,False,False,False,0.0035115411523079574,0.0,0.000898712536639887
