condition,weight,residence_gain_mean,residence_gain_min,residence_gain_max,residence_01_all_seeds_and_mean,half_headroom_pass_seeds,half_headroom_fail_seeds,half_headroom_undefined_seeds,source_allowance_pass_seeds,source_allowance_fail_seeds,source_allowance_undefined_seeds,seeds
J,person_weighted,0.019516442668622087,0.016525967397038377,0.02472407578754704,True,0,3,0,3,0,0,3
J,unweighted,0.02152847136006301,0.01748037269288205,0.029512328033151514,True,0,3,0,3,0,0,3
leace_A0,person_weighted,0.02051468598539728,0.018111306065811295,0.024735314773988937,True,0,3,0,3,0,0,3
leace_A0,unweighted,0.02201813364158382,0.020033692025776317,0.02539200660451091,True,0,3,0,3,0,0,3
optnet16_C1,person_weighted,0.01691206373369808,0.015246928402904036,0.018453423315983097,True,0,3,0,1,2,0,3
optnet16_C1,unweighted,0.017018076773175534,0.014762858886796293,0.018197530593797362,True,0,3,0,2,1,0,3
optnet16_L1,person_weighted,0.01988583655852884,0.018267819058289614,0.02107506221826927,True,0,3,0,2,1,0,3
optnet16_L1,unweighted,0.01985703072664417,0.016858229542660474,0.02200655892049075,True,0,3,0,2,1,0,3
optnet16_L2,person_weighted,0.016300221011118166,0.014302335479057293,0.018231224878433316,True,0,3,0,2,1,0,3
optnet16_L2,unweighted,0.015941481391740082,0.013407007788900471,0.018003427358805335,True,0,3,0,2,1,0,3
splince_A0,person_weighted,0.015396196130789389,0.007510171357614004,0.020460953561513562,False,0,3,0,3,0,0,3
splince_A0,unweighted,0.016705157931786396,0.010976935959358447,0.02061288825980001,True,0,3,0,3,0,0,3
