seed,role,release,target,family,selected,effective_family,fallback_reason,fit_rows,fit_support,fit_coverage_complete,split,eligible_n,missing_or_inapplicable,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc
0,transfer,A_binary_bank,same_residence,logistic,False,logistic,,2048,"[500,1548]",True,validation,2984,0,2984,2,"[0,1]",False,2984.0,"[700,2284]","[700.0,2284.0]","[0.23458445040214476,0.7654155495978552]",True,True,"[true,true]",0.5392394579613418,1e-12,0.7654155495978552,0.5,0.5,0.5869561546159618,0.5869561546159618,0.5869561546159618
0,transfer,A_binary_bank,same_residence,logistic,False,logistic,,2048,"[500,1548]",True,test,2982,0,2982,2,"[0,1]",False,2982.0,"[660,2322]","[660.0,2322.0]","[0.22132796780684105,0.778672032193159]",True,True,"[true,true]",0.5275302918874908,1e-12,0.778672032193159,0.5,0.5,0.5688238978936653,0.5688238978936653,0.5688238978936653
0,transfer,A_binary_bank,same_residence,logistic,False,logistic,,2048,"[500,1548]",True,test_person_weighted,2982,0,2982,2,"[0,1]",True,334141.0,"[660,2322]","[69119.0,265022.0]","[0.20685578842464708,0.793144211575353]",True,True,"[true,true]",0.5097338457829059,1e-12,0.793144211575353,0.5,0.5,0.5725405186396677,0.5725405186396677,0.5725405186396677
0,transfer,A_binary_bank,same_residence,mlp,True,mlp,,2048,"[500,1548]",True,validation,2984,0,2984,2,"[0,1]",False,2984.0,"[700,2284]","[700.0,2284.0]","[0.23458445040214476,0.7654155495978552]",True,True,"[true,true]",0.5319189059208965,1e-12,0.7670911528150134,0.5050575431573681,0.5050575431573681,0.6149021140855642,0.6149021140855642,0.6149021140855642
0,transfer,A_binary_bank,same_residence,mlp,True,mlp,,2048,"[500,1548]",True,test,2982,0,2982,2,"[0,1]",False,2982.0,"[660,2322]","[660.0,2322.0]","[0.22132796780684105,0.778672032193159]",True,True,"[true,true]",0.520706787626603,1e-12,0.7806841046277666,0.5067144311330358,0.5067144311330358,0.5988019732205778,0.5988018100905698,0.5988018100905698
0,transfer,A_binary_bank,same_residence,mlp,True,mlp,,2048,"[500,1548]",True,test_person_weighted,2982,0,2982,2,"[0,1]",True,334141.0,"[660,2322]","[69119.0,265022.0]","[0.20685578842464708,0.793144211575353]",True,True,"[true,true]",0.5013768734768935,1e-12,0.7952690630602052,0.5066867765637548,0.5066867765637548,0.6053239508730484,0.60532383550873,0.60532383550873
0,transfer,A_binary_bank,commute_over20,logistic,False,logistic,,2048,"[997,1051]",True,validation,1984,1000,1984,2,"[0,1]",False,1984.0,"[1009,975]","[1009.0,975.0]","[0.5085685483870968,0.49143145161290325]",True,True,"[true,true]",0.6751214941133827,1e-12,0.5725806451612904,0.5733018220629718,0.5733018220629718,0.6013209321237071,0.6013209321237072,0.6013209321237072
0,transfer,A_binary_bank,commute_over20,logistic,False,logistic,,2048,"[997,1051]",True,test,1971,1011,1971,2,"[0,1]",False,1971.0,"[959,1012]","[959.0,1012.0]","[0.4865550481988838,0.5134449518011162]",True,True,"[true,true]",0.683963881099383,1e-12,0.5616438356164384,0.559879465187304,0.559879465187304,0.5716902900336731,0.5716902900336731,0.5716902900336731
0,transfer,A_binary_bank,commute_over20,logistic,False,logistic,,2048,"[997,1051]",True,test_person_weighted,1971,1011,1971,2,"[0,1]",True,226551.0,"[959,1012]","[110010.0,116541.0]","[0.48558602698730086,0.5144139730126991]",True,True,"[true,true]",0.685328365500867,1e-12,0.5571460730696399,0.5552190610369723,0.5552190610369723,0.567761662136956,0.567761662136956,0.567761662136956
0,transfer,A_binary_bank,commute_over20,mlp,True,mlp,,2048,"[997,1051]",True,validation,1984,1000,1984,2,"[0,1]",False,1984.0,"[1009,975]","[1009.0,975.0]","[0.5085685483870968,0.49143145161290325]",True,True,"[true,true]",0.6736423441246293,1e-12,0.5695564516129032,0.5707260298340575,0.5707260298340575,0.6000523493685039,0.6000523493685039,0.6000523493685039
