seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,selected_epoch,selected_optimizer_steps,optimizer_steps,boosting_iterations,training_row_exposures,row_exposure_min,row_exposure_max,initialization_seed,schedule_seed,schedule_hash,restart_index,restart_seed_offset,fit_runtime_seconds,fallback_reason,warnings,parameters,checkpoint_criterion,selection,audit_kind,provided_attacker_fit_rows,provided_attacker_fit_support,preprocessing,preprocessing_fit_rows,initial_fidelity_exact,inherited_fit_pool,inherited_fit_rows,inherited_fit_coverage,inherited_common_warm_adversary_optimizer_steps,inherited_common_warm_adversary_row_exposures,inherited_continuation_adversary_optimizer_steps,inherited_continuation_adversary_row_exposures,inherited_total_optimizer_steps,inherited_total_row_exposures,inherited_total_row_passes_equivalent,inherited_total_known_label_exposures,inherited_continuation_schedule_hash,inherited_fit_raw_row_sha256,inherited_training_label_sha256
0,transfer,C_bottleneck,same_residence,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[500,1548]",True,False,,,13,,,,,,,,,,0.005019917036406696,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,transfer,C_bottleneck,same_residence,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[500,1548]",True,False,40,320,320,,81920,40,40,1250000,1950000,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,,,0.08700845798011869,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,transfer,C_bottleneck,commute_over20,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[997,1051]",True,False,,,9,,,,,,,,,,0.0023406670661643147,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,15,120,320,,81920,40,40,1250001,1950001,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,,,0.07905133301392198,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,,,16,,,,,,,,,,0.0028439159505069256,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,20,160,320,,81920,40,40,1250002,1950002,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,,,0.08598245901521295,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,transfer,C_bottleneck,civilian_at_work,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[665,1383]",True,False,,,12,,,,,,,,,,0.0028106248937547207,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,20,160,320,,81920,40,40,1250003,1950003,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,,,0.08197962492704391,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,,,15,,,,,,,,,,0.0032316669821739197,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,15,120,320,,81920,40,40,1250004,1950004,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,,,0.08103445800952613,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
