seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,transfer,C_bottleneck,same_residence,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[500,1548]",True,False,validation,0,700,700.0,0.23458445040214476,124,124.0,0.4032258064516129,0.07142857142857142,0.12135922330097088,0.6429287590693018,True,True,,500,True
0,transfer,C_bottleneck,same_residence,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[500,1548]",True,False,validation,1,2284,2284.0,0.7654155495978552,2860,2860.0,0.7727272727272727,0.967600700525394,0.859253499222395,0.642928759069302,True,True,,1548,True
0,transfer,C_bottleneck,same_residence,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[500,1548]",True,False,development_evaluation,0,660,660.0,0.22132796780684105,130,130.0,0.4230769230769231,0.08333333333333333,0.13924050632911392,0.6542061441286248,True,True,,500,True
0,transfer,C_bottleneck,same_residence,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[500,1548]",True,False,development_evaluation,1,2322,2322.0,0.778672032193159,2852,2852.0,0.7878681626928471,0.9677002583979328,0.8685736374178585,0.6542061441286248,True,True,,1548,True
0,transfer,C_bottleneck,same_residence,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[500,1548]",True,False,validation_person_weighted,0,700,71960.0,0.20655013060076352,124,11680.0,0.3471746575342466,0.05635075041689828,0.09696317551410809,0.6434684104730293,True,True,,500,True
0,transfer,C_bottleneck,same_residence,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[500,1548]",True,False,validation_person_weighted,1,2284,276430.0,0.7934498693992365,2860,336710.0,0.7983279379881797,0.9724161632239626,0.8768144306357438,0.6434684104730293,True,True,,1548,True
0,transfer,C_bottleneck,same_residence,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[500,1548]",True,False,development_evaluation_person_weighted,0,660,69119.0,0.20685578842464708,130,12203.0,0.3958862574776694,0.06989395101202274,0.11881163768721871,0.6547804387171939,True,True,,500,True
0,transfer,C_bottleneck,same_residence,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[500,1548]",True,False,development_evaluation_person_weighted,1,2322,265022.0,0.793144211575353,2852,321938.0,0.8003093763395437,0.9721834413746784,0.8779133160692381,0.6547804387171939,True,True,,1548,True
0,transfer,C_bottleneck,same_residence,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[500,1548]",True,False,validation,0,700,700.0,0.23458445040214476,218,218.0,0.481651376146789,0.15,0.22875816993464052,0.6812080935701775,True,True,,500,True
0,transfer,C_bottleneck,same_residence,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[500,1548]",True,False,validation,1,2284,2284.0,0.7654155495978552,2766,2766.0,0.7848879248011569,0.9505253940455342,0.8598019801980198,0.6812080935701775,True,True,,1548,True
0,transfer,C_bottleneck,same_residence,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[500,1548]",True,False,development_evaluation,0,660,660.0,0.22132796780684105,213,213.0,0.49765258215962443,0.1606060606060606,0.24284077892325315,0.68659919609532,True,True,,500,True
0,transfer,C_bottleneck,same_residence,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[500,1548]",True,False,development_evaluation,1,2322,2322.0,0.778672032193159,2769,2769.0,0.7999277717587576,0.9539190353143842,0.8701630328029857,0.6865995223553363,True,True,,1548,True
0,transfer,C_bottleneck,same_residence,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[500,1548]",True,False,validation_person_weighted,0,700,71960.0,0.20655013060076352,218,19480.0,0.45713552361396304,0.12374930516953864,0.19477252843394577,0.6877019657465852,True,True,,500,True
0,transfer,C_bottleneck,same_residence,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[500,1548]",True,False,validation_person_weighted,1,2284,276430.0,0.7934498693992365,2766,328910.0,0.8082910218600833,0.9617443837499547,0.878365877027786,0.6877019657465852,True,True,,1548,True
0,transfer,C_bottleneck,same_residence,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[500,1548]",True,False,development_evaluation_person_weighted,0,660,69119.0,0.20685578842464708,213,18319.0,0.5126917408155467,0.1358815955091943,0.21482650563828085,0.6894598723998697,True,True,,500,True
0,transfer,C_bottleneck,same_residence,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[500,1548]",True,False,development_evaluation_person_weighted,1,2322,265022.0,0.793144211575353,2769,315822.0,0.8108839789501682,0.9663160039543887,0.8818030314507854,0.6894599822914458,True,True,,1548,True
0,transfer,C_bottleneck,commute_over20,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[997,1051]",True,False,validation,0,1009,1009.0,0.5085685483870968,820,820.0,0.5939024390243902,0.48265609514370666,0.5325314379442319,0.6052628903966862,True,True,,997,True
0,transfer,C_bottleneck,commute_over20,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[997,1051]",True,False,validation,1,975,975.0,0.49143145161290325,1164,1164.0,0.5515463917525774,0.6584615384615384,0.6002805049088359,0.6052628903966862,True,True,,1051,True
0,transfer,C_bottleneck,commute_over20,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[997,1051]",True,False,development_evaluation,0,959,959.0,0.4865550481988838,724,724.0,0.5593922651933702,0.42231491136600624,0.48128342245989303,0.5695172013007621,True,True,,997,True
0,transfer,C_bottleneck,commute_over20,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[997,1051]",True,False,development_evaluation,1,1012,1012.0,0.5134449518011162,1247,1247.0,0.5557337610264635,0.6847826086956522,0.6135458167330677,0.569517201300762,True,True,,1051,True
0,transfer,C_bottleneck,commute_over20,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[997,1051]",True,False,validation_person_weighted,0,1009,118499.0,0.5069931416298362,820,97409.0,0.5916188442546376,0.48632477911206,0.5338292235581822,0.6064423432607332,True,True,,997,True
0,transfer,C_bottleneck,commute_over20,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[997,1051]",True,False,validation_person_weighted,1,975,115230.0,0.4930068583701637,1164,136320.0,0.5534771126760564,0.6547774017183026,0.5998807394156231,0.6064423432607333,True,True,,1051,True
0,transfer,C_bottleneck,commute_over20,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[997,1051]",True,False,development_evaluation_person_weighted,0,959,110010.0,0.48558602698730086,724,81073.0,0.5664771255535135,0.41747113898736476,0.48069163661864217,0.575598993618075,True,True,,997,True
0,transfer,C_bottleneck,commute_over20,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[997,1051]",True,False,development_evaluation_person_weighted,1,1012,116541.0,0.5144139730126991,1247,145478.0,0.5594935316680185,0.6984151500330356,0.6212831893870292,0.5755989936180749,True,True,,1051,True
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,validation,0,1009,1009.0,0.5085685483870968,882,882.0,0.5850340136054422,0.5113974231912785,0.5457429931253305,0.6005219689461514,True,True,,997,True
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,validation,1,975,975.0,0.49143145161290325,1102,1102.0,0.5526315789473685,0.6246153846153846,0.5864227250842562,0.6005219689461513,True,True,,1051,True
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,development_evaluation,0,959,959.0,0.4865550481988838,778,778.0,0.5488431876606684,0.44525547445255476,0.4916522740356937,0.5690947421350467,True,True,,997,True
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,development_evaluation,1,1012,1012.0,0.5134449518011162,1193,1193.0,0.5540653813914501,0.6531620553359684,0.5995464852607709,0.5690947421350467,True,True,,1051,True
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,validation_person_weighted,0,1009,118499.0,0.5069931416298362,882,104120.0,0.5886765270841336,0.5172448712647364,0.5506538076264829,0.6038865916196924,True,True,,997,True
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,validation_person_weighted,1,975,115230.0,0.4930068583701637,1102,129609.0,0.5586263299616538,0.6283346350776707,0.5914335542948631,0.6038865916196924,True,True,,1051,True
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,development_evaluation_person_weighted,0,959,110010.0,0.48558602698730086,778,88719.0,0.5575243183534531,0.44962276156713027,0.49779347754982917,0.5698490642545642,True,True,,997,True
0,transfer,C_bottleneck,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,development_evaluation_person_weighted,1,1012,116541.0,0.5144139730126991,1193,137832.0,0.5607188461315225,0.6631571721540059,0.6076509692459499,0.5698490642545642,True,True,,1051,True
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,validation,0,2434,2434.0,0.8156836461126006,2515,2515.0,0.9057654075546719,0.9359079704190633,0.920590018185492,0.905685366400239,True,True,,1652,True
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,validation,1,550,550.0,0.18431635388739948,469,469.0,0.6673773987206824,0.5690909090909091,0.6143277723258096,0.905685366400239,True,True,,396,True
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,development_evaluation,0,2439,2439.0,0.817907444668008,2556,2556.0,0.897887323943662,0.940959409594096,0.918918918918919,0.8962576366095153,True,True,,1652,True
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,development_evaluation,1,543,543.0,0.18209255533199195,426,426.0,0.6619718309859155,0.5193370165745856,0.5820433436532507,0.8962576366095152,True,True,,396,True
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,validation_person_weighted,0,2434,288007.0,0.8266798702603404,2515,300585.0,0.906389207711629,0.9459735353654599,0.925758420094055,0.909594321626726,True,True,,1652,True
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,validation_person_weighted,1,550,60383.0,0.17332012973965957,469,47805.0,0.6745110344106265,0.5340079161353362,0.5960919880208526,0.9095943216267259,True,True,,396,True
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,development_evaluation_person_weighted,0,2439,273575.0,0.8187411900963965,2556,288776.0,0.8923075324819237,0.9418879649090743,0.9164276403882984,0.8879119911356536,True,True,,1652,True
0,transfer,C_bottleneck,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,development_evaluation_person_weighted,1,543,60566.0,0.18125880990360357,426,45365.0,0.6495536206326463,0.4865270944094046,0.5563432800596615,0.8879119911356536,True,True,,396,True
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,validation,0,2434,2434.0,0.8156836461126006,2493,2493.0,0.9053349378259126,0.9272801972062449,0.9161761721128475,0.9017225666691567,True,True,,1652,True
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,validation,1,550,550.0,0.18431635388739948,491,491.0,0.639511201629328,0.5709090909090909,0.6032660902977905,0.9017221931724807,True,True,,396,True
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,development_evaluation,0,2439,2439.0,0.817907444668008,2511,2511.0,0.9052170450019913,0.931939319393194,0.9183838383838384,0.8925683547811537,True,True,,1652,True
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,development_evaluation,1,543,543.0,0.18209255533199195,471,471.0,0.6475583864118896,0.5616942909760589,0.6015779092702169,0.8925675997091462,True,True,,396,True
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,validation_person_weighted,0,2434,288007.0,0.8266798702603404,2493,297499.0,0.9084904487073906,0.9384320519987361,0.923218549425625,0.9068177063716111,True,True,,1652,True
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,validation_person_weighted,1,550,60383.0,0.17332012973965957,491,50891.0,0.6515690397123264,0.5491446267989335,0.5959882811797904,0.9068175769060607,True,True,,396,True
0,transfer,C_bottleneck,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,development_evaluation_person_weighted,0,2439,273575.0,0.8187411900963965,2511,282762.0,0.8986214554996782,0.9287983185598099,0.9134607261426078,0.8827593062234462,True,True,,1652,True
