comparison,left,right,role,view,target,audit_budget,scope,historical_scope,historical_actual_audit_budget,split,causal_replacement,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary,signed_gain_difference_mean
contextual_learned_minus_historical,F_I,E_pca,utility,A,same_residence,,utility,primary,,validation,False,3,3,True,0.021609062014722975,0.007723297857999872,0.021609062014722975,0.007723297857999872,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,same_residence,,utility,primary,,validation,False,3,3,True,0.02018945509776719,0.005945145606602074,0.02018945509776719,0.005945145606602074,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,same_residence,,utility,primary,,validation,False,3,3,True,0.02450896492507885,0.007836166432403606,0.02450896492507885,0.007836166432403606,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,same_residence,,utility,primary,,validation,False,3,3,True,0.037056879589092984,0.0057817028832045135,0.037056879589092984,0.0057817028832045135,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,same_residence,,utility,primary,,validation,False,3,3,True,0.0373619803662425,0.005730911768196984,0.0373619803662425,0.005730911768196984,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,same_residence,,utility,primary,,validation,False,3,3,True,0.03709874231090712,0.00571190186428443,0.03709874231090712,0.00571190186428443,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation,False,3,3,True,0.024221344108742177,0.013997836824543065,0.024221344108742177,0.013997836824543065,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation,False,3,3,True,0.02619518094678956,0.009247201628274717,0.02619518094678956,0.009247201628274717,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation,False,3,3,True,0.0300150017352544,0.012872800360189804,0.0300150017352544,0.012872800360189804,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation,False,3,3,True,0.04326558839647462,0.008265978757429944,0.04326558839647462,0.008265978757429944,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation,False,3,3,True,0.04355521671303927,0.008390390860396123,0.04355521671303927,0.008390390860396123,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation,False,3,3,True,0.04366491338458948,0.008110637343850662,0.04366491338458948,0.008110637343850662,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,same_residence,,utility,primary,,validation_person_weighted,False,3,3,True,0.021957584920592188,0.007128912985168271,0.021957584920592188,0.007128912985168271,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,same_residence,,utility,primary,,validation_person_weighted,False,3,3,True,0.020339031927793128,0.004692679315653981,0.020339031927793128,0.004692679315653981,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,same_residence,,utility,primary,,validation_person_weighted,False,3,3,True,0.02393432077114623,0.007790976588318102,0.02393432077114623,0.007790976588318102,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,same_residence,,utility,primary,,validation_person_weighted,False,3,3,True,0.037246734729414664,0.0036296117630277335,0.037246734729414664,0.0036296117630277335,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,same_residence,,utility,primary,,validation_person_weighted,False,3,3,True,0.03755191777273864,0.0034379405732715878,0.03755191777273864,0.0034379405732715878,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,same_residence,,utility,primary,,validation_person_weighted,False,3,3,True,0.037363742905057264,0.003409541133653549,0.037363742905057264,0.003409541133653549,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.024537273407809108,0.016615793388746993,0.024537273407809108,0.016615793388746993,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.027628447902904307,0.010643523435505993,0.027628447902904307,0.010643523435505993,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.02890727246786486,0.013491130152574507,0.02890727246786486,0.013491130152574507,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.04010942224874218,0.00604742673211329,0.04010942224874218,0.00604742673211329,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.04041359105650566,0.006211983270748865,0.04041359105650566,0.006211983270748865,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.04032712053870058,0.006075221843107507,0.04032712053870058,0.006075221843107507,3,True,False,
