condition,view,target,split,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary
I,A,income_binary,source_validation,3,3,True,0.7158887044555565,0.011207452035448382,0.7158887044555565,0.011207452035448382,3,True,False
I,A,income_binary,source_validation_person_weighted,3,3,True,0.7230395759318249,0.016177911769640414,0.7230395759318249,0.016177911769640414,3,True,False
I,A,income_binary,development_evaluation,3,3,True,0.7135449919927259,0.009853327225756436,0.7135449919927259,0.009853327225756436,3,True,False
I,A,income_binary,development_evaluation_person_weighted,3,3,True,0.7223860252816495,0.014611661742054853,0.7223860252816495,0.014611661742054853,3,True,False
I,A,civilian_at_work,source_validation,3,3,True,0.6887528170372712,0.022410989591624103,0.6887528170372712,0.022410989591624103,3,True,False
I,A,civilian_at_work,source_validation_person_weighted,3,3,True,0.691399212253842,0.029077157663767245,0.691399212253842,0.029077157663767245,3,True,False
I,A,civilian_at_work,development_evaluation,3,3,True,0.6845440235236572,0.021797705152445692,0.6845440235236572,0.021797705152445692,3,True,False
I,A,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.6851760826123734,0.02689190277720633,0.6851760826123734,0.02689190277720633,3,True,False
I,B,public_coverage,source_validation,3,3,True,0.7279899318941558,0.01296770030613756,0.7279899318941558,0.01296770030613756,3,True,False
I,B,public_coverage,source_validation_person_weighted,3,3,True,0.7288894541696346,0.018041580120383195,0.7288894541696346,0.018041580120383195,3,True,False
I,B,public_coverage,development_evaluation,3,3,True,0.7285771434438527,0.01428187101886748,0.7285771434438527,0.01428187101886748,3,True,False
I,B,public_coverage,development_evaluation_person_weighted,3,3,True,0.7282294461416399,0.016814282378513287,0.7282294461416399,0.016814282378513287,3,True,False
W,A,income_binary,source_validation,3,3,True,0.29558949124971295,0.009845263297857721,0.29558949124971295,0.009845263297857721,3,True,False
W,A,income_binary,source_validation_person_weighted,3,3,True,0.2909219832822633,0.005735587964934838,0.2909219832822633,0.005735587964934838,3,True,False
W,A,income_binary,development_evaluation,3,3,True,0.2860304596544896,0.01054141495177538,0.2860304596544896,0.01054141495177538,3,True,False
W,A,income_binary,development_evaluation_person_weighted,3,3,True,0.29678940447690516,0.01426549529686481,0.29678940447690516,0.01426549529686481,3,True,False
W,A,civilian_at_work,source_validation,3,3,True,0.29826688942329516,0.01945622730131141,0.29826688942329516,0.01945622730131141,3,True,False
W,A,civilian_at_work,source_validation_person_weighted,3,3,True,0.2986026246169253,0.016659287231950405,0.2986026246169253,0.016659287231950405,3,True,False
W,A,civilian_at_work,development_evaluation,3,3,True,0.28128991045712826,0.004006532918597943,0.28128991045712826,0.004006532918597943,3,True,False
W,A,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.2712888762477314,0.011186208043534046,0.2712888762477314,0.011186208043534046,3,True,False
W,B,public_coverage,source_validation,3,3,True,0.49437835816418685,0.005398481910675078,0.49437835816418685,0.005398481910675078,3,True,False
W,B,public_coverage,source_validation_person_weighted,3,3,True,0.5072106254107677,0.013608596407318704,0.5072106254107677,0.013608596407318704,3,True,False
W,B,public_coverage,development_evaluation,3,3,True,0.5120912960762114,0.014832132640969331,0.5120912960762114,0.014832132640969331,3,True,False
W,B,public_coverage,development_evaluation_person_weighted,3,3,True,0.5211226131450151,0.014325969384372536,0.5211226131450151,0.014325969384372536,3,True,False
F_I,A,income_binary,source_validation,3,3,True,0.30447264568371263,0.006957016284088518,0.30447264568371263,0.006957016284088518,3,True,False
F_I,A,income_binary,source_validation_person_weighted,3,3,True,0.2988477925907816,0.004894713986604013,0.2988477925907816,0.004894713986604013,3,True,False
F_I,A,income_binary,development_evaluation,3,3,True,0.29760036439971216,0.013539534402389334,0.29760036439971216,0.013539534402389334,3,True,False
F_I,A,income_binary,development_evaluation_person_weighted,3,3,True,0.30893007633957964,0.015173421196323254,0.30893007633957964,0.015173421196323254,3,True,False
F_I,A,civilian_at_work,source_validation,3,3,True,0.3196280673052609,0.0241040302799584,0.3196280673052609,0.0241040302799584,3,True,False
