seed,comparison,left,right,role,target,selector,split,metric,left_candidate,right_candidate,left_value,right_value,left_minus_right
0,initialization,I,PCA16,transfer,same_residence,primary,validation,log_loss,logistic,logistic,0.5130830975549535,0.513083097901199,-3.462454767344525e-10
0,initialization,I,PCA16,transfer,same_residence,primary,validation,auroc,logistic,logistic,0.6753799724793594,0.6753799724793594,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,validation,macro_auroc,logistic,logistic,0.6753799724793594,0.6753799724793594,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,validation,accuracy,logistic,logistic,0.7657506702412868,0.7657506702412868,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,validation,balanced_accuracy,logistic,logistic,0.5215198899174381,0.5215198899174381,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,validation,observed_balanced_accuracy,logistic,logistic,0.5215198899174381,0.5215198899174381,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,validation,observed_macro_auroc,logistic,logistic,0.6753799724793594,0.6753799724793594,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,development_evaluation,log_loss,logistic,logistic,0.4962003884374288,0.49620038855197607,-1.1454726056570053e-10
0,initialization,I,PCA16,transfer,same_residence,primary,development_evaluation,auroc,logistic,logistic,0.6812733275911571,0.6812733275911571,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,development_evaluation,macro_auroc,logistic,logistic,0.6812733275911571,0.6812733275911571,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,development_evaluation,accuracy,logistic,logistic,0.7769953051643192,0.7769953051643192,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,development_evaluation,balanced_accuracy,logistic,logistic,0.5206131078224101,0.5206131078224101,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,development_evaluation,observed_balanced_accuracy,logistic,logistic,0.5206131078224101,0.5206131078224101,0.0
0,initialization,I,PCA16,transfer,same_residence,primary,development_evaluation,observed_macro_auroc,logistic,logistic,0.6812733275911571,0.6812733275911571,0.0
