seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,fit_rows,fit_support,fit_coverage_complete,optimizer_steps,selected_epoch,selected_optimizer_steps,training_row_exposures,schedule_hash,initialization_seed,schedule_seed,restart_index,parameters,fit_runtime_seconds,warnings,fallback_reason
0,transfer,PCA16,same_residence,logistic,logistic,True,True,True,False,2048,"[500,1548]",True,6,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0058342498959973454,,
0,transfer,PCA16,same_residence,mlp,mlp,False,False,True,False,2048,"[500,1548]",True,320,10,80,81920,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,1250000,1950000,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.5202088339719921,,
0,transfer,PCA16,commute_over20,logistic,logistic,False,False,True,False,2048,"[997,1051]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002735665999352932,,
0,transfer,PCA16,commute_over20,mlp,mlp,True,True,True,False,2048,"[997,1051]",True,320,15,120,81920,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,1250001,1950001,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08359949989244342,,
0,transfer,PCA16,income_binary,logistic,logistic,False,False,True,False,2048,"[1652,396]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0027690420392900705,,
0,transfer,PCA16,income_binary,mlp,mlp,True,True,True,False,2048,"[1652,396]",True,320,20,160,81920,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,1250002,1950002,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08248841692693532,,
0,transfer,PCA16,civilian_at_work,logistic,logistic,False,False,True,False,2048,"[665,1383]",True,13,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0027115000411868095,,
0,transfer,PCA16,civilian_at_work,mlp,mlp,True,True,True,False,2048,"[665,1383]",True,320,20,160,81920,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,1250003,1950003,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08089754194952548,,
0,transfer,PCA16,public_coverage,logistic,logistic,False,False,True,False,2048,"[1531,517]",True,6,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0022445840295404196,,
0,transfer,PCA16,public_coverage,mlp,mlp,True,True,True,False,2048,"[1531,517]",True,320,25,200,81920,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,1250004,1950004,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08635333296842873,,
0,audit,PCA16,SEX,logistic,logistic,False,False,True,False,2993,"[1512,1481]",True,5,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0025105419335886836,,
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,1440,20,240,359160,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,1260000,1960000,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3492467920295894,,
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,1440,20,240,359160,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1270000,1970000,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.33723037492018193,,
0,audit,PCA16,SEX,hist_gb_20,histgb,False,False,False,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.0871375419665128,,
0,audit,PCA16,SEX,hist_gb_5,histgb,False,False,True,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.08401125005912036,,
0,audit,PCA16,RAC1P,logistic,logistic,False,False,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,48,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.015865415916778147,,
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,15,180,359160,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,1260001,1960001,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.4147198749706149,,
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,20,240,359160,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1270001,1970001,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.4140475840540603,,
0,audit,PCA16,RAC1P,hist_gb_20,histgb,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.6168139999499545,,
0,audit,PCA16,RAC1P,hist_gb_5,histgb,False,False,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.6550123749766499,,
1,transfer,PCA16,same_residence,logistic,logistic,True,True,True,False,2048,"[495,1553]",True,6,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0034670840250328183,,
1,transfer,PCA16,same_residence,mlp,mlp,False,False,True,False,2048,"[495,1553]",True,320,10,80,81920,6b1e75abb198d2f7cef452ba2570f16f7049dffa1b49707bde1f5b0fb658de96,1250100,1950100,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.5329486250411719,,
1,transfer,PCA16,commute_over20,logistic,logistic,True,True,True,False,2048,"[990,1058]",True,14,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0027644169749692082,,
1,transfer,PCA16,commute_over20,mlp,mlp,False,False,True,False,2048,"[990,1058]",True,320,10,80,81920,b9823f972d06f8fabd262240445f0416f789909b1baec490b144f2dde90943f9,1250101,1950101,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08211924997158349,,
