seed,release,target,selector,split,loss_120,loss_360,rank_120,rank_360,rank_360_minus_120,rank_changed,ranking_definition
0,beta_0p1_C_warmup_only,SEX,primary,validation,0.6575388065157316,0.6575388065157316,9,9,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_D_warmup_only,SEX,primary,validation,0.6636604512511826,0.6636604512511826,11,11,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_C_persistent,SEX,primary,validation,0.6511135593664433,0.6511135593664433,5,5,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_D_persistent,SEX,primary,validation,0.6520147562902648,0.6520147562902648,6,6,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_C_warmup_only,SEX,primary,validation,0.6508818608204316,0.6508818608204316,3,3,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_D_warmup_only,SEX,primary,validation,0.6543030814735227,0.6543030814735227,8,8,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_C_persistent,SEX,primary,validation,0.6485073259638563,0.6485073259638563,1,1,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_D_persistent,SEX,primary,validation,0.6488642739946809,0.6488642739946809,2,2,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,C_init,SEX,primary,validation,0.6538122088125795,0.6538122088125795,7,7,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,D_init,SEX,primary,validation,0.6669094204915129,0.6669094204915129,12,12,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,PCA16,SEX,primary,validation,0.6509224668633202,0.6509224668633202,4,4,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,B_rich_bank,SEX,primary,validation,0.6582273670140363,0.6582273670140363,10,10,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,C_tree_bank,SEX,primary,validation,0.6708674155886433,0.6708674155886433,13,13,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_C_warmup_only,SEX,primary,development_evaluation,0.6591140323990431,0.6591140323990431,2,2,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_D_warmup_only,SEX,primary,development_evaluation,0.6644749873136757,0.6644749873136757,9,9,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_C_persistent,SEX,primary,development_evaluation,0.661303967714844,0.661303967714844,6,6,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_D_persistent,SEX,primary,development_evaluation,0.660472189647291,0.660472189647291,4,4,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_C_warmup_only,SEX,primary,development_evaluation,0.6621086176104138,0.6621086176104138,7,7,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_D_warmup_only,SEX,primary,development_evaluation,0.6678072557298373,0.6678072557298373,11,11,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_C_persistent,SEX,primary,development_evaluation,0.6600600840568848,0.6600600840568848,3,3,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_D_persistent,SEX,primary,development_evaluation,0.6606035210915451,0.6606035210915451,5,5,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,C_init,SEX,primary,development_evaluation,0.6582477031185273,0.6582477031185273,1,1,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,D_init,SEX,primary,development_evaluation,0.6670378997505024,0.6670378997505024,10,10,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,PCA16,SEX,primary,development_evaluation,0.6634489941526499,0.6634489941526499,8,8,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,B_rich_bank,SEX,primary,development_evaluation,0.6724970059391422,0.6724970059391422,12,12,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,C_tree_bank,SEX,primary,development_evaluation,0.6795421038875611,0.6795421038875611,13,13,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_C_warmup_only,SEX,primary,validation_person_weighted,0.6544952916731606,0.6544952916731606,10,10,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_D_warmup_only,SEX,primary,validation_person_weighted,0.6604471638809012,0.6604471638809012,11,11,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_C_persistent,SEX,primary,validation_person_weighted,0.6488467573437072,0.6488467573437072,5,5,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_0p1_D_persistent,SEX,primary,validation_person_weighted,0.6506147993599567,0.6506147993599567,7,7,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_C_warmup_only,SEX,primary,validation_person_weighted,0.6468895774552594,0.6468895774552594,4,4,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_D_warmup_only,SEX,primary,validation_person_weighted,0.6527825669150339,0.6527825669150339,9,9,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_C_persistent,SEX,primary,validation_person_weighted,0.6449864551514699,0.6449864551514699,1,1,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
0,beta_1_D_persistent,SEX,primary,validation_person_weighted,0.6451465980484122,0.6451465980484122,2,2,0,False,ascending attack log loss among all 13 eligible interfaces; 1 = most measured recovery
