beta,seed,release,split,rank,rank_tolerance,metric,coordinate,value
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,0,2.4387312619949683e-15
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,1,8.549901424311907e-16
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,2,2.033207913258644e-15
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,3,1.889116761161135e-15
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,4,1.9274583956275005e-15
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,5,1.8290880051832878e-15
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,6,1.5868494974278735e-15
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,7,5.004035235753742e-16
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,8,1.0688809257090039e-15
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,9,3.2557584862846724e-15
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,10,7.997626333338839e-16
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,11,7.483857568586965e-16
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,12,4.764382329323438e-15
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,13,7.974388818321129e-16
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,14,6.614398769746761e-16
beta_0p1,0,I,fit,17,1e-12,direct_per_coordinate_mse,15,1.7632634202545555e-15
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,0,1.5682763041981607e-15
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,1,7.951251692505757e-16
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,2,1.4032653917650657e-15
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,3,1.3949793459520158e-15
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,4,1.4364054658738773e-15
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,5,1.366625975864894e-15
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,6,1.254415343691752e-15
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,7,4.951229562550932e-16
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,8,8.770109540638518e-16
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,9,1.8783099735182707e-15
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,10,7.913878277837972e-16
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,11,6.376879018606186e-16
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,12,1.7024776492017047e-15
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,13,6.965641788993096e-16
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,14,6.073659607664761e-16
beta_0p1,0,I,fit,17,1e-12,affine_per_coordinate_mse,15,1.2983785888890123e-15
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,0,1.000000000000006
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,1,1.0000000000000002
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,2,0.9999999999999978
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,3,0.999999999999986
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,4,1.000000000000003
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,5,0.9999999999999908
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,6,0.999999999999999
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,7,1.0000000000000022
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,8,0.9999999999999969
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,9,0.9999999999999991
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,10,0.9999999999999928
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,11,1.0000000000000016
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,12,1.000000000000004
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,13,0.999999999999999
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,14,1.000000000000009
beta_0p1,0,I,fit,17,1e-12,prior_per_coordinate_mse,15,1.000000000000005
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,0,2.617422972223391e-15
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,1,7.980300406710011e-16
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,2,1.98454687526786e-15
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,3,2.0704857189474468e-15
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,4,1.9583366867537573e-15
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,5,1.7697236551759318e-15
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,6,1.5599642386760082e-15
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,7,5.727366155130011e-16
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,8,1.049323883581806e-15
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,9,3.3247743643256606e-15
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,10,7.620264317201114e-16
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,11,7.616007957007277e-16
beta_0p1,0,I,source_validation,17,1e-12,direct_per_coordinate_mse,12,4.541988618284906e-15
