seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,validation_auroc,validation_coverage_complete
0,transfer,beta_0p1_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,0,0,0.6202148810978626,False,,
0,transfer,beta_0p1_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,5,40,0.5235937918117074,False,,
0,transfer,beta_0p1_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,10,80,0.5095185506789383,False,,
0,transfer,beta_0p1_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,15,120,0.5081013650654158,False,,
0,transfer,beta_0p1_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,20,160,0.5074515666855557,True,,
0,transfer,beta_0p1_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,25,200,0.5085665239589159,False,,
0,transfer,beta_0p1_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,30,240,0.5108286107995139,False,,
0,transfer,beta_0p1_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,35,280,0.5152134178967747,False,,
0,transfer,beta_0p1_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,40,320,0.5193576506478544,False,,
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,0,0,0.6982992838561181,False,,
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,5,40,0.676887589544121,False,,
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,10,80,0.6753962202798248,True,,
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,15,120,0.6754141815633968,False,,
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,20,160,0.6781758207281003,False,,
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,25,200,0.6789080267582623,False,,
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,30,240,0.6820530064603546,False,,
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,35,280,0.6847830988406026,False,,
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,40,320,0.6873460570089122,False,,
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,0,0,0.7040344751790246,False,,
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,5,40,0.4043210275185108,False,,
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,10,80,0.32200622945942714,False,,
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,15,120,0.30251297205672417,False,,
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,20,160,0.29676842953611593,False,,
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,25,200,0.29584684100575626,False,,
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,30,240,0.2956458019223089,True,,
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,35,280,0.29629352107549645,False,,
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,40,320,0.2989634718806922,False,,
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,0,0,0.6828312368406623,False,,
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,5,40,0.36292532934295924,False,,
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,10,80,0.3036987734529437,False,,
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,15,120,0.3015683824259899,True,,
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,20,160,0.30286736957670557,False,,
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,25,200,0.30559558422046823,False,,
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,30,240,0.308262287776194,False,,
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,35,280,0.3102812306366738,False,,
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,40,320,0.31363887901108756,False,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,0,0,0.6336668289732225,False,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,5,40,0.49984356475109654,False,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,10,80,0.4888500663232297,False,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,15,120,0.4860944410079658,False,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,20,160,0.48545667020763966,True,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,25,200,0.48551171033908497,False,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,30,240,0.48715322199947164,False,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,35,280,0.4898775477087526,False,,
0,transfer,beta_0p1_W,public_coverage,mlp,mlp,False,False,True,True,,False,False,2048,"[1531,517]",True,40,320,0.4916834454262125,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,0,0,0.6225386991097076,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,5,40,0.5255753455832373,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,10,80,0.5101288578574478,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,15,120,0.5085378610014737,False,,
0,transfer,beta_0p1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,20,160,0.5076889245332594,False,,
