seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc
0,audit,beta_0p1_C_warmup_only,SEX,logistic,logistic,False,False,True,False,120,True,False,2993,"[1512,1481]",True,validation,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6742720263972262,1e-12,0.5651591289782244,0.5638930183479807,0.5638930183479807,0.6048396012230788,0.6048396012230788,0.6048396012230788
0,audit,beta_0p1_C_warmup_only,SEX,logistic,logistic,False,False,True,False,120,True,False,2993,"[1512,1481]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.6821025782050548,1e-12,0.556673373574782,0.5557235804274385,0.5557235804274385,0.5824353331844669,0.5824353331844669,0.5824353331844669
0,audit,beta_0p1_C_warmup_only,SEX,logistic,logistic,False,False,True,False,120,True,False,2993,"[1512,1481]",True,validation_person_weighted,2985,2,"[0,1]",True,339532.0,"[1541,1444]","[181421.0,158111.0]","[0.5343266614045216,0.4656733385954785]",True,True,"[true,true]",0.6712829164819171,1e-12,0.5724408892239907,0.5707383483883723,0.5707383483883723,0.6153937538083398,0.6153937538083398,0.6153937538083398
0,audit,beta_0p1_C_warmup_only,SEX,logistic,logistic,False,False,True,False,120,True,False,2993,"[1512,1481]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.6822035081922496,1e-12,0.5561843652829195,0.5546702554174199,0.5546702554174199,0.5807995933990056,0.5807995933990056,0.5807995933990056
0,audit,beta_0p1_C_warmup_only,SEX,hist_gb_20,histgb,False,False,False,False,120,True,False,2993,"[1512,1481]",True,validation,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6841187363536436,1e-12,0.5775544388609716,0.5770969762772312,0.5770969762772312,0.6247141835085682,0.6247141835085682,0.6247141835085682
0,audit,beta_0p1_C_warmup_only,SEX,hist_gb_20,histgb,False,False,False,False,120,True,False,2993,"[1512,1481]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.6939456314183764,1e-12,0.5687458081824279,0.5685610508042385,0.5685610508042385,0.607421241905393,0.607421241905393,0.607421241905393
0,audit,beta_0p1_C_warmup_only,SEX,hist_gb_20,histgb,False,False,False,False,120,True,False,2993,"[1512,1481]",True,validation_person_weighted,2985,2,"[0,1]",True,339532.0,"[1541,1444]","[181421.0,158111.0]","[0.5343266614045216,0.4656733385954785]",True,True,"[true,true]",0.6835166578861797,1e-12,0.5742522059776398,0.5734759047751878,0.5734759047751878,0.6200362320639211,0.6200362320639211,0.6200362320639211
0,audit,beta_0p1_C_warmup_only,SEX,hist_gb_20,histgb,False,False,False,False,120,True,False,2993,"[1512,1481]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.6949137112709353,1e-12,0.565949703867529,0.5654494183974761,0.5654494183974761,0.6006046639778677,0.6006046639778677,0.6006046639778677
0,audit,beta_0p1_C_warmup_only,SEX,hist_gb_5,histgb,False,False,True,False,120,True,False,2993,"[1512,1481]",True,validation,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6816987269933059,1e-12,0.5725293132328308,0.5726005346026701,0.5726005346026701,0.6223977666766731,0.6223977666766731,0.6223977666766731
0,audit,beta_0p1_C_warmup_only,SEX,hist_gb_5,histgb,False,False,True,False,120,True,False,2993,"[1512,1481]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.6933907762001347,1e-12,0.5637156270959088,0.564039686084119,0.564039686084119,0.6068906804872252,0.6068906804872252,0.6068906804872252
