beta,seed,release,point,source_mapper_l2,source_first_weight_l2,reconstruction_mapper_l2,reconstruction_first_weight_l2,base_mapper_l2,base_first_weight_l2,protection_mapper_l2,protection_first_weight_l2,base_loss,normalized_adversary_ce,protected_objective,protection_source_decoder_gradient_l2,protection_source_decoder_gradients_all_absent,preservation_mapper_l2,applied_preservation_mapper_l2,preservation_loss,preservation_coefficient,preservation_nonmapper_gradients_all_absent,source_coefficient,reconstruction_coefficient,protection_coefficient,applied_protection_mapper_l2,training_state_unchanged,torch_rng_unchanged,optimizer_steps
beta_0p1,0,shared,initialization,0.3163544237613678,0.05868402495980263,0.008660498075187206,0.003543108468875289,0.3162907063961029,0.05877230316400528,0.0,0.0,0.7945841550827026,0.0,0.7945841550827026,0.0,False,3.178401186687552e-08,3.1784013199143146e-09,1.5287007110073277e-15,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,0,shared,after_base_warmup,0.23967808485031128,0.14838632941246033,0.03864778205752373,0.013720844872295856,0.24649429321289062,0.14927570521831512,0.0,0.0,0.36782339215278625,0.0,0.36782339215278625,0.0,False,0.7394090294837952,0.07394091039896011,0.20630519092082977,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,0,shared,shared_fork,0.23967808485031128,0.14838632941246033,0.03864778205752373,0.013720844872295856,0.24649429321289062,0.14927570521831512,0.031991343945264816,0.014297330752015114,0.36782339215278625,0.9136892557144165,0.27645444869995117,0.0,True,0.7394090294837952,0.07394091039896011,0.20630519092082977,0.1,True,1.0,0.1,-0.1,0.031991343945264816,True,True,0
beta_0p1,0,beta_0p1_C_warmup_only,shared_fork,0.23967808485031128,0.14838632941246033,0.03864778205752373,0.013720844872295856,0.24649429321289062,0.14927570521831512,0.031991343945264816,0.014297330752015114,0.36782339215278625,0.9136892557144165,0.27645444869995117,0.0,True,0.7394090294837952,0.0,0.20630519092082977,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,0,beta_0p1_C_warmup_only,final,0.3332839012145996,0.2272934466600418,0.01919575221836567,0.006382339168339968,0.33517807722091675,0.22719013690948486,0.08224667608737946,0.03668826073408127,0.31737279891967773,0.8470937013626099,0.23266342282295227,0.0,True,3.3528075218200684,0.0,1.2665486335754395,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,0,beta_0p1_D_warmup_only,shared_fork,0.23967808485031128,0.14838632941246033,0.03864778205752373,0.013720844872295856,0.24649429321289062,0.14927570521831512,0.031991343945264816,0.014297330752015114,0.36782339215278625,0.9136892557144165,0.27645444869995117,0.0,True,0.7394090294837952,0.0,0.20630519092082977,0.0,True,1.0,0.1,-0.1,0.031991343945264816,True,True,0
beta_0p1,0,beta_0p1_D_warmup_only,final,0.32986950874328613,0.2279997318983078,0.024579674005508423,0.007416276726871729,0.3319338262081146,0.22791698575019836,0.07700487226247787,0.032834455370903015,0.31815510988235474,0.8725517392158508,0.23089993000030518,0.0,True,4.374959468841553,0.0,1.6106364727020264,0.0,True,1.0,0.1,-0.1,0.07700487226247787,True,True,0
beta_0p1,0,beta_0p1_C_persistent,shared_fork,0.23967808485031128,0.14838632941246033,0.03864778205752373,0.013720844872295856,0.24649429321289062,0.14927570521831512,0.031991343945264816,0.014297330752015114,0.36782339215278625,0.9136892557144165,0.27645444869995117,0.0,True,0.7394090294837952,0.07394091039896011,0.20630519092082977,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,0,beta_0p1_C_persistent,final,0.35369783639907837,0.22760546207427979,0.07249115407466888,0.01714583858847618,0.36665716767311096,0.22651299834251404,0.08695285767316818,0.037282928824424744,0.33057305216789246,0.8310425877571106,0.24746879935264587,0.0,True,0.6658497452735901,0.06658496707677841,0.1607697755098343,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,0,beta_0p1_D_persistent,shared_fork,0.23967808485031128,0.14838632941246033,0.03864778205752373,0.013720844872295856,0.24649429321289062,0.14927570521831512,0.031991343945264816,0.014297330752015114,0.36782339215278625,0.9136892557144165,0.27645444869995117,0.0,True,0.7394090294837952,0.07394091039896011,0.20630519092082977,0.1,True,1.0,0.1,-0.1,0.031991343945264816,True,True,0
beta_0p1,0,beta_0p1_D_persistent,final,0.3499647080898285,0.2277429699897766,0.07965981960296631,0.018031179904937744,0.36503976583480835,0.22686545550823212,0.08470401912927628,0.03400469943881035,0.32964032888412476,0.8396745920181274,0.24567286670207977,0.0,True,0.6580496430397034,0.06580495834350586,0.16397042572498322,0.1,True,1.0,0.1,-0.1,0.08470401912927628,True,True,0
beta_0p1,1,shared,initialization,0.28667014837265015,0.059842098504304886,0.008062081411480904,0.0035573283676058054,0.2865167558193207,0.059599366039037704,0.0,0.0,0.8089811205863953,0.0,0.8089811205863953,0.0,False,2.9076639762593004e-08,2.9076638874414584e-09,1.4696623028254661e-15,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,1,shared,after_base_warmup,0.24504989385604858,0.15146119892597198,0.047252196818590164,0.015924545004963875,0.24892407655715942,0.15220215916633606,0.0,0.0,0.37265777587890625,0.0,0.37265777587890625,0.0,False,0.6806554794311523,0.06806554645299911,0.20232443511486053,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,1,shared,shared_fork,0.24504989385604858,0.15146119892597198,0.047252196818590164,0.015924545004963875,0.24892407655715942,0.15220215916633606,0.056255463510751724,0.01711435616016388,0.37265777587890625,0.9249204397201538,0.28016573190689087,0.0,True,0.6806554794311523,0.06806554645299911,0.20232443511486053,0.1,True,1.0,0.1,-0.1,0.056255463510751724,True,True,0
beta_0p1,1,beta_0p1_C_warmup_only,shared_fork,0.24504989385604858,0.15146119892597198,0.047252196818590164,0.015924545004963875,0.24892407655715942,0.15220215916633606,0.056255463510751724,0.01711435616016388,0.37265777587890625,0.9249204397201538,0.28016573190689087,0.0,True,0.6806554794311523,0.0,0.20232443511486053,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,1,beta_0p1_C_warmup_only,final,0.3296140432357788,0.2508178949356079,0.023214470595121384,0.008381332270801067,0.3302023708820343,0.25085848569869995,0.0867309421300888,0.040144577622413635,0.335997074842453,0.8266004323959351,0.253337025642395,0.0,True,4.187836647033691,0.0,1.4492197036743164,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,1,beta_0p1_D_warmup_only,shared_fork,0.24504989385604858,0.15146119892597198,0.047252196818590164,0.015924545004963875,0.24892407655715942,0.15220215916633606,0.056255463510751724,0.01711435616016388,0.37265777587890625,0.9249204397201538,0.28016573190689087,0.0,True,0.6806554794311523,0.0,0.20232443511486053,0.0,True,1.0,0.1,-0.1,0.056255463510751724,True,True,0
