seed,comparison,left,right,role,target,selector,split,metric,left_candidate,right_candidate,left_value,right_value,left_minus_right
0,historical_warmup,W_historical,I,transfer,same_residence,primary,validation,log_loss,mlp,logistic,0.5113823930641552,0.5130830975549535,-0.0017007044907982882
0,historical_warmup,W_historical,I,transfer,same_residence,primary,development_evaluation,log_loss,mlp,logistic,0.49993977892189057,0.4962003884374288,0.0037393904844617576
0,historical_warmup,W_historical,I,transfer,same_residence,primary,validation_person_weighted,log_loss,mlp,logistic,0.4708177517840232,0.48001782688773353,-0.009200075103710348
0,historical_warmup,W_historical,I,transfer,same_residence,primary,development_evaluation_person_weighted,log_loss,mlp,logistic,0.48107597592669976,0.48496946857779744,-0.003893492651097674
0,historical_warmup,W_historical,I,transfer,same_residence,family:logistic,validation,log_loss,logistic,logistic,0.5207535338815036,0.5130830975549535,0.0076704363265500675
0,historical_warmup,W_historical,I,transfer,same_residence,family:logistic,development_evaluation,log_loss,logistic,logistic,0.5176594446552699,0.4962003884374288,0.02145905621784111
0,historical_warmup,W_historical,I,transfer,same_residence,family:logistic,validation_person_weighted,log_loss,logistic,logistic,0.4842898183138943,0.48001782688773353,0.004271991426160748
0,historical_warmup,W_historical,I,transfer,same_residence,family:logistic,development_evaluation_person_weighted,log_loss,logistic,logistic,0.49933431249763943,0.48496946857779744,0.014364843919841996
0,historical_warmup,W_historical,I,transfer,same_residence,family:mlp,validation,log_loss,mlp,mlp,0.5113823930641552,0.5152488683337947,-0.0038664752696394578
0,historical_warmup,W_historical,I,transfer,same_residence,family:mlp,development_evaluation,log_loss,mlp,mlp,0.49993977892189057,0.4981399717590001,0.0017998071628904655
0,historical_warmup,W_historical,I,transfer,same_residence,family:mlp,validation_person_weighted,log_loss,mlp,mlp,0.4708177517840232,0.4823905035593601,-0.011572751775336898
0,historical_warmup,W_historical,I,transfer,same_residence,family:mlp,development_evaluation_person_weighted,log_loss,mlp,mlp,0.48107597592669976,0.4871744255592985,-0.006098449632598757
0,historical_warmup,W_historical,I,transfer,commute_over20,primary,validation,log_loss,logistic,mlp,0.6741174911895543,0.6808750842154714,-0.0067575930259170525
0,historical_warmup,W_historical,I,transfer,commute_over20,primary,development_evaluation,log_loss,logistic,mlp,0.6890228210217564,0.6895052151132907,-0.00048239409153427726
0,historical_warmup,W_historical,I,transfer,commute_over20,primary,validation_person_weighted,log_loss,logistic,mlp,0.6756655553129451,0.6784161601652429,-0.0027506048522977222
0,historical_warmup,W_historical,I,transfer,commute_over20,primary,development_evaluation_person_weighted,log_loss,logistic,mlp,0.6881838362628848,0.688463961479279,-0.0002801252163942003
0,historical_warmup,W_historical,I,transfer,commute_over20,family:logistic,validation,log_loss,logistic,logistic,0.6741174911895543,0.682406213293728,-0.00828872210417364
0,historical_warmup,W_historical,I,transfer,commute_over20,family:logistic,development_evaluation,log_loss,logistic,logistic,0.6890228210217564,0.6895007677728834,-0.0004779467511270008
0,historical_warmup,W_historical,I,transfer,commute_over20,family:logistic,validation_person_weighted,log_loss,logistic,logistic,0.6756655553129451,0.6810246502284791,-0.005359094915533991
0,historical_warmup,W_historical,I,transfer,commute_over20,family:logistic,development_evaluation_person_weighted,log_loss,logistic,logistic,0.6881838362628848,0.6905520863548475,-0.0023682500919627314
