beta,seed,release,split,rank,rank_tolerance,rows,direct_mean_mse,affine_mean_mse,prior_mean_mse
beta_0p1,0,I,fit,17,1e-12,10513,1.6824473632019653e-15,1.1377124367396517e-15,0.9999999999999997
beta_0p1,0,I,source_validation,17,1e-12,3004,1.6764472574268818e-15,1.1361567386149593e-15,0.9994813868876536
beta_0p1,0,I,development_evaluation,17,1e-12,2982,1.6589710360905217e-15,1.1308829931721564e-15,1.008078499618399
beta_0p1,0,beta_0p1_W,fit,17,1e-12,10513,0.2166472201100576,0.10512438107211725,0.9999999999999997
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,3004,0.21888360771477375,0.10693974774695922,0.9994813868876536
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,2982,0.22382388591961322,0.1080965764961486,1.008078499618399
beta_0p1,0,beta_0p1_C_warmup_only,fit,17,1e-12,10513,1.360031322586273,0.3375552200366973,0.9999999999999997
beta_0p1,0,beta_0p1_C_warmup_only,source_validation,17,1e-12,3004,1.3563892033803033,0.3399742136473612,0.9994813868876536
beta_0p1,0,beta_0p1_C_warmup_only,development_evaluation,17,1e-12,2982,1.4285657245563756,0.3489715578945256,1.008078499618399
beta_0p1,0,beta_0p1_D_warmup_only,fit,17,1e-12,10513,1.7083973859284065,0.39394514803247144,0.9999999999999997
beta_0p1,0,beta_0p1_D_warmup_only,source_validation,17,1e-12,3004,1.7037381872169686,0.396677960947515,0.9994813868876536
beta_0p1,0,beta_0p1_D_warmup_only,development_evaluation,17,1e-12,2982,1.778988112072419,0.40419152285803606,1.008078499618399
beta_0p1,0,beta_0p1_C_persistent,fit,17,1e-12,10513,0.16758359078783075,0.11844910331060048,0.9999999999999997
beta_0p1,0,beta_0p1_C_persistent,source_validation,17,1e-12,3004,0.1709580020055356,0.1211036803077549,0.9994813868876536
beta_0p1,0,beta_0p1_C_persistent,development_evaluation,17,1e-12,2982,0.17448286938503782,0.12157156064956981,1.008078499618399
beta_0p1,0,beta_0p1_D_persistent,fit,17,1e-12,10513,0.17017574068513958,0.12191658100967809,0.9999999999999997
beta_0p1,0,beta_0p1_D_persistent,source_validation,17,1e-12,3004,0.17367230390352165,0.12479161270400758,0.9994813868876536
beta_0p1,0,beta_0p1_D_persistent,development_evaluation,17,1e-12,2982,0.17748973466025045,0.12556949773553713,1.008078499618399
beta_0p1,1,I,fit,17,1e-12,10428,1.4087071620221498e-15,9.97882411202977e-16,0.9999999999999988
beta_0p1,1,I,source_validation,17,1e-12,3010,1.3674521777602266e-15,9.821643263466832e-16,0.9873457505540115
beta_0p1,1,I,development_evaluation,17,1e-12,3015,1.375706693754174e-15,9.802474903090258e-16,0.9774213066931422
beta_0p1,1,beta_0p1_W,fit,17,1e-12,10428,0.21944717972196934,0.10477619045096787,0.9999999999999988
beta_0p1,1,beta_0p1_W,source_validation,17,1e-12,3010,0.21855955494949494,0.10379072098161088,0.9873457505540115
beta_0p1,1,beta_0p1_W,development_evaluation,17,1e-12,3015,0.21130204800742333,0.10117239168551705,0.9774213066931422
beta_0p1,1,beta_0p1_C_warmup_only,fit,17,1e-12,10428,1.4338510298429323,0.33739538270226804,0.9999999999999988
beta_0p1,1,beta_0p1_C_warmup_only,source_validation,17,1e-12,3010,1.412678949075372,0.33480012635685624,0.9873457505540115
beta_0p1,1,beta_0p1_C_warmup_only,development_evaluation,17,1e-12,3015,1.4035564817208142,0.33031517292483514,0.9774213066931422
beta_0p1,1,beta_0p1_D_warmup_only,fit,17,1e-12,10428,2.126023657018758,0.3958774767562589,0.9999999999999988
beta_0p1,1,beta_0p1_D_warmup_only,source_validation,17,1e-12,3010,2.0998112481772893,0.3940552357193148,0.9873457505540115
beta_0p1,1,beta_0p1_D_warmup_only,development_evaluation,17,1e-12,3015,2.0870217613114526,0.3897008687998486,0.9774213066931422
beta_0p1,1,beta_0p1_C_persistent,fit,17,1e-12,10428,0.1706666739507029,0.11596241345585565,0.9999999999999988
