release,label,n_declared_seeds,unweighted_source_all_pass,unweighted_source_all_defined,unweighted_residence_half_pass,unweighted_worst_source_delta,unweighted_same_residence_n_seeds,unweighted_same_residence_n_defined,unweighted_same_residence_complete,unweighted_same_residence_mean,unweighted_same_residence_sample_sd,unweighted_commute_over20_n_seeds,unweighted_commute_over20_n_defined,unweighted_commute_over20_complete,unweighted_commute_over20_mean,unweighted_commute_over20_sample_sd,unweighted_income_binary_n_seeds,unweighted_income_binary_n_defined,unweighted_income_binary_complete,unweighted_income_binary_mean,unweighted_income_binary_sample_sd,unweighted_civilian_at_work_n_seeds,unweighted_civilian_at_work_n_defined,unweighted_civilian_at_work_complete,unweighted_civilian_at_work_mean,unweighted_civilian_at_work_sample_sd,unweighted_public_coverage_n_seeds,unweighted_public_coverage_n_defined,unweighted_public_coverage_complete,unweighted_public_coverage_mean,unweighted_public_coverage_sample_sd,unweighted_SEX_primary_gain_n_seeds,unweighted_SEX_primary_gain_n_defined,unweighted_SEX_primary_gain_complete,unweighted_SEX_primary_gain_mean,unweighted_SEX_primary_gain_sample_sd,unweighted_SEX_catchup_inclusive_gain_n_seeds,unweighted_SEX_catchup_inclusive_gain_n_defined,unweighted_SEX_catchup_inclusive_gain_complete,unweighted_SEX_catchup_inclusive_gain_mean,unweighted_SEX_catchup_inclusive_gain_sample_sd,unweighted_RAC1P_primary_gain_n_seeds,unweighted_RAC1P_primary_gain_n_defined,unweighted_RAC1P_primary_gain_complete,unweighted_RAC1P_primary_gain_mean,unweighted_RAC1P_primary_gain_sample_sd,unweighted_RAC1P_catchup_inclusive_gain_n_seeds,unweighted_RAC1P_catchup_inclusive_gain_n_defined,unweighted_RAC1P_catchup_inclusive_gain_complete,unweighted_RAC1P_catchup_inclusive_gain_mean,unweighted_RAC1P_catchup_inclusive_gain_sample_sd,PWGTP_source_all_pass,PWGTP_source_all_defined,PWGTP_residence_half_pass,PWGTP_worst_source_delta,PWGTP_same_residence_n_seeds,PWGTP_same_residence_n_defined,PWGTP_same_residence_complete,PWGTP_same_residence_mean,PWGTP_same_residence_sample_sd,PWGTP_commute_over20_n_seeds,PWGTP_commute_over20_n_defined,PWGTP_commute_over20_complete,PWGTP_commute_over20_mean,PWGTP_commute_over20_sample_sd,PWGTP_income_binary_n_seeds,PWGTP_income_binary_n_defined,PWGTP_income_binary_complete,PWGTP_income_binary_mean,PWGTP_income_binary_sample_sd,PWGTP_civilian_at_work_n_seeds,PWGTP_civilian_at_work_n_defined,PWGTP_civilian_at_work_complete,PWGTP_civilian_at_work_mean,PWGTP_civilian_at_work_sample_sd,PWGTP_public_coverage_n_seeds,PWGTP_public_coverage_n_defined,PWGTP_public_coverage_complete,PWGTP_public_coverage_mean,PWGTP_public_coverage_sample_sd,PWGTP_SEX_primary_gain_n_seeds,PWGTP_SEX_primary_gain_n_defined,PWGTP_SEX_primary_gain_complete,PWGTP_SEX_primary_gain_mean,PWGTP_SEX_primary_gain_sample_sd,PWGTP_SEX_catchup_inclusive_gain_n_seeds,PWGTP_SEX_catchup_inclusive_gain_n_defined,PWGTP_SEX_catchup_inclusive_gain_complete,PWGTP_SEX_catchup_inclusive_gain_mean,PWGTP_SEX_catchup_inclusive_gain_sample_sd,PWGTP_RAC1P_primary_gain_n_seeds,PWGTP_RAC1P_primary_gain_n_defined,PWGTP_RAC1P_primary_gain_complete,PWGTP_RAC1P_primary_gain_mean,PWGTP_RAC1P_primary_gain_sample_sd,PWGTP_RAC1P_catchup_inclusive_gain_n_seeds,PWGTP_RAC1P_catchup_inclusive_gain_n_defined,PWGTP_RAC1P_catchup_inclusive_gain_complete,PWGTP_RAC1P_catchup_inclusive_gain_mean,PWGTP_RAC1P_catchup_inclusive_gain_sample_sd,race_assessment
beta_0p1_C_warmup_only,beta=.1 C warmup-only,3,3,3,2,-0.0015577054069534357,3,3,True,0.49406704530283885,0.0047239008719028525,3,3,True,0.686405072322863,0.003990897879025114,3,3,True,0.2907428986135749,0.00956995462846746,3,3,True,0.2786108525118851,0.007877952340395164,3,3,True,0.4999019406666869,0.01427107350277745,3,3,True,0.03354648844848115,0.005220056450190554,3,3,True,0.03354648844848115,0.005220056450190554,3,3,True,0.0633577849923701,0.0039013144076812927,3,3,True,0.0633577849923701,0.0039013144076812927,3,3,2,0.0011504855172833617,3,3,True,0.4707094290525381,0.004463697067676998,3,3,True,0.6902849924556517,0.004296533269292731,3,3,True,0.3022625894326085,0.011252191660445084,3,3,True,0.2688526800423218,0.012108702179563925,3,3,True,0.5087114556156564,0.012000301769653308,3,3,True,0.028324731509656382,0.003230971186265686,3,3,True,0.028324731509656382,0.003230971186265686,3,3,True,0.05515815172817643,0.011966144081867674,3,3,True,0.05515815172817643,0.011966144081867674,unassessable: missing fitting/validation race code 4; all 9 categories retained
beta_0p1_D_warmup_only,beta=.1 D warmup-only,3,3,3,2,-0.00412058449056979,3,3,True,0.4963253888645312,0.003942785802820568,3,3,True,0.686293748928545,0.004963673407603178,3,3,True,0.2912430222250194,0.01004695876510347,3,3,True,0.28051660310676374,0.008213668785748831,3,3,True,0.4978159916707246,0.01346975582206046,3,3,True,0.02876286366030138,0.0041522632900943615,3,3,True,0.02988756214296388,0.005964738208360102,3,3,True,0.06404491534001037,0.005299577521143605,3,3,True,0.06726296613463505,0.007720682678566806,3,3,1,-0.0024569106322029355,3,3,True,0.47332776958456657,0.0042107134644791605,3,3,True,0.6902615946148892,0.004259310339522653,3,3,True,0.30309800596411635,0.008920476365250079,3,3,True,0.27095789925455926,0.0129288199289939,3,3,True,0.5066851169777413,0.012944878816765933,3,3,True,0.022933410248867376,0.001017147559830636,3,3,True,0.022834940854958814,0.0008866631793002994,3,3,True,0.05696684807313838,0.0005626176664373759,3,3,True,0.06016633433281019,0.007210490773517762,unassessable: missing fitting/validation race code 4; all 9 categories retained
beta_0p1_C_persistent,beta=.1 C persistent,3,3,3,3,-0.0014995173388118177,3,3,True,0.49390360590715565,0.002993978129651917,3,3,True,0.6857536147980384,0.003030359817781262,3,3,True,0.2910335698496358,0.00853098534647767,3,3,True,0.2837766729251775,0.006865793554944856,3,3,True,0.49813519237198567,0.010419737849109805,3,3,True,0.03197714689067018,0.002326596116750215,3,3,True,0.03197714689067018,0.002326596116750215,3,3,True,0.07779783889077556,0.010166731160375229,3,3,True,0.07531836579904609,0.013367226012141811,3,3,2,0.0005910644625973793,3,3,True,0.472123726778399,0.00428943743771599,3,3,True,0.6890406367619876,0.00486059254545549,3,3,True,0.3020404360317514,0.011205382803751785,3,3,True,0.27518907358781725,0.01095041557455658,3,3,True,0.507036251613764,0.00903191368918269,3,3,True,0.02659251531378796,0.0031302807586251207,3,3,True,0.02659251531378796,0.0031302807586251207,3,3,True,0.0709392879029036,0.003223933461597538,3,3,True,0.06482111267621371,0.013657250079195302,unassessable: missing fitting/validation race code 4; all 9 categories retained
beta_0p1_D_persistent,beta=.1 D persistent,3,3,3,2,-0.00217731174425867,3,3,True,0.4949509508540485,0.005458351457929959,3,3,True,0.6855826016176731,0.002950429403845127,3,3,True,0.29090743085217435,0.00866257325166275,3,3,True,0.28374812102492913,0.006811088503338146,3,3,True,0.4982123040377443,0.009740640118554484,3,3,True,0.03113574102126626,0.0015330046035733282,3,3,True,0.03113574102126626,0.0015330046035733282,3,3,True,0.07717049032827898,0.00948243875385918,3,3,True,0.07486424473296001,0.012382810455991669,3,3,1,0.0017068678211853983,3,3,True,0.473425781846787,0.0021583973783906676,3,3,True,0.6889295458141155,0.004641051492518091,3,3,True,0.30155285665198256,0.011156790672748404,3,3,True,0.2752094399181492,0.011247124626830527,3,3,True,0.5069110697239182,0.008983483366621864,3,3,True,0.026036297686352145,0.0038800519293286165,3,3,True,0.026036297686352145,0.0038800519293286165,3,3,True,0.07089855964990825,0.00306444617762005,3,3,True,0.06539665739277704,0.012557551949182962,unassessable: missing fitting/validation race code 4; all 9 categories retained
beta_1_C_warmup_only,beta=1 C warmup-only,3,3,3,3,-0.0007819079605144719,3,3,True,0.4942828829613415,0.004014011390149931,3,3,True,0.6835321576281258,0.0036315174752244305,3,3,True,0.29505553550338326,0.005792538698434878,3,3,True,0.2804323287982766,0.0076645531884266364,3,3,True,0.49841630779453966,0.013003632440008751,3,3,True,0.03484391269825823,0.004115210238555148,3,3,True,0.03484391269825823,0.004115210238555148,3,3,True,0.07040923612530674,0.007976612837426398,3,3,True,0.07040923612530674,0.007976612837426398,3,3,3,-4.821061934034976e-05,3,3,True,0.46924916485777307,0.008859232927004848,3,3,True,0.6873540040471229,0.0014614455042600055,3,3,True,0.3069522400187419,0.005707275501295133,3,3,True,0.2714554230224768,0.013731802534685129,3,3,True,0.5062489557210952,0.012161602461585687,3,3,True,0.029674078394814323,0.002932398806842151,3,3,True,0.029674078394814323,0.002932398806842151,3,3,True,0.06337080872269496,0.0037793624129293627,3,3,True,0.06337080872269496,0.0037793624129293627,unassessable: missing fitting/validation race code 4; all 9 categories retained
beta_1_D_warmup_only,beta=1 D warmup-only,3,3,3,2,-0.0004678467694849142,3,3,True,0.49723641549543807,0.005487044139275917,3,3,True,0.683934895609038,0.0033473677420880112,3,3,True,0.29477746918717346,0.006327405477874684,3,3,True,0.2820281816730647,0.00820186150962006,3,3,True,0.49748466706571254,0.010166664860958914,3,3,True,0.025194288702515794,0.00448934809129366,3,3,True,0.025194288702515794,0.00448934809129366,3,3,True,0.05207607803881379,0.007452800673846176,3,3,True,0.0578500676022294,0.0057500174271140365,3,3,2,0.0011304937599500575,3,3,True,0.47294234859177087,0.008007062634354576,3,3,True,0.6878692246587977,0.0010597232484437905,3,3,True,0.30706058441602185,0.0060533730037733244,3,3,True,0.27301948844239887,0.015017306552504009,3,3,True,0.5049069145009091,0.010342310976184682,3,3,True,0.01951419274964746,0.001637135523853139,3,3,True,0.01951419274964746,0.001637135523853139,3,3,True,0.04985524518606588,0.005377843549612393,3,3,True,0.05246698775737039,0.007086178662121085,unassessable: missing fitting/validation race code 4; all 9 categories retained
beta_1_C_persistent,beta=1 C persistent,3,3,3,3,-0.0018029290050325386,3,3,True,0.49228716663519,0.0026259418853544696,3,3,True,0.6859055337169069,0.004020595770644163,3,3,True,0.29068528545575284,0.00654131268641858,3,3,True,0.28358250333196405,0.007686250703261321,3,3,True,0.4983920182327883,0.011959220752999556,3,3,True,0.034981079867735056,0.0025069983437416756,3,3,True,0.034981079867735056,0.0025069983437416756,3,3,True,0.08057259611735075,0.007407733281900256,3,3,True,0.08057259611735075,0.007407733281900256,3,3,3,0.0022372730970448562,3,3,True,0.47178752717015865,0.010165472111400982,3,3,True,0.6890712040512829,0.006249457396079315,3,3,True,0.30159018034297314,0.010665548831487886,3,3,True,0.2754991846362528,0.014689648576654668,3,3,True,0.5047465353902281,0.012862195118223063,3,3,True,0.031199475005354877,0.0015995612814186763,3,3,True,0.031199475005354877,0.0015995612814186763,3,3,True,0.07709508086986012,0.0045459707673480895,3,3,True,0.07709508086986012,0.0045459707673480895,unassessable: missing fitting/validation race code 4; all 9 categories retained
beta_1_D_persistent,beta=1 D persistent,3,3,3,3,-0.0018136797573204966,3,3,True,0.49258292404191606,0.0027355377610265973,3,3,True,0.6859328898064503,0.003862515784230211,3,3,True,0.2910188698526315,0.006536640520147953,3,3,True,0.28294352776495285,0.00758136589918109,3,3,True,0.4995258244989231,0.011044412641838747,3,3,True,0.03445828308045751,0.002226096964368476,3,3,True,0.03445828308045751,0.002226096964368476,3,3,True,0.08002396252461226,0.007493667693185814,3,3,True,0.08002396252461226,0.007493667693185814,3,3,3,0.0020293554609402964,3,3,True,0.47207618872407625,0.010296454926811206,3,3,True,0.6893012685303881,0.005741530341255813,3,3,True,0.3020292759225498,0.010603135486875238,3,3,True,0.2749798184419971,0.014427235874650219,3,3,True,0.5062956211230744,0.011767508672720601,3,3,True,0.030952168519654138,0.0017986279704223784,3,3,True,0.030952168519654138,0.0017986279704223784,3,3,True,0.07653923092336405,0.004631403909714176,3,3,True,0.07653923092336405,0.004631403909714176,unassessable: missing fitting/validation race code 4; all 9 categories retained
C_init,beta=0 C_init,3,3,3,1,-0.005321788576271358,3,3,True,0.49948945138499734,0.0011843894488832482,3,3,True,0.6859483119030064,0.0033714528240583975,3,3,True,0.28962150939175646,0.011300763243501223,3,3,True,0.27704621721784933,0.007070262361019333,3,3,True,0.4951134314209002,0.011101779803864282,3,3,True,0.03682798520866393,0.007129302043515851,3,3,True,0.03682798520866393,0.007129302043515851,3,3,True,0.07199896892122155,0.004756781126180455,3,3,True,0.06819312206328987,0.011342401365705945,3,3,3,-0.0029912132486192844,3,3,True,0.4725759989703997,0.007503213740413558,3,3,True,0.6890524530621431,0.0035160990443949556,3,3,True,0.30076916709321494,0.010408460337224399,3,3,True,0.26833778463907565,0.01237132960550293,3,3,True,0.5033693520385427,0.011679700328409044,3,3,True,0.03230868477660642,0.0055375447248889095,3,3,True,0.03230868477660642,0.0055375447248889095,3,3,True,0.06662367107567602,0.007322396201669374,3,3,True,0.06048720500809172,0.015381443632980133,unassessable: missing fitting/validation race code 4; all 9 categories retained
D_init,beta=0 D_init,3,3,3,1,-0.004136602474673734,3,3,True,0.5015589847758558,0.0029143335614122455,3,3,True,0.685953626749937,0.003734187149170536,3,3,True,0.2908184470943541,0.010429348863702349,3,3,True,0.2769606312554901,0.008175384936648246,3,3,True,0.4945272646889828,0.01090787566432579,3,3,True,0.029238521125188027,0.005862276024775577,3,3,True,0.025426926825895424,0.0007396811854236151,3,3,True,0.04945733150633269,0.004490231842680895,3,3,True,0.057866309556607654,0.007307740287789393,3,3,1,-0.002075455002908677,3,3,True,0.474214486062425,0.005708844395074562,3,3,True,0.6882583642783312,0.0044116613061529145,3,3,True,0.30153288889159885,0.010749300467647936,3,3,True,0.2681475031010395,0.013235809258796727,3,3,True,0.502929467831842,0.012359196112207588,3,3,True,0.023537084041859613,0.004197600093455764,3,3,True,0.0175560794720806,0.006350229548599423,3,3,True,0.04356769278273287,0.0029697268854996873,3,3,True,0.050313394254338784,0.005299371733788655,unassessable: missing fitting/validation race code 4; all 9 categories retained
PCA16,Fixed PCA16 teacher,3,3,3,3,0.004366867479803083,3,3,True,0.49506237885212184,0.0020953262000779813,3,3,True,0.6855266797080752,0.003931382597762458,3,3,True,0.29440761922038344,0.007519978525509695,3,3,True,0.2900353401613533,0.007223483181237189,3,3,True,0.5057039848136515,0.008631274532600578,3,3,True,0.03273906996559295,0.0039389910626382385,3,3,True,0.03273906996559295,0.0039389910626382385,3,3,True,0.07796602651515812,0.006712023345004412,3,3,True,0.07796602651515812,0.006712023345004412,3,3,2,0.004609953546917789,3,3,True,0.4745443868011035,0.009318421413443703,3,3,True,0.6876589713199487,0.003119115229340729,3,3,True,0.3043201806573294,0.00913897150704891,3,3,True,0.27803817865086095,0.010756574271592444,3,3,True,0.511917640476821,0.010255511328281968,3,3,True,0.03036929023321459,0.0011742344283413872,3,3,True,0.03036929023321459,0.0011742344283413872,3,3,True,0.07483609025864697,0.005467874310366096,3,3,True,0.07483609025864697,0.005467874310366096,unassessable: missing fitting/validation race code 4; all 9 categories retained
