beta,seed,phase,release,epoch,mapper_optimizer_steps,adversary_optimizer_steps,fit_base_loss,fit_source_ce,fit_source_losses,fit_reconstruction_mse,fit_adversary_ce,fit_normalized_adversary_ce,source_validation_base_loss,source_validation_ce,source_validation_losses,source_validation_reconstruction_mse,selection,fit_preservation_loss,preservation_coefficient,fit_applied_preservation,source_coefficient,reconstruction_coefficient,protection_coefficient,fit_applied_protection,fit_objective
beta_0p1,0,warm_base,beta_0p1_W,0,0,0,0.8058930039405823,0.7027423977851868,"{""income_binary"":0.6993687152862549,""civilian_at_work"":0.6676714420318604,""public_coverage"":0.7411870956420898}",1.031505823135376,,,0.806303083896637,0.7035148739814758,"{""income_binary"":0.7059230208396912,""civilian_at_work"":0.6681001782417297,""public_coverage"":0.7365214824676514}",1.0278820991516113,none; fixed final iterate,1.6824472494502318e-15,0.1,1.6824472494502318e-16,1.0,0.1,0.0,0.0,0.8058930039405825
beta_0p1,0,warm_base,beta_0p1_W,5,210,0,0.47085657715797424,0.415179580450058,"{""income_binary"":0.35092708468437195,""civilian_at_work"":0.36433547735214233,""public_coverage"":0.5302761197090149}",0.5567699074745178,,,0.4730691909790039,0.4173526465892792,"{""income_binary"":0.3558579087257385,""civilian_at_work"":0.3695630729198456,""public_coverage"":0.5266369581222534}",0.5571653246879578,none; fixed final iterate,0.569233775138855,0.1,0.0569233775138855,1.0,0.1,0.0,0.0,0.5277799546718598
beta_0p1,0,warm_base,beta_0p1_W,10,420,0,0.4264651834964752,0.3766217529773712,"{""income_binary"":0.31597083806991577,""civilian_at_work"":0.3123775124549866,""public_coverage"":0.5015169382095337}",0.4984341859817505,,,0.4301730990409851,0.3803230822086334,"{""income_binary"":0.32081323862075806,""civilian_at_work"":0.3188266158103943,""public_coverage"":0.5013294219970703}",0.4985002875328064,none; fixed final iterate,0.508384644985199,0.1,0.0508384644985199,1.0,0.1,0.0,0.0,0.47730364799499514
beta_0p1,0,warm_base,beta_0p1_W,15,630,0,0.41048556566238403,0.3631550371646881,"{""income_binary"":0.3044890761375427,""civilian_at_work"":0.2938564717769623,""public_coverage"":0.4911195933818817}",0.47330528497695923,,,0.4163505434989929,0.3689860999584198,"{""income_binary"":0.31139200925827026,""civilian_at_work"":0.3021606504917145,""public_coverage"":0.4934055507183075}",0.47364428639411926,none; fixed final iterate,0.4152801036834717,0.1,0.04152801036834717,1.0,0.1,0.0,0.0,0.4520135760307312
beta_0p1,0,warm_base,beta_0p1_W,20,840,0,0.3992208242416382,0.3550863564014435,"{""income_binary"":0.29799047112464905,""civilian_at_work"":0.28489476442337036,""public_coverage"":0.4823738634586334}",0.44134464859962463,,,0.40688106417655945,0.3627091646194458,"{""income_binary"":0.3057531714439392,""civilian_at_work"":0.2951185703277588,""public_coverage"":0.487255722284317}",0.4417189061641693,none; fixed final iterate,0.35987037420272827,0.1,0.03598703742027283,1.0,0.1,0.0,0.0,0.435207861661911
beta_0p1,0,warm_base,beta_0p1_W,25,1050,0,0.391633003950119,0.35025396943092346,"{""income_binary"":0.2923200726509094,""civilian_at_work"":0.2807130813598633,""public_coverage"":0.4777287542819977}",0.4137902855873108,,,0.4010869264602661,0.3595927059650421,"{""income_binary"":0.30110499262809753,""civilian_at_work"":0.29325658082962036,""public_coverage"":0.48441657423973083}",0.4149422347545624,none; fixed final iterate,0.31760480999946594,0.1,0.0317604809999466,1.0,0.1,0.0,0.0,0.4233934849500656
beta_0p1,0,warm_base,beta_0p1_W,30,1260,0,0.38395386934280396,0.3454933166503906,"{""income_binary"":0.2893030345439911,""civilian_at_work"":0.27527928352355957,""public_coverage"":0.47189760208129883}",0.3846055269241333,,,0.3960767388343811,0.35741302371025085,"{""income_binary"":0.30066588521003723,""civilian_at_work"":0.2888837456703186,""public_coverage"":0.48268935084342957}",0.3866370618343353,none; fixed final iterate,0.297198086977005,0.1,0.029719808697700502,1.0,0.1,0.0,0.0,0.4136736780405045
beta_0p1,0,warm_base,beta_0p1_W,35,1470,0,0.37739095091819763,0.3414980471134186,"{""income_binary"":0.28533804416656494,""civilian_at_work"":0.2735288441181183,""public_coverage"":0.46562737226486206}",0.3589290678501129,,,0.39082321524620056,0.354623943567276,"{""income_binary"":0.2970665395259857,""civilian_at_work"":0.2877267003059387,""public_coverage"":0.4790786802768707}",0.36199265718460083,none; fixed final iterate,0.2853391766548157,0.1,0.028533917665481568,1.0,0.1,0.0,0.0,0.4059248685836792
beta_0p1,0,warm_base,beta_0p1_W,40,1680,0,0.37243714928627014,0.3389350175857544,"{""income_binary"":0.28314921259880066,""civilian_at_work"":0.2706342041492462,""public_coverage"":0.4630216360092163}",0.3350212574005127,,,0.3877038359642029,0.3538362681865692,"{""income_binary"":0.2946301996707916,""civilian_at_work"":0.28774166107177734,""public_coverage"":0.47913694381713867}",0.33867576718330383,none; fixed final iterate,0.2744036912918091,0.1,0.027440369129180908,1.0,0.1,0.0,0.0,0.39987751841545105
beta_0p1,0,warm_base,beta_0p1_W,45,1890,0,0.369458943605423,0.33757510781288147,"{""income_binary"":0.2818772792816162,""civilian_at_work"":0.26860731840133667,""public_coverage"":0.46224072575569153}",0.3188384473323822,,,0.3855120539665222,0.35319653153419495,"{""income_binary"":0.29557350277900696,""civilian_at_work"":0.2872214913368225,""public_coverage"":0.47679466009140015}",0.32315516471862793,none; fixed final iterate,0.2392851710319519,0.1,0.023928517103195192,1.0,0.1,0.0,0.0,0.3933874607086182
beta_0p1,0,warm_base,beta_0p1_W,50,2100,0,0.36508309841156006,0.3345569670200348,"{""income_binary"":0.27913451194763184,""civilian_at_work"":0.26604366302490234,""public_coverage"":0.45849278569221497}",0.30526140332221985,,,0.3840937614440918,0.35305336117744446,"{""income_binary"":0.2941812574863434,""civilian_at_work"":0.2863544523715973,""public_coverage"":0.4786244034767151}",0.31040406227111816,none; fixed final iterate,0.23542292416095734,0.1,0.023542292416095734,1.0,0.1,0.0,0.0,0.3886253908276558
beta_0p1,0,warm_base,beta_0p1_W,55,2310,0,0.36198198795318604,0.332554429769516,"{""income_binary"":0.27721524238586426,""civilian_at_work"":0.2637738287448883,""public_coverage"":0.4566742777824402}",0.2942754626274109,,,0.38174763321876526,0.3517515957355499,"{""income_binary"":0.292544960975647,""civilian_at_work"":0.28633299469947815,""public_coverage"":0.4763769209384918}",0.29996049404144287,none; fixed final iterate,0.22995269298553467,0.1,0.02299526929855347,1.0,0.1,0.0,0.0,0.3849772572517395
