seed,role,release,parent,erased,target,candidate_id,family,selected,selected_within_family,auc_selected,fit_support,fit_rows,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,total_optimizer_steps,total_training_row_exposures
0,transfer,A_binary_bank,A_binary_bank,False,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,0,0,0.7611300523734995,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,5,40,0.5519102518669402,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,10,80,0.5375850130152484,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,15,120,0.5365795583401759,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,20,160,0.5356252372256565,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,25,200,0.5343068190447962,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,30,240,0.5339153227544929,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,35,280,0.5329857349954621,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,40,320,0.5319189059208965,True,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,0,0,0.7126482686865889,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,5,40,0.6748566841406933,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,10,80,0.6741683241719564,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,15,120,0.6736423441246293,True,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,20,160,0.6742410542850281,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,25,200,0.6745489557208337,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,30,240,0.6746947110863966,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,35,280,0.6748471206174292,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,40,320,0.6753572174064928,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,0,0,0.692236211082664,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,5,40,0.3718924450116335,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,10,80,0.2927623342295726,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,15,120,0.2912490934076242,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,20,160,0.28968799882255736,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,25,200,0.2895176493659056,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,30,240,0.2892492963918307,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,35,280,0.28850125333534143,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,40,320,0.28813423704147206,True,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,civilian_at_work,mlp,mlp,True,True,False,"[665,1383]",2048,True,0,0,0.6991749423038528,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,civilian_at_work,mlp,mlp,True,True,False,"[665,1383]",2048,True,5,40,0.3606522494047958,False,320,81920
0,transfer,A_binary_bank,A_binary_bank,False,civilian_at_work,mlp,mlp,True,True,False,"[665,1383]",2048,True,10,80,0.3064786775523422,False,320,81920
